description,title,price,time_published,hotness,url,picture_url,editors_choice,uuid,time_modified,shipping,category
"Aplaceinthesun via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171654"">Maximos Men's Mason Water Resistant Jacket</a> in several colors (Olive/Brown pictured) for <strong>$34.96</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $6. It's available in sizes S to XL.",Maximos Men's Mason Water Resistant Jacket,$35,2018-01-04T09:11:12-05:00,3,https://www.dealnews.com/Maximos-Mens-Mason-Water-Resistant-Jacket-for-35-free-shipping/2171654.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vukucj6jsgyt4djkowxj",,2171654,,free shipping,COATS
"Today, you can get a refurbished Wii U with a Sonic and LEGO Marvel game, all at a hefty $63 low. Check out this offer and more in our roundup of the top five <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/morning-jolt/"">Editors' Choice deals</a> we found last night and this morning.",Top 5 Deals You Need to Know Today: A Wii U and 2 Games at an All-Time Low,,2018-01-04T09:03:23-05:00,,https://www.dealnews.com/features/morning-jolt/,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/oa2k2jjicr1znx6pafpk",,2171663,,,MORNING JOLT
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171642"">Rockport</a> takes <strong>up to 60% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095631,2171642"">men's and women's styles</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095634,2171642"">End of Season Sale</a>. Shipping starts at <strong>$5</strong>, but orders of $125 or more qualify for free shipping.",Rockport End of Season Sale,Up to 60% off,2018-01-04T08:59:40-05:00,3,https://www.dealnews.com/Rockport-End-of-Season-Sale-Up-to-60-off-free-shipping-w-125/2171642.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uynnipmt2gwoxcwdyjgh",,2171642,,free shipping w/ $125,SHOES
"OXA USA via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171627"">Doctor Hetzner 1.2-Liter Electric Gooseneck Kettle</a> for $54.99. Coupon code ""FNSPKZ2V"" cuts it to <strong>$38.49</strong>. With <strong>free shipping</strong>, that's $17 off list and the lowest price we could find, although we saw it for $8 less two weeks ago. This 1,000-watt kettle boils one liter of water in six minutes and features an LCD display, keep warm function, and auto shut-off. Deal ends January 31.",Doctor Hetzner Electric Gooseneck Kettle,$38,2018-01-04T08:50:54-05:00,2,https://www.dealnews.com/Doctor-Hetzner-Electric-Gooseneck-Kettle-for-38-free-shipping/2171627.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o4lsbq5nuc2kqc5o8tgn",,2171627,,free shipping,SMALL APPLIANCES
"NutraEdge via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171633"">NutraEdge Men's EdgeTest Testosterone Supplement 90-Capsule Bottle</a> for $20.99. Coupon code ""TTT35OFF"" cuts it to <strong>$13.64</strong>. Plus, Prime members receive <strong>free shipping</strong>. That's tied with last month's mention, $7 off, and the lowest price we could find. Deal ends January 10.",NutraEdge Testosterone Supplement 90ct Bottle,$14,2018-01-04T08:42:20-05:00,3,https://www.dealnews.com/Nutra-Edge-Testosterone-Supplement-90-ct-Bottle-for-14-free-shipping-w-Prime/2171633.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hpeynbb6s33d5vwrjjkd",,2171633,,free shipping w/ Prime,SUPPLEMENTS
"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171636"">APC UPS Connect 84VA Battery Back-Up System</a> for $46.95. Clip the coupon on the product page to cut it to <strong>$33.95</strong>. With <strong>free shipping</strong>, that's a buck under our mention from four days ago and the lowest price we could find by $63. It features over two hours of network backup power, two surge-protected outlets, a removable battery pack for smartphone charging, and three USB ports.",APC UPS Connect 84VA Battery Back-Up System,$34,2018-01-04T08:34:06-05:00,3,https://www.dealnews.com/APC-UPS-Connect-84-VA-Battery-Back-Up-System-for-34-free-shipping/2171636.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iyqtefpkfqonq5tedwut",,2171636,,free shipping,BATTERY BACKUPS/UPSS
"Jos. A. Bank offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171570"">Jos. A. Bank Men's Traveler Collection Traditional 3/4 Length Reversible Coat</a> in Charcoal or Brown for <strong>$59</strong> with <strong>free shipping</strong>. That's $536 off and tied with our October mention as the lowest price we've seen. It's available in sizes S to XXL.",Jos. A. Bank Men's 3/4 Length Reversible Coat,$59,2018-01-04T08:33:41-05:00,3,https://www.dealnews.com/Jos.-A.-Bank-Mens-3-4-Length-Reversible-Coat-for-59-free-shipping/2171570.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bgcrg8vcup8qadgoslbj",,2171570,,free shipping,COATS
"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171978"">Chase Hyatt Credit Card</a> and earn <strong>40,000 bonus points</strong> after you spend ""https://click.linksynergy.com/fs-bin/click?id=NKa3hZyYoHA&offerid=556944.10002904&type=3&subid=0"" partno="""" vendor=""1642"" image_link=""0"" mfg=""0"" category=""522"" price="""" rel="""" landing_url=""https://creditcards.chase.com/lp/hyatt/naep40k/?CELL=6H8X&AFFID=NKa3hZyYoHA-DN93Xbht5lVwxtlSt2eZkw&pvid=&jp_cmp=cc/556944/aff/3-10002904/na"" magic_url_info=""Linkshare (Default) - 113401"">$2,000 or more on purchases in the first three months from account opening. (Free nights start at just 5,000 points.) Plus <strong>1 free night</strong> each year after your cardmember anniversary at any Category 1-4 hotel or resort. Also, receive <strong>5,000 Bonus Points</strong> after you add the first authorized user and make a purchase within 3 months of opening your account. This product is available if you do not have this card and have not received a new cardmember bonus for this card in the past 24 months. Also, earn <strong>3 Bonus Points</strong> per $1 spent at all Hyatt hotels or resorts, <strong>2 Bonus Points</strong> per $1 spent at restaurants, on airline tickets purchased directly from the airline, and at car rental agencies, and <strong>1 Bonus Point</strong> per $1 spent on all other purchases made with your card. (Points don't expire as long as your Hyatt Credit Card account is open.) A $75 annual fee applies. Finally, there's no foreign transaction fees on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096888,2171978"">click here</a>. This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",Chase Hyatt Credit Card,"40,000 bonus points",,,"https://www.dealnews.com/lw/click.html?20,2,2171978","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rbwame7pifyb2ma4ptgm",,2171978,2018-01-04T14:47:58-05:00,,CREDIT CARDS
"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171579"">Logitech Harmony Home Hub for 8 Devices</a> in Black bundled with the 2nd-generation <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095586,2171579"">Amazon Echo Dot</a> in Black for <strong>$89.99</strong> with <strong>free shipping</strong>. That's tied with our September mention and $36 under the lowest price we could find for these items sold separately elsewhere. The hub allows you to control up to eight devices from your smartphone via the Harmony App, which is available on <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095589,2171579"">iOS</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095592,2171579"">Android</a>. The speaker features Alexa voice control, 802.11n dual-band wireless, Bluetooth, and a 3.5mm audio output.",Logitech Harmony Home Hub w/ Amazon Echo Dot,$90,2018-01-04T08:31:53-05:00,3,https://www.dealnews.com/Logitech-Harmony-Home-Hub-w-Amazon-Echo-Dot-for-90-free-shipping/2171579.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hzudw4ucgldmhkofgyew",,2171579,,free shipping,CELL PHONE ACCESSORIES
"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171624"">ProForm 505 CST Treadmill</a> with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095604,2171624"">expert assembly</a> for <strong>$508.97</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $131. (For further comparison, expert assembly usually costs $120.) It features a 6"" LED-backlit display and 15 workout apps.",ProForm 505 CST Treadmill w/ assembly,$509,2018-01-04T08:26:48-05:00,3,https://www.dealnews.com/Pro-Form-505-CST-Treadmill-w-assembly-for-509-free-shipping/2171624.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qs8nigucctwoylzu4foi",,2171624,,free shipping,EXERCISE EQUIPMENT
"For Prime members only, Amazon offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171621"">The LEGO Ninjago Movie in HD</a> for <strong>$9.99</strong>. That's the lowest price we could find by $5.",The LEGO Ninjago Movie in HD,$10,2018-01-04T08:18:05-05:00,2,https://www.dealnews.com/The-LEGO-Ninjago-Movie-in-HD-for-10/2171621.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cqjkinjony5vz7sjr1yu",,2171621,,,VIDEO DOWNLOADS
"Altatac via eBay offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171582"">Apple MacBook Air Intel Ivy Bridge Core i7 2GHz 11.6"" Laptop</a> for <strong>$444.95</strong> with <strong>free shipping</strong>. That's $65 under our mention from last June and the lowest price we could find for a refurb today by $134. It features an Intel Core i7-3667U 2GHz Ivy Bridge dual-core processor, 11.6"" 1366x768 LCD, 4GB RAM, 128GB SSD, Thunderbolt, and OS X 10.7.4 (Lion).<br>
<br>
Note: No warranty information is provided.","Refurb Apple MacBook Air i7 Dual 12"" Laptop",$445,2018-01-04T08:15:23-05:00,3,https://www.dealnews.com/Refurb-Apple-Mac-Book-Air-i7-Dual-12-Laptop-for-445-free-shipping/2171582.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tco1ypjcdvxkpzgadjru",,2171582,,free shipping,MACBOOK AIR
"Tanga offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171609"">HBQ i7 Twins True Wireless Earphones</a> in several colors (Black pictured) for <strong>$19.99</strong> with <strong>free shipping</strong>. That's tied with our mention from a month ago as the lowest price we've seen. (It's the best today by $1.) They feature 4-5 hours of play time, hands-free calling, and lag-free connections.",HBQ i7 Twins True Wireless Earphones,$20,2018-01-04T08:08:05-05:00,3,https://www.dealnews.com/HBQ-i7-Twins-True-Wireless-Earphones-for-20-free-shipping/2171609.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/est2kipu76aboanxxqur",,2171609,,free shipping,HEADPHONES
"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171615"">Hyper Tough 2-amp 1/4 Sheet Sander</a> for <strong>$13.88</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's tied with last week's mention, $6 off, and the lowest price we could find. It features a dust bag, 80-grit sandpaper, and paper punch.",Hyper Tough 2A 1/4 Sheet Sander,$14,2018-01-04T08:03:38-05:00,1,https://www.dealnews.com/Hyper-Tough-2-A-1-4-Sheet-Sander-for-14-pickup-at-Walmart/2171615.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fpe3iql16z0yulsezyzu",,2171615,,pickup at Walmart,POWER TOOLS
"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171555"">Hanes Women's Essential Fleece Sweatpants</a> in several colors (Deep Raspberry pictured) for <strong>$3</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's tied with last week's mention and the lowest price we could find by $13. They're available in select regular and petite sizes from XS to L.",Hanes Women's Essential Fleece Sweatpants,$3,2018-01-04T08:02:35-05:00,3,https://www.dealnews.com/Hanes-Womens-Essential-Fleece-Sweatpants-for-3-pickup-at-Walmart/2171555.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ql4e64rrxruazysncy1o",,2171555,,pickup at Walmart,PANTS
"Despite their name, white sales offer items in all colors of the rainbow. They can pop up throughout the year, but make no mistake: January is the prime time for white sales. Check out <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/When-Are-White-Sales-in-2018/2163980.html"">our guide to white sales</a>, so you can take advantage!",When Are White Sales in 2018?,,2018-01-04T08:00:01-05:00,,https://www.dealnews.com/features/When-Are-White-Sales-in-2018/2163980.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/azi5rkgi5korfybgz7mi",,2163980,,,CONSUMER NEWS
"Recently it came to light that Apple has been slowing down batteries on older iPhones. Not surprisingly, users were unhappy with this news. But now, <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/Oops-Apple-Messed-Up-But-You-Can-Get-a-MUCH-Cheaper-Battery-Out-Of-It/2168330.html"">Apple is trying to make things right</a> and regain their customers' trust.","Oops! Apple Messed Up, But You Can Get a MUCH Cheaper Battery Out Of It",,2018-01-04T08:00:01-05:00,,https://www.dealnews.com/features/Oops-Apple-Messed-Up-But-You-Can-Get-a-MUCH-Cheaper-Battery-Out-Of-It/2168330.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rieekggkcdqqy9agpg6y",,2168330,,,CONSUMER NEWS
"DiscountMags offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171606"">Muscle &amp; Fitness Magazine 1-Year Subscription</a> (12 issues) for $28.95. Coupon code ""DEALNEWS"" drops it to <strong>$4.50</strong>. That's tied with our September mention and the lowest price we could find by $15.<br>
<br>
Note: You can buy up to three years at this discounted rate.",Muscle & Fitness 1-Year Subscription,12 issues for $5,2018-01-04T07:54:19-05:00,2,https://www.dealnews.com/Muscle-Fitness-1-Year-Subscription-12-issues-for-5/2171606.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rklnvrex9jgj8qamnhbe",,2171606,,,MAGAZINES
"Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171552"">Bostitch Bulldog 2"" 18-Gauge Brad Nailer</a> for <strong>$59</strong>. Plus, MyLowe's members bag <strong>free shipping</strong> on all orders. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095571,2171552"">join</a>.) That's the lowest price we could find by $18. It drives 18-gauge nails from 5/8"" to 2"" and features a tool-free adjustable exhaust cap.","Bostitch Bulldog 2"" 18-Gauge Brad Nailer",$59,2018-01-04T07:51:27-05:00,2,https://www.dealnews.com/Bostitch-Bulldog-2-18-Gauge-Brad-Nailer-for-59-free-shipping/2171552.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yv5ldi0guolk5teqyort",,2171552,,free shipping,POWER TOOLS
"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171546"">Rubbermaid Deluxe Tool Tower</a> for <strong>$39.59</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095562,2171546"">Amazon</a> charges the same.) That's the lowest price we could find by $5. It measures 18"" x 37"" x 37"" and stores up to 40 tools.",Rubbermaid Deluxe Tool Tower,$40,2018-01-04T07:42:01-05:00,3,https://www.dealnews.com/Rubbermaid-Deluxe-Tool-Tower-for-40-free-shipping/2171546.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qj80fzwkxu6lsbj0plsa",,2171546,,free shipping,HOME & GARDEN
"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171594"">NewAge Versarac Adjustable Ceiling Storage Rack</a> in Gray for <strong>$119</strong> with <strong>free shipping</strong>. That's $80 off and the lowest price we could find. It measures 96"" x 48"" x 42"" and features a load capacity of 600 lb. Deal ends January 31.",NewAge Adjustable Ceiling Storage Rack,$119,2018-01-04T07:40:49-05:00,3,https://www.dealnews.com/New-Age-Adjustable-Ceiling-Storage-Rack-for-119-free-shipping/2171594.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ythzhblzjt4zzfpx4bl7",,2171594,,free shipping,TOOL STORAGE & ORGANIZATION
"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171540"">Fitness Gear 40 lb. Weighted Vest</a> for <strong>$74.99</strong> with <strong>free shipping</strong>. That's $25 off list and the lowest price we could find. It features 20 pockets of removable 2-lb. weights.",Fitness Gear 40 lb. Weighted Vest,$75,2018-01-04T07:37:38-05:00,3,https://www.dealnews.com/Fitness-Gear-40-lb.-Weighted-Vest-for-75-free-shipping/2171540.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uleiggoq1wxthrdehosw",,2171540,,free shipping,EXERCISE EQUIPMENT
"Columbia offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171561"">Columbia Toddler Girls' Switchback Rain Jacket</a> in Pacific Rim or Eve for <strong>$14.90</strong>. Plus, Greater Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095574,2171561"">sign up</a>.) That's the lowest price we could find by $10. It's available in sizes 2T to 4T.",Columbia Toddler Girls' Rain Jacket,$15,2018-01-04T07:15:35-05:00,2,https://www.dealnews.com/Columbia-Toddler-Girls-Rain-Jacket-for-15-free-shipping/2171561.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x2kwjhdhxxsaksqxghaf",,2171561,,free shipping,KIDS' CLOTHES
"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171567"">Logitech K400 Wireless Touchpad Keyboard</a> for <strong>$16.97</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's the lowest price we could find by $3, although we saw it for a buck less last Black Friday. It features a 33-foot wireless range, built-in 3.5"" touchpad, and multimedia hot keys.",Logitech K400 Wireless Touchpad Keyboard,$17,2018-01-04T07:14:58-05:00,3,https://www.dealnews.com/Logitech-K400-Wireless-Touchpad-Keyboard-for-17-pickup-at-Walmart/2171567.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qofkdbhktgejzozdbeod",,2171567,,pickup at Walmart,KEYBOARDS
"13 Deals offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171576"">6-Piece Non-Stick Copper Bakeware Set</a> for <strong>$22.99</strong> with <strong>free shipping</strong>. That's $27 off and the lowest price we could find. It includes three cake pans, a muffin pan, medium loaf pan, and a cookie sheet.",6-Piece Non-Stick Copper Bakeware Set,$23,2018-01-04T07:13:01-05:00,2,https://www.dealnews.com/6-Piece-Non-Stick-Copper-Bakeware-Set-for-23-free-shipping/2171576.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qi00iedpkfshwqfga3od",,2171576,,free shipping,KITCHEN
"Nashville Shoe Warehouse via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171558"">G.H. Bass &amp; Co. Men's Bruno Leather Oxford Shoes</a> in Chocolate for <strong>$34.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $45. They're available in sizes 7.5 to 13.",G.H. Bass & Co. Men's Bruno Leather Oxfords,$35,2018-01-04T07:12:48-05:00,4,https://www.dealnews.com/G.H.-Bass-Co.-Mens-Bruno-Leather-Oxfords-for-35-free-shipping/2171558.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/npb4nnjbmgytx2f59hle",,2171558,,free shipping,SHOES
"As one of its daily deals, That Daily Deal offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171564"">Shiatsu Heated Neck and Back Massager</a> for <strong>$19.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $15, although we saw it for $2 less three weeks ago. It features four kneading discs, 20-minutes auto shut-off, and charging cables. Deal ends today.",Shiatsu Heated Neck and Back Massager,$20,2018-01-04T07:00:48-05:00,2,https://www.dealnews.com/Shiatsu-Heated-Neck-and-Back-Massager-for-20-free-shipping/2171564.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pjdlkmfd0wphdhg6cgnz",,2171564,,free shipping,MEDICINE & MEDICAL
"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171534"">five Dixie Everyday Disposable Paper Plate 44-Packs</a> (220 total) for <strong>$13.29</strong> with <strong>free shipping</strong> via the steps below. That's the lowest price we could find by $10, although we saw them for $2 less last November. They're cut-resistant and microwavable. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095559,2171534"">220 Dixie Everyday Disposable Paper Plates</a> for $16.09
 </li>
 <li>clip the $2 off coupon on the product page
 </li>
 <li>check out via Subscribe &amp; Save for a final price of <strong>$13.29</strong> and to receive <strong>free shipping</strong>
 </li>
</ol>
Be sure to cancel Subscribe & Save once your order ships to avoid being billed for subsequent shipments.",220 Dixie Everyday Disposable Paper Plates,$13,2018-01-04T06:56:55-05:00,4,https://www.dealnews.com/220-Dixie-Everyday-Disposable-Paper-Plates-for-13-free-shipping/2171534.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/awhn9xsvfzebs1nolexm",,2171534,,free shipping,PARTY SUPPLIES
"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171522"">Intuit TurboTax Premier 2017 Federal + E-File + State Tax Preparation Software for Windows and Mac</a> bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095556,2171522"">Quicken Starter Edition 2018 1-Year Membership</a> for <strong>$54.86</strong> with <strong>free shipping</strong>. That's tied with last week's mention and $35 under the lowest price we could find for these items sold separately elsewhere.",TurboTax Premier 2017 PC/Mac w/ Quicken 2018,$55,2018-01-04T06:55:19-05:00,4,https://www.dealnews.com/Turbo-Tax-Premier-2017-PC-Mac-w-Quicken-2018-for-55-free-shipping/2171522.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mbvv75bnpc0rmdmmem28",,2171522,,free shipping,SOFTWARE
"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171528"">Fisher Space Bullet Space Pen</a> in Matte Black for <b>$13.08</b> with <b>free shipping</b>. That's the lowest price we could find by $8. It works in extreme temperatures from -30° F to 250° F and in extreme conditions such as the gravity-free vacuum of space. (Just in case ...)",Fisher Space Bullet Space Pen,$13,,4,https://www.dealnews.com/Fisher-Space-Bullet-Space-Pen-for-13-free-shipping/2171528.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zylgecfedco1zbwos99d",,2171528,2018-01-04T09:01:52-05:00,free shipping,SUPPLIES
"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171516"">Seattle Sports 8-Liter AquaSto Water Keg</a> in Black for <strong>$6.73</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the lowest price we could find by $4. It doubles as solar water heater for showers and dish washing, and includes a flat cap, a push-pull cap, spigot, and carry handle.",Seattle Sports 8L AquaSto Water Keg,$7,2018-01-04T06:43:36-05:00,3,https://www.dealnews.com/Seattle-Sports-8-L-Aqua-Sto-Water-Keg-for-7-pickup-at-REI/2171516.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vcivlgs9tqw5arvnylmz",,2171516,,pickup at REI,CAMPING & OUTDOORS
