category,editors_choice,title,hotness,description,shipping,url,picture_url,uuid,price,time_published,time_modified
KIDS' CLOTHES,,L.L.Bean Girls' Puff-n-Stuff Jacket,4,"L.L.Bean offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169011"">L.L.Bean Boys' Puff-n-Stuff Jacket</a> in three colors (Bold Lilac pictured) for $29.99. Coupon code ""EXTRA25"" cuts that price to <strong>$22.49</strong>. With <strong>free shipping</strong>, that's $37 off and the lowest price we could find. It's available in sizes 10/12 and 14/16. Deal ends January 1.",free shipping,https://www.dealnews.com/L.L.Bean-Girls-Puff-n-Stuff-Jacket-for-22-free-shipping/2169011.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ar6itllqfetcsvfpv661",2169011,$22,,2017-12-31T09:24:20-05:00
KITCHEN,,Insulated 16oz. Thermos w/ Tea Strainer,5,"EFO-S via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169005"">EFOSHM Insulated Stainless Steel 16-oz. Thermos with Removable Tea Strainer</a> in Black for $16.99. Clip the 40% off coupon to drop the price to <b>$10.19</b>. Plus, Prime members receive <b>free shipping</b>. That's $7 under our January mention and the lowest price we've seen. This double-wall, vacuum-insulated thermos is BPA-free.",free shipping w/ Prime,https://www.dealnews.com/Insulated-16-oz.-Thermos-w-Tea-Strainer-for-10-free-shipping-w-Prime/2169005.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hva2w82uuxd8nyp1ryru",2169005,$10,,2017-12-31T09:04:15-05:00
GAMES,,Mass Effect: Andromeda Deluxe for Xbox One,2,"Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169002"">Mass Effect: Andromeda Deluxe for Xbox One</a> for $19.99. Coupon code ""EMCBCDR39"" cuts the price to <strong>$9.99</strong>. With <strong>$2.99</strong> for shipping, that's the lowest price we could find by $10, although it was a a buck less two weeks ago.",$3 shipping,https://www.dealnews.com/Mass-Effect-Andromeda-Deluxe-for-Xbox-One-for-10-3-s-h/2169002.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wac3gwfjw4hlgqcmqll9",2169002,$10,,2017-12-31T09:52:31-05:00
COMPUTER SERVICES,,"DIRECTV + AT&T Internet, $300 in Reward Cards",,"With a 2-year TV and a 1-year Internet agreement, AT&T offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168576"">AT&amp;T Internet 50 service</a> bundled with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089631,2168576"">DIRECTV Select</a> and a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089634,2168576"">$300 in Reward Cards</a> for <strong>$65 per month</strong> for the first 12 months. (Scroll down. It's the offer on the right under ""Bundle AT&T services and save"".) The Internet 50 service features speeds up to 50Mbps with unlimited data. DIRECTV Select features over 150 channels, HD DVR service, plus HBO, SHOWTIME, STARZ, and Cinemax for three months. (Plan prices may vary by location. The cost for months 13-24 is $106/mo.)",,https://www.dealnews.com/DIRECTV-AT-T-Internet-300-in-Reward-Cards-for-65-per-month/2168576.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rurgdozgvabmllj0w2p6",2168576,$65 per month,2017-12-31T00:01:00-05:00,
OFFICE CHAIRS,,Staples Bresser Luxura Managers Chair,4,"Staples offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168999"">Staples Bresser Luxura Managers Chair</a> in Tan for <strong>$67.86</strong> with <strong>free shipping</strong>. That's $81 off and the lowest price we could find. It's weight-rated to 225-lbs. and features pneumatic seat height adjustment, internal lumbar support, and adjustable tilt tension and lock.",free shipping,https://www.dealnews.com/Staples-Bresser-Luxura-Managers-Chair-for-68-free-shipping/2168999.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f9wn4tixywx22ycx9uyt",2168999,$68,,2017-12-31T09:21:30-05:00
HOME FURNITURE,,Mainstays Adjustable-Height Barstool 3pk,3,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168996"">Mainstays Adjustable-Height Swivel Barstool 3-Pack</a> for <strong>$50</strong> with <strong>free shipping</strong>. That's $49 off and the lowest price we could find. They are adjustable from 24"" to 29"".",pickup at Walmart,https://www.dealnews.com/Mainstays-Adjustable-Height-Barstool-3-pk-for-50-pickup-at-Walmart/2168996.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h1wnhrcuqki32g6opoyd",2168996,$50,,2017-12-31T09:40:52-05:00
OFFICE CHAIRS,,SeatWell Ergonomic Task Chair,3,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168987"">SeatWell Ergonomic Task Chair</a> in several colors (White pictured) for <strong>$39.98</strong> with <strong>free shipping</strong>. (Non-members pay a $3.99 surcharge.) That's $10 off and the lowest price we could find. It has a weight capacity of up to 300 lbs.",free shipping,https://www.dealnews.com/Seat-Well-Ergonomic-Task-Chair-from-40-free-shipping/2168987.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ckqmvbuikv7co3oxoxgb",2168987,from $40,,2017-12-31T09:40:27-05:00
EBOOKS,,"""The Ripple Trilogy"" Kindle eBook Box Set",5,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168957"">Cidney Swanson's <i>The Ripple Trilogy: Books 1-3</i> for Kindle</a> for <strong>free</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089955,2168957"">Barnes &amp; Noble</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089958,2168957"">Kobo</a> charge the same.) That's $8 off and the lowest price we could find.",,https://www.dealnews.com/The-Ripple-Trilogy-Kindle-eBook-Box-Set-for-free/2168957.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wekayadzdttbt2eavquf",2168957,free,,2017-12-31T09:02:00-05:00
BABIES & KIDS ITEMS,,Britax Marathon ClickTight Car Seat,2,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168933"">Britax Marathon ClickTight Convertible Car Seat</a> in Prescott for <strong>$219.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $53. It features an adjustable height and harness, reclining seat, side impact protection, and support for kids up to 65 lbs.<br>
<br>
It's expected to ship in 1 to 2 months.",free shipping,https://www.dealnews.com/Britax-Marathon-Click-Tight-Car-Seat-for-220-free-shipping/2168933.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/urruyqvwwbw5sb0g5gav",2168933,$220,,2017-12-31T09:47:06-05:00
INKJET PRINTERS,,Canon Pixma WiFi Inkjet Printer w/ Paper,3,"BuyDig offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168909"">Canon Pixma Pro-100 Wireless Professional Inkjet Photo Printer</a> bundled with the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089910,2168909"">Canon Photo Paper Plus Semi-Gloss SG201 13x19"" 50-Sheet Pack</a> for $329. Redeem this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089913,2168909"">$250 mail-in rebate</a> to cut the price to <strong>$79</strong>. With <strong>free shipping</strong>, that's tied with our expired mention from three days ago, and the lowest price we could find by $171. The printer features a 4800x2400 dpi maximum print resolution, up to 13x19"" wide-format printing, 802.11n wireless, PictBridge, and USB. Deal ends December 31.",free shipping,https://www.dealnews.com/Canon-Pixma-Wi-Fi-Inkjet-Printer-w-Paper-for-79-after-rebate-free-shipping/2168909.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xxkymncbfa582on9kngz",2168909,$79 after rebate,,2017-12-31T09:40:07-05:00
COATS,,Columbia Women's Karis Gale Long Jacket,4,"Columbia offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168993"">Columbia Women's Karis Gale Long Jacket</a> in several colors (Dark Raspberry pictured) for $99.99. Coupon code ""COLDEC60"" knocks it to <strong>$79.99</strong>. Plus, Greater Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090003,2168993"">sign up</a>.) That's $120 off and the lowest price we could find. It's available in select sizes from XS to XL. Deal ends December 31.",free shipping,https://www.dealnews.com/Columbia-Womens-Karis-Gale-Long-Jacket-for-80-free-shipping/2168993.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lu2jamll4nj7mgnamgp6",2168993,$80,,2017-12-31T09:20:00-05:00
CLOTHING & ACCESSORIES,,Ugg Closet Sale,5,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168921"">Ugg Closet</a> takes <strong>up to 60% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089970,2168921"">men's, women's, and kids' footwear</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089928,2168921"">Closet Sale</a>. (Prices are as marked.) Shipping adds <strong>$8</strong>, but orders of $125 or more bag free shipping. Available sizes and quantities for some items are limited.",free shipping w/ $125,https://www.dealnews.com/Ugg-Closet-Sale-Up-to-60-off-free-shipping-w-125/2168921.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bhawaav5vj8bdx212xwd",2168921,Up to 60% off,,2017-12-31T08:57:55-05:00
ACCESSORIES,,2 Men's Leather Double Prong Belts,3,"Dailysteals via eBay offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168990"">two Men's Leather Double Prong Belts</a> in Black and Brown for <strong>$7.99</strong> with <strong>free shipping</strong>. That's $3 below our August mention and the lowest price we could find by $5. They're available in sizes 30-32 to 42-44.",free shipping,https://www.dealnews.com/2-Mens-Leather-Double-Prong-Belts-for-8-free-shipping/2168990.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fmqmqiddgwxi3ggkdsul",2168990,$8,,2017-12-31T09:38:27-05:00
CREDIT CARDS,,Southwest Rapid Rewards® Plus Credit Card,,"Sign up for a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168492"">Southwest Rapid Rewards® Plus Credit Card from Chase</a> and earn <strong>40,000 points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089469,2168492"">$1,000 or more</a> in the first three months your account is open. You'll also earn <strong>3,000 bonus points</strong> after your Cardmember anniversary. Plus, earn unlimited points that don't expire as long as your card account is open. Cardmembers earn 2 points per $1 spent on Southwest® purchases and Rapid Rewards® Hotel and Car Rental Partner purchases, and 1 point per $1 spent on all other purchases. There are no blackout dates or seat restrictions when you redeem with points. Finally, bags fly free® and there are no change fees. A $69 annual fee applies.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,"https://www.dealnews.com/lw/click.html?20,2,2168492","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bdvpkwrdh3pw8ey7wvmq",2168492,"40,000 points",2017-12-29T15:35:48-05:00,
HEADPHONES,,AKG K553 Pro Studio Headphones,3,"Musician's Friend offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168984"">AKG K553 Pro Closed-Back Studio Headphones</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's a buck under our July mention and $51 below the lowest we could find for a <i>used</i> pair. (These are new. Other stores charge around $199 for a new pair.) These closed-back headphones feature 50mm drivers, a frequency response of 12Hz to 28kHz, 32-ohm impedance, foam ear pads, and 10-foot straight cable.",free shipping,https://www.dealnews.com/AKG-K553-Pro-Studio-Headphones-for-99-free-shipping/2168984.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ycte5dhakqnou2is8xoi",2168984,$99,,2017-12-31T09:37:59-05:00
PC GAMES,,Final Fantasy XIV: Stormblood for PC,2,"Amazon offers Prime members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168948"">Final Fantasy XIV: Stormblood for Windows</a> for <s>$11.77</s> <strong>$11.40</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $28.<br>
<br>
Note: You must have Final Fantasy XIV: A Realm Reborn (sold separately) to play Stormblood.",free shipping w/ Prime,https://www.dealnews.com/Final-Fantasy-XIV-Stormblood-for-PC-11-free-shipping-w-Prime/2168948.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rv6iialsspyinsqpevjb",2168948,$11,,2017-12-31T09:46:26-05:00
SKIN CARE,,Neutrogena Oil-Free Acne Face Wash 3-Pack,4,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168975"">Neutrogena Oil-Free Acne Face Wash 9.1-oz. Bottle 3-Pack</a> for $12.75. Check out via Subsribe & Save to cut that price to <strong>$12.11</strong> and bag <strong>free shipping</strong>. That's $7 under what you'd pay at a local retailer.<br>
<br>
Note: Be sure to cancel your subscription once your order ships to avoid being billed for further shipments.",free shipping w/ Prime,https://www.dealnews.com/Neutrogena-Oil-Free-Acne-Face-Wash-3-Pack-for-12-free-shipping-w-Prime/2168975.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cafxoqnib78fz16lxvb7",2168975,$12,,2017-12-31T09:18:59-05:00
GAMES,,inFAMOUS Second Son for PS4,2,"Amazon offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168954"">inFAMOUS Second Son for PlayStation 4</a> for <strong>$9.99</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089952,2168954"">PlayStation Store</a> has it for the same price.) That's $10 under the best deal we could find for a physical copy.",,https://www.dealnews.com/in-FAMOUS-Second-Son-for-PS4-for-10/2168954.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nxaufe7rlpxmgthuq117",2168954,$10,,2017-12-31T09:45:26-05:00
JEWELRY,,11mm AA+ Freshwater Lavender Pearl Necklace,2,"Win Pearl offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168885"">11mm AA+ Freshwater Lavender Pearl Necklace</a> for $99.99. Coupon code ""dealnews60"" cuts that to <strong>$40</strong>. With <strong>free shipping</strong>, that's $130 off list and the lowest price we could find. It features a silver clasp and measures 17.5"" in length. Deal ends January 4.",free shipping,https://www.dealnews.com/11-mm-AA-Freshwater-Lavender-Pearl-Necklace-for-40-free-shipping/2168885.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fhwarhcutisn037ezibv",2168885,$40,,2017-12-31T09:45:09-05:00
MOTHERBOARDS,,MSI X370 Gaming Plus AMD AM4 ATX Mobo,3,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168951"">MSI X370 Gaming Plus AMD Ryzen AM4 ATX Motherboard</a> for $109.99. This <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089943,2168951"">$30 mail-in rebate</a> cuts it to <b>$79.99</b>. With <strong>free shipping</strong>, that's the lowest price we could find by $49, outside of the deal below. It supports AMD Ryzen CPUs and 7th Generation A-series/Athlon CPUs. Other features include two PCIe 3.0 x16 slots, one PCIe 2.0 x16 slot, six SATA 6Gb/s ports, one HDMI port, and Gigabit Ethernet. Deal ends December 31.<br>
<br>
<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089946,2168951"">Newegg</a> charges the same, also after <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089949,2168951"">rebate</a>, but with 99 cents for shipping.",free shipping,https://www.dealnews.com/MSI-X370-Gaming-Plus-AMD-AM4-ATX-Mobo-for-80-after-rebate-free-shipping/2168951.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vfggtyyl7uewiho222e9",2168951,$80 after rebate,,2017-12-31T09:37:32-05:00
EBOOKS,,Kindle Unlimited 12-Month Subscription,3,"Amazon offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168939"">Kindle Unlimited 12-Month Subscription</a> for <strong>$83.92</strong>. That's $36 off, and a monthly rate of $7. Kindle Unlimited features unlimited reading and listening for hundreds of thousands of Kindle books and audiobooks. Some conditions apply.",,https://www.dealnews.com/Kindle-Unlimited-12-Month-Subscription-for-84/2168939.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gkwafdilnojadm12oljs",2168939,$84,,2017-12-31T09:35:33-05:00
COFFEE,True,6 Folgers Ground Coffee 10.3-oz. Cans,4,"ShopRite offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168927"">six Folgers Ground Coffee 10.3-oz. Canisters</a> in Colombian (pictured), <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089931,2168927"">French Roast</a>, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089934,2168927"">Black Silk</a>, or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089937,2168927"">Breakfast Blend</a> for <b>$11.94</b>. Coupon code ""SHIPSFREE"" yields <b>free shipping</b>. That's $1.99 per can and $13 under the lowest price we could find for any flavor in this quantity from another local store.",free shipping,https://www.dealnews.com/6-Folgers-Ground-Coffee-10.3-oz.-Cans-for-12-free-shipping/2168927.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/n6om1hqumu1zsqrriqmo",2168927,$12,,2017-12-31T08:34:54-05:00
CLOTHING & ACCESSORIES,,Express Clearance Sale,4,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168918"">Express</a> takes an <strong>extra 50% off</strong> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089916,2168918"">men's</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089919,2168918"">women's clearance items</a>. (Discount is applied automatically in-cart.) Shipping adds <strong>$8</strong>, but orders of <del>$25</del> $50 or more qualify for free shipping. Some exclusions apply. Deal ends December 31.",free shipping w/ $50,https://www.dealnews.com/Express-Clearance-Sale-Extra-50-Off-free-shipping-w-50/2168918.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hvd4psobimaskomcdayj",2168918,Extra 50% Off,,2017-12-31T09:18:37-05:00
CREDIT CARDS,,Bank of America® Cash Rewards Credit Card,,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167598"">Bank of America® Cash Rewards credit card</a> and receive a <strong>$150 cash rewards bonus</strong> after you spend at least $500 on purchases in the first 90 days of account opening. Plus, get a <strong>10% customer bonus</strong> every time you redeem your cash back into a Bank of America® checking or savings account. (If you're a Preferred Rewards client, you can increase that bonus to 25% - 75%.) You'll also earn 1% cash back everywhere, every time, 2% at grocery stores and wholesale clubs, and 3% on gas for the first $2,500 in combined grocery, wholesale club, and gas purchases each quarter. (There are no changing categories and your rewards do not expire.) Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,"https://www.dealnews.com/lw/click.html?20,2,2167598","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iqvilhcxr75ii4qvfihq",2167598,$150 cash rewards offer,,2017-12-28T12:39:27-05:00
CAMPING & OUTDOORS,,Pflueger President/Cabela's Spinning Combo,3,"Cabela's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168618"">Pflueger President/Cabela's Tourney Trail Spinning Combo</a> for <strong>$49.88</strong>. Opt for in-store <strong>pickup</strong> to dodge the $8.95 shipping fee. That's $40 off list and the lowest price we could find. It features a nine-bearing reel with anti-reverse, multidisc drag system, IM8-graphite rod, and split cork grips. It's available in 6.5-foot to 7-foot lengths with fast or moderate fast action.",pickup at Cabela's,https://www.dealnews.com/Pflueger-President-Cabelas-Spinning-Combo-for-50-pickup-at-Cabelas/2168618.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wpumtzi1ufxffxw9nsfo",2168618,$50,,2017-12-31T09:35:13-05:00
COMPUTER CASES & ACCESSORIES,,Cooler Master MasterBox Lite 3.1 TG mATX Case,3,"Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168507"">Cooler Master MasterBox Lite 3.1 TG MicroATX Mini Tower Case</a> in Black for $39.99. This <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089499,2168507"">$10 mail-in rebate</a> cuts it to <strong>$29.99</strong>. With <strong>$3.99</strong> for shipping, that's the lowest price we could find by $6. It features two internal 3.5"" drive bays, an internal 2.5"" drive bay, USB 3.0, one 120mm fan (with support for up to two more), four expansion slots, and 4mm tempered glass side panel. It comes with three custom trim colors. Deal ends December 31.",$4 shipping,https://www.dealnews.com/Cooler-Master-Master-Box-Lite-3.1-TG-mATX-Case-for-30-after-rebate-4-s-h/2168507.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ckkymhuxkwnnefquyii7",2168507,$30 after rebate,,2017-12-31T09:34:32-05:00
TOYS & HOBBIES,,Razor Jetts Heel Wheels,4,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168513"">Razor Jetts Heel Wheels</a> for <strong>$21.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089505,2168513"">Target</a> charges the same with in-store pickup.) That's the lowest price we could find by $3. They fit shoe sizes from kids' 12 through men's 12.",free shipping w/ Prime,https://www.dealnews.com/Razor-Jetts-Heel-Wheels-for-22-free-shipping-w-Prime/2168513.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r5m3bnwukjuoszq36jyp",2168513,$22,,2017-12-31T09:16:38-05:00
