editors_choice,description,url,time_published,picture_url,category,time_modified,uuid,price,hotness,title,shipping
True,"In select ZIP codes only, Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169239"">Logitech Harmony Smart Control with Universal Remote</a> for the in-cart price of $79. It drops to <strong>$58</strong> when you choose in-store <b>pickup</b>. That's tied with our mention from three weeks ago as the best price we've seen this year and it's the lowest price we could find today by $21. The Harmony Smart Control works on more than 225,000 devices and features Bluetooth 3.0, a universal remote with 50 favorite channel icons, and support for Amazon's Alexa voice control. The hub also works with the Harmony app for iOS or Android.",https://www.dealnews.com/Logitech-Harmony-Smart-Control-w-Remote-for-58-pickup-at-Walmart/2169239.html,2017-12-31T18:06:52-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dvxltgggszc7hseyrceu",UNIVERSAL REMOTE CONTROLS,,2169239,$58,4,Logitech Harmony Smart Control w/ Remote,pickup at Walmart
,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168498"">Bank of America® Travel Rewards credit card</a> and receive <strong>20,000 bonus points</strong> if you make at least $1,000 in purchases in the first 90 days of account opening – that can be redeemed for a <strong>$200 Statement Credit towards travel purchases</strong>. Plus, earn <strong>1.5 points</strong> per $1 spent on all purchases, with <strong>no annual fee</strong> and <strong>no foreign transaction fees</strong>. Redeem points for a statement credit to pay for flights, hotels, vacation packages, cruises, rental cars, or baggage fees with no blackout dates. There's no limit to the total number of points you can earn and points don't expire.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>","https://www.dealnews.com/lw/click.html?20,2,2168498",2017-12-29T15:40:39-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bv3urdvfxvmwirwdv9qm",CREDIT CARDS,,2168498,"20,000 bonus points offer",,Bank of America® Travel Rewards Credit Card,
,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169230"">Fire Emblem Warriors for Nintendo Switch</a> for <strong>$42.52</strong> with <strong>free shipping</strong>. That's $5 under our preorder mention from August and the lowest price we could find today by $16.",https://www.dealnews.com/Fire-Emblem-Warriors-for-Nintendo-Switch-43-free-shipping/2169230.html,2017-12-31T17:25:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ai4qpx8x12w28vyi2uss",GAMES,,2169230,$43,3,Fire Emblem Warriors for Nintendo Switch,free shipping
,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169233"">The Bourne Ultimate Collection on Blu-ray 4K</a> for <b>$43.49</b> with <b>free shipping</b>. That's the lowest price we could find by $27. It includes all five films plus special features and commentary.",https://www.dealnews.com/The-Bourne-Ultimate-Collection-on-Blu-ray-4-K-for-43-free-shipping/2169233.html,2017-12-31T17:15:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/knncbhuqv78d6675zifx",BLU-RAY DISC MOVIES,,2169233,$43,3,The Bourne Ultimate Collection on Blu-ray 4K,free shipping
True,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169236"">Mattel Fast &amp; Furious Elite Diecast Vehicles 8-Pack</a> for <b>$9.94</b> with <strong>free shipping</strong>. That's $2 under our mention from four days ago and the lowest price we could find now by $13. They feature authentic auto decos from the movie.",https://www.dealnews.com/Fast-Furious-Elite-Diecast-Vehicles-8-Pack-for-10-free-shipping-w-Prime/2169236.html,2017-12-31T17:10:38-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mbvpintrcayxzoehspeo",TOYS & HOBBIES,,2169236,$10,4,Fast & Furious Elite Diecast Vehicles 8-Pack,free shipping w/ Prime
,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169227"">Keurig Krispy Kreme Doughnuts Single-Serve K-Cup Pods 72-Pack</a> for <b>$27.11</b> via the steps below. That's the lowest price we could find by $15, although we saw it for $9 less in July. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169227"">Keurig Krispy Kreme Doughnuts Single-Serve K-Cup Pods 72-Pack</a> for $36.15
 </li>
 <li>clip the 20% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save to yield a final total of <b>$27.11</b> and bag <b>free shipping</b>
 </li>
</ol>
Be sure to cancel Subscribe & Save after your order ships to avoid being charged for subsequent orders.",https://www.dealnews.com/Keurig-Krispy-Kreme-Doughnuts-K-Cup-72-Pack-for-27-free-shipping/2169227.html,2017-12-31T17:05:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qinnfufikmkath5nylip",COFFEE,,2169227,$27,4,Keurig Krispy Kreme Doughnuts K-Cup 72-Pack,free shipping
,"B&H Photo Video offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169218"">Samsung 42.5"" 1080p LED-Backlit LCD HD Smart Television</a>, model no. UN43M5300AFXZA, for <strong>$299.95</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $48. It features a native resolution of 1920x1080 (1080p), Smart Hub (with access to Netflix, Amazon Instant Video, Hulu, etc.), and two HDMI inputs.",https://www.dealnews.com/Samsung-43-1080-p-LED-LCD-HD-Smart-TV-for-300-free-shipping/2169218.html,2017-12-31T16:55:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sbimbniikr6jms6tcylf",TVS,,2169218,$300,3,"Samsung 43"" 1080p LED LCD HD Smart TV",free shipping
,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169209"">The Office: The Complete Series on DVD</a> for <strong>$36.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $13 and the second-best deal we've seen for this set. (It was a buck less in October.) This set includes all 201 episodes.",https://www.dealnews.com/The-Office-The-Complete-Series-on-DVD-for-37-free-shipping/2169209.html,2017-12-31T16:44:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/goamcs2zsybnxuue8lo6",DVD MOVIES,,2169209,$37,3,The Office: The Complete Series on DVD,free shipping
,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169194"">DeLonghi Nespresso Lattissima Plus Espresso Maker</a> in Red for <strong>$229</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $51. It features a single-touch hot milk system, ""clean"" button for easy maintenance, automatic capsule ejection after brewing, and sliding drip tray.",https://www.dealnews.com/De-Longhi-Nespresso-Lattissima-Plus-Machine-for-229-free-shipping/2169194.html,2017-12-31T16:35:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wczzfcroeujqddtfd7jd",SMALL APPLIANCES,,2169194,$229,3,DeLonghi Nespresso Lattissima Plus Machine,free shipping
,"Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169206"">AmazonBasics Cotton Washcloth 24-Pack</a> in White for <b>$9.99</b>. Plus, Amazon Prime members bag <b>free shipping</b>. That's $4 off list and the lowest price we could find. Each towel measures 12"" x 12"".",https://www.dealnews.com/Amazon-Basics-Cotton-Washcloth-24-Pack-for-10-free-shipping-w-Prime/2169206.html,2017-12-31T16:25:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aebrqohfdmglkhu4akjy",TOWELS,,2169206,$10,4,AmazonBasics Cotton Washcloth 24-Pack,free shipping w/ Prime
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169191"">Hawthorne Place Cabinet Knob 10-Pack</a> in Chrome/White for <b>$2.90</b>. Choose in-store <b>pickup</b> to avoid the $5.99 shipping charge. That's $10 off list and the lowest price we could find.",https://www.dealnews.com/Hawthorne-Place-Cabinet-Knob-10-Pack-for-3-pickup-at-Walmart/2169191.html,2017-12-31T16:10:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xrjkibv3oqybjlhtdw2r",HOME IMPROVEMENT,,2169191,$3,5,Hawthorne Place Cabinet Knob 10-Pack,pickup at Walmart
,"For new members only, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168579"">Winc</a> offers <strong>$25 off</strong> the cost of your <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089637,2168579"">first order</a>. Plus, <strong>free shipping</strong> applies. Winc is a monthly wine delivery service. Just answer a few questions about your taste in wine, and you'll receive four bottles per month. (You can choose any combination of red or white wine.) Finally, there are no membership fees, and you can skip a month, or cancel anytime. Select states are excluded.",https://www.dealnews.com/Winc-Wine-Service-25-off-your-first-order-free-shipping/2168579.html,2017-12-31T00:01:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wnpfbsacht3beqcx5rij","BEER, WINE, LIQUOR",,2168579,$25 off your first order,,Winc Wine Service,free shipping
,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169203"">CyberPower Grounding Adapter 2-Pack</a> for <strong>96 cents</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5. It lets you fit 3-prong plugs into 2-prong outlets.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",https://www.dealnews.com/Cyber-Power-Grounding-Adapter-2-Pack-for-1-w-25-purchase-free-shipping/2169203.html,2017-12-31T15:55:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/emfa2o8eb0dvaaz5zcvl",POWER MANAGEMENT,,2169203,$1 w/ $25 purchase,4,CyberPower Grounding Adapter 2-Pack,free shipping
True,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169221"">DC Super Hero Girls Batgirl &amp; Vehicle Set</a> for <strong>$13.80</strong> with <strong>free shipping</strong>. That's $2 below our mention from two weeks ago, a current best by $2 (most stores charge at least $26), and the lowest price we've seen. (For further comparison, it was $18 on Black Friday.) It transforms from a rolling vehicle into a stationary play set and includes a Batgirl action figure.",https://www.dealnews.com/DC-Super-Hero-Girls-Batgirl-Vehicle-Set-for-14-free-shipping-w-Prime/2169221.html,2017-12-31T15:35:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p3nkwjyirfuvyvjbarqv",TOYS & HOBBIES,,2169221,$14,2,DC Super Hero Girls Batgirl & Vehicle Set,free shipping w/Prime
True,"Fry's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169215"">Rio / Robots / Horton Hears a Who Triple Feature on Blu-ray Disc</a> for <strong>$3.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $6. Deal ends January 6.",https://www.dealnews.com/Rio-Robots-Horton-Hears-a-Who-on-Blu-ray-for-4-free-shipping/2169215.html,2017-12-31T15:20:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/plukmuvvdbutfsljzy0x",BLU-RAY DISC MOVIES,,2169215,$4,3,Rio / Robots / Horton Hears a Who on Blu-ray,free shipping
True,"For in-store pickup only, and with stock varying by ZIP code, Fry's offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169212"">The Internship / The Watch / Dodgeball Triple Feature on Blu-ray Disc</a> for <strong>$4.99</strong>. That's the lowest price we could find for this Vince Vaughn comedy collection by $14.",https://www.dealnews.com/Internship-The-Watch-Dodgeball-on-Blu-ray-for-5-pickup-at-Frys/2169212.html,2017-12-31T15:08:25-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fo3wrwewdayfj4yp9efx",BLU-RAY DISC MOVIES,,2169212,$5,2,Internship / The Watch / Dodgeball on Blu-ray,pickup at Fry's
,"Fry's offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169182"">The Bridge On The River Kwai Limited Edition Steelbook on Blu-ray</a> for <b>$3.99</b> with <b>free shipping</b>. That's the lowest price we could find for this classic film by $5.",https://www.dealnews.com/The-Bridge-On-The-River-Kwai-on-Blu-ray-for-4-free-shipping/2169182.html,2017-12-31T14:20:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fn10lkb5crejxxnsudqv",BLU-RAY DISC MOVIES,,2169182,$4,3,The Bridge On The River Kwai on Blu-ray,free shipping
,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169164"">PUMA Outlander Shoulder Laptop Bag</a> in Black or Grenadine for <b>$14.99</b> with <b>free shipping</b>. That's $2 under our October mention and the lowest price we could find by $5. It features an adjustable shoulder strap and measures 18"" x 13"" x 6"".",https://www.dealnews.com/PUMA-Outlander-Shoulder-Laptop-Bag-for-15-free-shipping/2169164.html,2017-12-31T13:45:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xeoigcu19npftw1g2rus",LAPTOP BAGS,,2169164,$15,4,PUMA Outlander Shoulder Laptop Bag,free shipping
,"BestBuy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169167"">Blomkamp Limited Edition Digibook Collection: Chappie/District 9/Elysium on Blu-ray and Digital HD</a> for $9.99. Clip the $1 off coupon when you choose <strong>pickup</strong> at checkout to cut that price to <strong>$8.99</strong>. That's the lowest price we could find by $4.",https://www.dealnews.com/Chappie-District-9-Elysium-on-Blu-ray-for-9-pickup-at-Best-Buy/2169167.html,2017-12-31T13:25:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ektmtiijobigtwed1hle",BLU-RAY DISC MOVIES,,2169167,$9,3,Chappie / District 9 / Elysium on Blu-ray,pickup at Best Buy
True,"Best Buy offers the 4-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090177,2169185"">Acer Intel Pentium Apollo Lake 1.1GHz 15.6"" 1080p Touchscreen Chromebook</a> in Silver bundled with the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169185"">Google Home Voice-Controlled Speaker</a> in White for <strong>$299</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago and $129 under the lowest price we could find for these items sold separately elsewhere. It features an Intel Pentium N4200 1.1GHz Apollo Lake quad-core processor, 15.6"" 1920x1080 (1080p) IPS LED-backlit touchscreen LCD, 4GB RAM, 32GB eMMC storage, 4-cell battery, and Google Chrome OS.",https://www.dealnews.com/Acer-16-1080-p-Touch-Chromebook-Google-Home-for-299-free-shipping/2169185.html,2017-12-31T13:23:10-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t69b4vmyz8gttll3brn6",LAPTOPS,,2169185,$299,3,"Acer 16"" 1080p Touch Chromebook, Google Home",free shipping
True,"Fry's offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169179"">Night at the Museum: 1 &amp; 2 on Blu-ray Disc</a> for <strong>$3.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $7.",https://www.dealnews.com/Night-at-the-Museum-1-2-on-Blu-ray-for-4-free-shipping/2169179.html,2017-12-31T13:17:58-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p4h5moru1wousc8ylhqz",BLU-RAY DISC MOVIES,,2169179,$4,3,Night at the Museum: 1 & 2 on Blu-ray,free shipping
,"Sign up for a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168492"">Southwest Rapid Rewards® Plus Credit Card from Chase</a> and earn <strong>40,000 points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089469,2168492"">$1,000 or more</a> in the first three months your account is open. You'll also earn <strong>3,000 bonus points</strong> after your Cardmember anniversary. Plus, earn unlimited points that don't expire as long as your card account is open. Cardmembers earn 2 points per $1 spent on Southwest® purchases and Rapid Rewards® Hotel and Car Rental Partner purchases, and 1 point per $1 spent on all other purchases. There are no blackout dates or seat restrictions when you redeem with points. Finally, bags fly free® and there are no change fees. A $69 annual fee applies.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>","https://www.dealnews.com/lw/click.html?20,2,2168492",2017-12-29T15:35:48-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bdvpkwrdh3pw8ey7wvmq",CREDIT CARDS,,2168492,"40,000 points",,Southwest Rapid Rewards® Plus Credit Card,
,"Amazon offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169143"">John Scalzi's <i>The Collapsing Empire: The Interdependency, Book 1</i> Kindle eBook</a> for <strong>$2.99</strong>. That's the lowest price we could find by $10.",https://www.dealnews.com/Scalzis-The-Collapsing-Empire-Kindle-eBook-for-3/2169143.html,2017-12-31T13:10:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/toudbok6wbxjnxr2bbn7",EBOOKS,,2169143,$3,3,"Scalzi's ""The Collapsing Empire"" Kindle eBook",
,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169134"">Bio Bidet Bliss Hybrid On-Demand Heating System Toilet Seat</a> for <strong>$329.99</strong> plus <strong>$5</strong> for shipping. That's the lowest price we could find by $95. It features a 3-in-1 cleaning nozzle, water heating system, a slow closing lid, and more. Deal ends today.",https://www.dealnews.com/Bio-Bidet-Bliss-Hybrid-Toilet-Seat-for-330-5-s-h/2169134.html,2017-12-31T12:55:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/q8j3zkavjuspn4ufpza5",BED & BATH,,2169134,$330,3,Bio Bidet Bliss Hybrid Toilet Seat,$5 shipping
,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169140"">SOG Zoom Assisted Folding Knife</a> for <strong>$39.99</strong> plus <strong>$5</strong> for shipping. That's the lowest price we could find by $15. It features a 3.6"" blade. Deal ends today.",https://www.dealnews.com/SOG-Zoom-Assisted-Folding-Knife-for-40-5-s-h/2169140.html,2017-12-31T12:35:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wjnpaunjw6o5nytiixeu",KNIVES & MULTITOOLS,,2169140,$40,3,SOG Zoom Assisted Folding Knife,$5 shipping
,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169110"">EAS 100% Pure Whey Protein Powder 2-lb. Tub</a> in Vanilla or Chocolate for <strong>$12.59</strong> with <strong>free shipping</strong> via the directions below. That's the lowest price we could find by $6, although we saw it for $2 less in March. It features 30 grams of protein per serving. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169110"">EAS 100% Pure Whey Protein Powder 2-lb. Tub</a> for $17.09
 </li>
 <li>clip the 25% off coupon
 </li>
 <li>check out via Subscribe &amp; Save for a final price of <strong>$12.59</strong>
 </li>
</ol>
Be sure to cancel your subscription after receiving your item to avoid being billed for subsequent shipments.",https://www.dealnews.com/EAS-Pure-Whey-Protein-Powder-2-lb.-Tub-for-13-free-shipping/2169110.html,2017-12-31T12:17:10-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rl6ojcth9y60ibznxtzp",SUPPLEMENTS,,2169110,$13,3,EAS Pure Whey Protein Powder 2-lb. Tub,free shipping
,"With orders of $25 or more, Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169119"">Monty Python and the Holy Grail 40th Anniversary on Blu-ray</a> for <strong>$4.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with an order of $25 or more.",https://www.dealnews.com/Monty-Python-and-the-Holy-Grail-on-Blu-ray-for-5-w-25-purchase-free-shipping/2169119.html,2017-12-31T12:12:55-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/acimmujsuiydxcop9u6y",BLU-RAY DISC MOVIES,,2169119,$5 w/ $25 purchase,3,Monty Python and the Holy Grail on Blu-ray,free shipping
,"As one of its daily deals, Woot offers the Seneca Desktop Monitor Mount in select sizes from <strong>$30.99</strong> as listed below. Shipping adds <strong>$5</strong>. The deals, which end today:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169149"">Seneca SD11 Single Desktop Monitor Mount</a> for <strong>$30.99</strong> (pictured, low by $9)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090108,2169149"">Seneca SD12 Dual Desktop Monitor Mount</a> for <strong>$39.99</strong> (low by $4)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090111,2169149"">Seneca SD13 Triple Desktop Monitor Mount</a> for <strong>$56.99</strong> (low by $15)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090114,2169149"">Seneca SD22 Quad Desktop Monitor Mount</a> for <strong>$66.99</strong> (low by $7)
 </li>
</ul>",https://www.dealnews.com/Seneca-Desktop-Display-Mounts-from-31-5-s-h/2169149.html,2017-12-31T12:10:13-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vaqdzjxvjas7hdbijeam",MONITORS,,2169149,from $31,4,Seneca Desktop Display Mounts,$5 shipping
,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169131"">JCPenney</a> discounts a large selection of items during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090075,2169131"">New Year's Sale</a>, including <strong>up to 80% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090078,2169131"">clearance items</a>. Plus, coupon code ""32FORYOU"" takes an <b>extra 20% off</b> most orders with no minimum purchase required or an <strong>extra 30% off</strong> orders of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090081,2169131"">$100 or more</a>. (It only takes 15% off select categories.) Alternatively, get an <strong>extra $10 off</strong> orders of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090084,2169131"">$25 or more</a> via coupon code ""COOLSALE"". Shipping adds <b>$8.95</b>, but orders of $99 or more bag free shipping. (In-store pickup is available for many items for $3.95, or free for most orders over $25.) Deal ends January 1.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s320/JCPenney/"">JCPenney Coupons</a>.</p>",https://www.dealnews.com/JCPenney-New-Years-Sale-Extra-20-to-30-off-free-shipping-w-99/2169131.html,2017-12-31T12:07:56-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rs0v3g6nagtlzuizm86p",AFTER CHRISTMAS SALES,,2169131,Extra 20% to 30% off,4,JCPenney New Year's Sale,free shipping w/ $99
