description,uuid,title,category,price,picture_url,shipping,editors_choice,time_published,time_modified,url,hotness
"Pioneer TEC via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170751"">PioneerHiker Backpack</a> in several colors (Army Green pictured) for $29.99. Coupon code ""WP9SQ4ZT"" cuts that to <strong>$14.99</strong>. With <strong>free shipping</strong>, that's $15 off and the best price we could find. It features adjustable straps, a main compartment, two front pockets, two waist pockets, and two mesh pockets. Deal ends January 13.",2170751,PioneerHiker Backpack,BACKPACKS,$15,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/idwbpqsjlpriqw5aijdy",free shipping,,2018-01-03T06:49:32-05:00,,https://www.dealnews.com/Pioneer-Hiker-Backpack-for-15-free-shipping/2170751.html,4
"Sam's Club discounts a selection of Quicken 2018 2-Year Subscriptions for Windows and Mac, as listed below. (Non-members pay an extra 10%.) Opt for in-store <strong>pickup</strong> to avoid the $5.40 shipping charge. Deal ends January 28. The offers:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170670"">Quicken Deluxe 2018 2-Year Subscription for PC/Mac</a> from <strong>$44.86</strong> (pictured, low by $15)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093648,2170670"">Quicken Premier 2018 2-Year Subscription for PC/Mac</a> from <strong>$69.86</strong> (low by $20)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093651,2170670"">Quicken Home, Business &amp; Rental Property 2018 2-Year Subscription for PC</a> from <strong>$89.86</strong> (low by $23)
 </li>
</ul>",2170670,Quicken 2018 2-Year Subscriptions for PC/Mac,SOFTWARE,from $45,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ystsl58axw2cx6drif4u",pickup at Sam's Club,,2018-01-03T06:43:48-05:00,,https://www.dealnews.com/Quicken-2018-2-Year-Subscriptions-for-PC-Mac-from-45-pickup-at-Sams-Club/2170670.html,3
"Jos. A Bank offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170652"">Jos. A. Bank Men's Big &amp; Tall Signature Collection Pima Cotton V-Neck Sweater</a> in several colors (Oatmeal pictured) for <strong>$19</strong>. Plus, Bank Account Rewards members get <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093636,2170652"">join</a>.) That's $81 off list and the lowest price we could find. It's available in select sizes from XL to 4XL.<br>
<br>
Note: It's also available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093639,2170652"">regular sizes</a> for the same price.",2170652,Jos. A. Bank Men's Big & Tall V-Neck Sweater,SWEATERS,$19,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rlfclf1levrfs6kjrvmz",free shipping,,2018-01-03T06:43:27-05:00,,https://www.dealnews.com/Jos.-A.-Bank-Mens-Big-Tall-V-Neck-Sweater-for-19-free-shipping/2170652.html,3
"Nova Tech US via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170748"">VoltCube 150-watt Car Power Inverter</a> for $16.95. Coupon code ""7WVO436B"" cuts the price to <strong>$13.56</strong>. With <strong>free shipping</strong> for Prime members, that's the lowest price we could find by $6, although we saw it for a buck less last month. It provides 150 watts of continuous DC to AC conversion, two USB ports, and AC outlets for multi-purpose charging. Deal ends January 15.<br>
<br>
You can also purchase the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093717,2170748"">400-watt version</a> for <strong>$27.19</strong> via the above coupon with <strong>free shipping</strong>. That's a $7 savings.",2170748,VoltCube 150W Car Power Inverter,AUTOMOTIVE,$14,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/oymelgbwipehvuqzkeq7",free shipping w/ Prime,,2018-01-03T06:31:29-05:00,,https://www.dealnews.com/Volt-Cube-150-W-Car-Power-Inverter-for-14-free-shipping-w-Prime/2170748.html,2
"Bedshe via Amazon takes <strong>40% off</strong> the Bedsure Diamond-Pattern Duvet Cover Set in various sizes and colors via coupon code ""722W43DO"", as listed below. Plus, Prime members receive <strong>free shipping</strong>. It includes a duvet cover and two shams (twin includes one sham). Deal ends January 7. The sizes, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170745"">Twin</a> for <strong>$11.99</strong> ($8 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093711,2170745"">Full/Queen</a> for <strong>$16.19</strong> ($11 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093714,2170745"">King</a> for <strong>$17.99</strong> ($12 off)
 </li>
</ul>",2170745,Bedsure Diamond-Pattern Duvet Cover Set,BEDDING,from $12,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hzjsenekkpw7cvdmvoiq",free shipping w/ Prime,,2018-01-03T06:29:38-05:00,,https://www.dealnews.com/Bedsure-Diamond-Pattern-Duvet-Cover-Set-from-12-free-shipping-w-Prime/2170745.html,3
"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170181"">JetBlue Plus Card</a> and receive <strong>30,000 bonus points</strong> after you <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092208,2170181"">spend $1,000 in purchases</a> within the first 90 days of account opening. Other card features include earning <strong>6x points</strong> on JetBlue purchases, <strong>2x points</strong> at restaurants and grocery stores, and <strong>1x points</strong> on all other purchases. Plus, your first checked bag is <strong>free</strong>. Finally, there's no blackout dates on JetBlue-operated flights, you can redeem for any seat any time on JetBlue-operated flights, and points awarded into your TrueBlue account don't expire. A $99 annual fee applies. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092211,2170181"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s39843/Barclay-Card/"">Barclaycard Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",2170181,JetBlue Plus Card,CREDIT CARDS,"Earn 30,000 bonus points","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uku4yulyuaxaufupterc",,,2018-01-02T10:37:44-05:00,,"https://www.dealnews.com/lw/click.html?20,2,2170181",
"Shively Sporting Goods via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170619"">adidas Men's Climalite Team Speed Basketball Training Pants</a> in Gray for <b>$21.99</b> with <b>free shipping</b>. That's tied with last week's mention, $33 off list, and the lowest price we could find. They're available in sizes from L to XXL.",2170619,adidas Men's Climalite Pants (Large sizes),ACTIVEWEAR,$22,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tvbcmtwh0xvyadeyg2pk",free shipping,,2018-01-03T06:25:12-05:00,,https://www.dealnews.com/adidas-Mens-Climalite-Pants-Large-sizes-for-22-free-shipping/2170619.html,4
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170742"">Gap</a> takes <strong>up to 60% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093705,2170742"">men's, women's, and kids' styles</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093708,2170742"">Great Big Winter Sale</a>. Even better, cut an <strong>extra 40% off</strong> via coupon code ""HAPPY"". Plus, coupon code ""ITSFREE"" bags <strong>free shipping</strong> (adding a savings of $7 for orders under $50). Deal ends January 8.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s319/Gap/"">Gap Coupons</a>.</p>",2170742,Gap Great Big Winter Sale,CLOTHING & ACCESSORIES,Up to 60% off + 40% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vhp187pny4oevdo8en9w",free shipping,,2018-01-03T06:22:54-05:00,,https://www.dealnews.com/Gap-Great-Big-Winter-Sale-Up-to-60-off-40-off-free-shipping/2170742.html,4
"Pisen Electronics via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170637"">Pisen International Travel 4-Port USB Charger</a> in Black or White for $13.99. Coupon code ""OELF7FO4"" cuts it to <strong>$9.09</strong>. With <strong>free shipping</strong> for Prime members, that's $4 under last month's mention, $5 off list, and the lowest price we could find. It includes a UK plug, EU plug, and US plug. Deal ends January 14.",2170637,Pisen International Travel 4-Port USB Charger,CELL PHONE CHARGERS,$9,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ixuoa1udosadua4erpc6",free shipping w/ Prime,,2018-01-03T06:19:05-05:00,,https://www.dealnews.com/Pisen-International-Travel-4-Port-USB-Charger-for-9-free-shipping-w-Prime/2170637.html,3
"As one of its daily deals, Amazon takes <strong>up to 80% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170625"">Kindle eBooks</a>, with deals starting from <strong>99 cents</strong>. Featured titles include <i>Ali: A Life</i> (pictured), <i>Tribe of Mentors: Short Life Advice from the Best in the World</i>, and <i>You Do You: How to Be Who You Are and Use What You've Got to Get What You Want</i>. Deal ends today.",2170625,Kindle eBooks at Amazon,EBOOKS,"Up to 80% off, from $1","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pzx836ptuny4llk53mdb",,,2018-01-03T06:14:08-05:00,,https://www.dealnews.com/Kindle-eBooks-at-Amazon-Up-to-80-off-from-1/2170625.html,3
"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170712"">Natrogix 8.5-oz. Green Superfood Powder</a> in Chocolate for $14.99. Coupon code ""LZ9WN5YT"" cuts that to <strong>$10.94</strong>. Plus, Prime members bag <strong>free shipping</strong>. That's tied with our mention of another flavor from two weeks ago and the lowest price we could find for any flavor by $15. Deal ends January 13.",2170712,Natrogix 8.5-oz. Green Superfood Powder,SUPPLEMENTS,$11,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kawi3hfqh5qejvdqr10x",free shipping w/ Prime,,2018-01-03T06:09:49-05:00,,https://www.dealnews.com/Natrogix-8.5-oz.-Green-Superfood-Powder-for-11-free-shipping-w-Prime/2170712.html,3
"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170733"">Caravan Sports Zero Gravity Chair 2-Pack</a> in Beige or Blue for <strong>$59.98</strong> with <strong>free shipping</strong>. (Non-members pay a $6 surcharge.) That's the lowest price we could find by $8. (For further comparison, we saw one chair for $27 in September.) Each features a 300-lb. capacity and folds for storage. Deal ends January 7.",2170733,Caravan Zero Gravity Chair 2-Pack,PATIO CHAIRS,from $60,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pu9hmxjm2tmdabloeekr",free shipping,,2018-01-03T06:07:58-05:00,,https://www.dealnews.com/Caravan-Zero-Gravity-Chair-2-Pack-from-60-free-shipping/2170733.html,2
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170739"">Home Depot</a> cuts <strong>up to 40% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093696,2170739"">bedding, furniture, decor, and more</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093699,2170739"">White Sale</a>. Choose in-store <strong>pickup</strong> to dodge the shipping fees, which start around $5.99, or bag free shipping on orders of $45 or more. (Larger items may incur additional fees.)<br>
<br>
Note: Coupon code ""MOREDECOR"" may bag extra discounts on select home accent and wall decor orders, but we couldn't find any eligible items.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s958/Home-Depot/"">Home Depot Coupons</a>.</p>",2170739,Home Depot White Sale,HOME & GARDEN,Up to 40% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t4ri2iy3xr4frght7n3w",free shipping w/ $45,,,2018-01-03T08:21:06-05:00,https://www.dealnews.com/Home-Depot-White-Sale-Up-to-40-off-free-shipping-w-45/2170739.html,5
"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170727"">Field &amp; Stream Camo Treestand Gear Bag 2-Pack</a> for <strong>$9.99</strong>. Choose in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $5 off list and the lowest price we could find. Each bag features a nylon coil zipper and adjustable straps.",2170727,Field & Stream Camo Treestand Gear Bag 2-Pack,CAMPING & OUTDOORS,$10,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vvxxoeahujuax7aaomai",pickup at Dick's,,2018-01-03T05:53:08-05:00,,https://www.dealnews.com/Field-Stream-Camo-Treestand-Gear-Bag-2-Pack-for-10-pickup-at-Dicks/2170727.html,3
"Loctek via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170721"">Loctek P2 Mobile TV Floor Cart for 32""-70"" TVs</a> for $369.99. Coupon code ""P2TVCART"" cuts the price to <strong>$319.99</strong>. With <strong>free shipping</strong>, that's $50 off list and the lowest price we could find. It holds TVs up to 99 lbs. and features an adjustable bottom shelf and removable top shelf. Deal ends January 19.",2170721,"Loctek Mobile TV Floor Cart for 32""-70"" TVs",TV STANDS,$320,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tuv4ksb6av7adlkflwqg",free shipping,,2018-01-03T05:49:16-05:00,,https://www.dealnews.com/Loctek-Mobile-TV-Floor-Cart-for-32-70-TVs-for-320-free-shipping/2170721.html,3
"At Sam's Club, Dealnews readers get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170364"">$15 Sam's Club Gift Card</a>, together with additional <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092991,2170364"">instant savings</a>, when you buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092994,2170364"">Sam's Club 1-Year Membership</a>. Deal ends January 31.",2170364,$15 Sam's Club Gift Card,SAM'S CLUB COUPONS,free w/ membership,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wd6ddotvsrsrevyypoev",,,2018-01-03T00:01:00-05:00,,https://www.dealnews.com/15-Sams-Club-Gift-Card-free-w-membership/2170364.html,
"Nova Tech US via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170685"">Tec.Bean Digital Blood Pressure Monitor</a> for $35.99. Coupon code ""SEU4W3SH"" cuts it to <strong>$24.83</strong>. With <strong>free shipping</strong>, that's $2 less than last month's mention, $11 off, and the lowest price we could find. It features storage for two users' 90 most recent readings, an LCD display, and irregular heartbeat detection. Deal ends March 31.",2170685,Tec.Bean Digital Blood Pressure Monitor,MEDICINE & MEDICAL,$25,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wkf84cvr1vzw2zyj37wk",free shipping,,2018-01-03T05:46:45-05:00,,https://www.dealnews.com/Tec.Bean-Digital-Blood-Pressure-Monitor-for-25-free-shipping/2170685.html,2
"Dirt Devil via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170718"">Dirt Devil Gator Handheld Vacuum</a> for <strong>$29.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $10. It features a crevice tool.",2170718,Dirt Devil Gator Handheld Vacuum,VACUUM CLEANERS,$30,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hpnwulxmllh0xi7now5d",free shipping,,2018-01-03T05:41:59-05:00,,https://www.dealnews.com/Dirt-Devil-Gator-Handheld-Vacuum-for-30-free-shipping/2170718.html,2
"As one of its daily deals, Home Depot takes <strong>up to 40% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093690,2170715"">Aquasana water filtration systems</a>. Plus, all orders receive <strong>free shipping</strong>. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170715"">Aquasana Reverse Osmosis Water Filtration System w/ Faucet</a> for <strong>$149</strong> (pictured, low by $66)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093693,2170715"">Aquasana Rhino 6-Stage 400,000 Gal. Whole House Water Filtration System</a> for <strong>$1,149</strong> ($650 off)
 </li>
</ul>",2170715,Aquasana Water Filtration at Home Depot,HOME IMPROVEMENT,Up to 40% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/seckcai0fyqayhyvtkrz",free shipping,,,2018-01-03T09:43:14-05:00,https://www.dealnews.com/Aquasana-Water-Filtration-at-Home-Depot-Up-to-40-off-free-shipping/2170715.html,4
"As one of its daily deals, Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170688"">Netgear 720p Arlo Indoor/Outdoor Wi-Fi Wire-Free Security Camera 4-Pack</a> in White for <strong>$299.99</strong> with <strong>free shipping</strong>. That's tied with our mention from three weeks ago, a low now by $80, and the best price we've seen for it new. Each camera features 1280x720 (720p) video resolution, night vision up to 25 feet, 130° field of view, motion detection, and mounting hardware. Deal ends today.",2170688,Netgear 720p Security Camera 4-Pack,SECURITY CAMERAS,$300,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sulc8afyk8q2mwksvle7",free shipping,True,,2018-01-03T09:05:46-05:00,https://www.dealnews.com/Netgear-720-p-Security-Camera-4-Pack-for-300-free-shipping/2170688.html,4
"Jos. A. Bank offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170634"">Jos. A. Bank Men's Executive Collection Cotton Shawl Collar Sweater</a> in several colors for <strong>$19</strong>. Plus, Bank Account Rewards members get <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093621,2170634"">join</a>.) That's $6 under our November mention, $91 off, and the lowest price we could find. They're available in sizes from S to XXL.",2170634,Jos. A. Bank Men's Shawl Collar Sweater,SWEATERS,$19,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vzjfjxpcaskfeuryqtba",free shipping,,2018-01-03T05:36:13-05:00,,https://www.dealnews.com/Jos.-A.-Bank-Mens-Shawl-Collar-Sweater-for-19-free-shipping/2170634.html,3
"Jos. A. Bank offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170649"">Jos. A. Bank Men's 1905 Collection Lambswool Stripe Quarter-Zip Sweater</a> in several colors (Oatmeal pictured) for <strong>$19</strong>. Plus, Bank Account Rewards members get <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093633,2170649"">join</a>.) That's $81 off and the lowest price we could find. It's available in sizes from M to XL.",2170649,Jos. A. Bank Men's 1905 Lambswool Sweater,SWEATERS,$19,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wi4or2ychrlx2dnjzmcp",free shipping,,,2018-01-03T09:41:57-05:00,https://www.dealnews.com/Jos.-A.-Bank-Mens-1905-Lambswool-Sweater-for-19-free-shipping/2170649.html,4
"BHDealsandCloseouts via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170706"">Wanted Women's Bumble Winter Boots</a> in several colors for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $30 off list and the lowest price we could find. They're available in select sizes from 5.5 to 10.",2170706,Wanted Women's Bumble Winter Boots,SHOES,$20,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vcwkqagsxdjk7lgk1dqq",free shipping,,2018-01-03T05:35:45-05:00,,https://www.dealnews.com/Wanted-Womens-Bumble-Winter-Boots-for-20-free-shipping/2170706.html,3
"Showers Depot via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170703"">AquaDance 6"" 6-Setting Rain Shower Head</a> for <strong>$14.99</strong> with <strong>free shipping</strong>. That's $25 off and the lowest price we could find.",2170703,"AquaDance 6"" 6-Setting Rain Shower Head",BED & BATH,$15,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zkjdfodwejcjaeujf6kv",free shipping,,2018-01-03T05:32:59-05:00,,https://www.dealnews.com/Aqua-Dance-6-6-Setting-Rain-Shower-Head-for-15-free-shipping/2170703.html,3
"Oxa Home via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170700"">DBPower Digital Laser Measure</a> for $31.95. Coupon code ""9QB3KDW8"" cuts it to <strong>$25.49</strong>. With <strong>free shipping</strong>, that's tied with our mention from three weeks ago, $6 off, and the lowest price we could find. It features a backlit LCD screen, 197-foot measuring distance, bubble level, Pythagorean theorum button, and multiple measurement functions including area, distance, length, volume, continuous measurement, and addition and subtraction. Two AAA batteries are required (included). Deal ends January 31.",2170700,DBPower Digital Laser Measure,TOOLS & HARDWARE,$25,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/arkrdf9ccwesn0hku4lq",free shipping,,2018-01-03T05:28:51-05:00,,https://www.dealnews.com/DBPower-Digital-Laser-Measure-for-25-free-shipping/2170700.html,2
