price,title,editors_choice,time_published,url,time_modified,hotness,category,uuid,description,picture_url,shipping
20% to 50% off,Beauty Items at Macy's,,2018-01-04T17:28:13-05:00,https://www.dealnews.com/Beauty-Items-at-Macys-20-to-50-off-free-shipping/2172074.html,,4,BEAUTY,2172074,"Macy's takes <strong>20% to 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097164,2172074"">beauty items</a>. (Prices are as marked.) Plus, these items bag <strong>free shipping</strong>. Discounted brands include Clinique, BareMinerals, MAC, Origins, and Philosophy. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172074"">NYX Professional Makeup Lip, Eye &amp; Face Palette</a> for <strong>$7.50</strong> (pictured, low by $5)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097158,2172074"">Elizabeth Arden Sheer Kiss Lip Oils</a> for <strong>$10</strong> (low by $10)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pzuhtuh2kchrdenmswbi",free shipping
$289,"Acer Kaby Lake i3 2.4GHz Dual 16"" Laptop",,2018-01-04T17:28:07-05:00,https://www.dealnews.com/Acer-Kaby-Lake-i3-2.4-GHz-Dual-16-Laptop-for-289-free-shipping/2172095.html,,3,LAPTOPS,2172095,"Walmart offers the 4.6-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172095"">Acer Aspire 3 A315-51-380T Intel Kaby Lake Core i3-7100U 2.4GHz 15.6"" Laptop</a> for <strong>$289</strong> with <strong>free shipping</strong>. That's $31 under the lowest price we could find for a <i>refurb</i> elsewhere (this one's new), although we saw a new one for $10 less in November. Features include an Intel Core i3-7100U 2.4GHz Kaby Lake dual-core processor, 15.6"" 1366x768 (720p) LCD, 4GB RAM, 1TB hard drive, 802.11ac wireless, Gigabit Ethernet, USB 3.0, HDMI, 2-cell battery, and Windows 10 Home 64-bit.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x1evaeir6oqjxosii2r1",free shipping
Up to 50% off,The North Face at 6pm,,2018-01-04T17:11:42-05:00,https://www.dealnews.com/The-North-Face-at-6-pm-Up-to-50-off-free-shipping-w-50/2172068.html,,5,CLOTHING & ACCESSORIES,2172068,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097197,2172068"">6pm</a> takes <b>up to 50% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172068"">The North Face apparel, shoes, and accessories</a>. Shipping adds <strong>$3.95</strong>, but orders of $50 or more qualify for free shipping, as do purchases of two or more items. Kids' shirts start at <b>$9.99</b>, men's outerwear at <b>$32.28</b>, and women's hoodies at <b>$20</b>.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pqnzhbsct9798vkvbxeh",free shipping w/ $50
$70,ASICS Men's or Women's Gel-Nimbus 19 Shoes,,2018-01-04T17:01:25-05:00,https://www.dealnews.com/ASICS-Mens-or-Womens-Gel-Nimbus-19-Shoes-for-70-free-shipping/2172032.html,,4,SHOES,2172032,"JackRabbit offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172032"">ASICS Men's Gel-Nimbus 19 Running Shoes</a> in Grey or Blue for <strong>$69.97</strong>. With <strong>free shipping</strong>, that's $10 under our October mention and the lowest price we've seen. (It's the best deal now by $14.) They're available in select sizes from 7.5 to 14.<br>
<br>
Also available are the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097047,2172032"">ASICS Women's Gel-Nimbus 19 Running Shoes</a> in Blue or Purple for the <b>$69.97</b>. That's the lowest price we could find by $10. They're available in limited sizes from 6 to 12.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rwshunbntoha3smuwev4",free shipping
Up to 60% off,Mountain Hardwear Web Specials,,2018-01-04T16:41:29-05:00,https://www.dealnews.com/Mountain-Hardwear-Web-Specials-Up-to-60-off-free-shipping/2171816.html,,5,CLOTHING & ACCESSORIES,2171816,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171816"">Mountain Hardwear</a> takes <strong>up to 60% off</strong> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096342,2171816"">web specials</a> via coupon code ""MHWNEWYEAR60"". (The discount applies to the original retail price.) Plus, Elevated Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096345,2171816"">join</a>.) Deal ends January 16.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s39952/Mountain-Hardwear/"">Mountain Hardwear Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/abprkb0bwkifcbcktjdo",free shipping
$48,DoDoeleph Syma WiFi Quadcopter w/ 720p Camera,,2018-01-04T06:50:59-05:00,https://www.dealnews.com/Do-Doeleph-Syma-Wi-Fi-Quadcopter-w-720-p-Camera-for-48-free-shipping/2171549.html,,,TOYS & HOBBIES,2171549,"RC Drone via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171549"">DoDoeleph Syma X5UW WiFi Quadcopter Drone with 720p HD Camera</a> in Blue or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095568,2171549"">Red</a> for $79.90. Coupon code ""PVYQNHIS"" cuts it to <strong>$47.94</strong>. Plus, <strong>free shipping</strong> applies. It features a 9-minute flight time, 1280x720 video resolution, and a 4GB memory card. Deal ends January 6.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/or3tiaae9betiuqayt3m",free shipping
Up to 60% off,Sperry Semi-Annual Sale,,2018-01-04T16:31:08-05:00,https://www.dealnews.com/Sperry-Semi-Annual-Sale-Up-to-60-off-free-shipping/2172038.html,,5,CLOTHING & ACCESSORIES,2172038,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172038"">Sperry</a> cuts <b>up to 60% off</b> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097059,2172038"">sale styles</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097062,2172038"">Semi-Annual Sale</a>. (Prices are as marked.) Plus, all orders receive <b>free shipping</b>.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/svzoh0ddjkof2gpencwi",free shipping
$89,Briggs & Stratton 8-Gallon Air Compressor,,2018-01-04T16:27:27-05:00,https://www.dealnews.com/Briggs-Stratton-8-Gallon-Air-Compressor-for-89-free-shipping/2171831.html,,3,POWER TOOLS,2171831,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171831"">Briggs &amp; Stratton 8-Gallon Hotdog Oil-free Air Compressor</a> for <strong>$89</strong> with <strong>free shipping</strong>. That's tied with our November mention as $110 off and the lowest price we could find. It features an oil-less pump, 1.5 running HP, a working pressure of 120 to 150psi, and a removable handle.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wmhmpwuolcowmm9iuj6y",free shipping
$14,adidas Men's Techfit Base T-Shirt,,2018-01-04T16:23:10-05:00,https://www.dealnews.com/adidas-Mens-Techfit-Base-T-Shirt-for-14-free-shipping/2171975.html,,3,T-SHIRTS,2171975,"adidas via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171975"">adidas Men's Techfit Base T-Shirt</a> in Black for <b>$14</b> with <b>free shipping</b>. That's the lowest price we could find by $6. It's available in sizes M to XL.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vcim0r66etpjlu3l7rfn",free shipping
$30,Alpine Swiss Men's Geneva Brogue Boots,,2018-01-04T16:14:55-05:00,https://www.dealnews.com/Alpine-Swiss-Mens-Geneva-Brogue-Boots-for-30-free-shipping/2171981.html,,3,SHOES,2171981,"ArtofDeals via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171981"">Alpine Swiss Men's Geneva Brogue Wingtip Boots</a> in Brown or Black for <b>$29.99</b> with <b>free shipping</b>. That's $86 off and the lowest price we could find. They're available in select sizes from 7 to 10.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pmyrcuncpw4pywngv8lb",free shipping
$3,Armor All Car Wash 64-oz. Bottle,,2018-01-04T16:08:38-05:00,https://www.dealnews.com/Armor-All-Car-Wash-64-oz.-Bottle-for-3-free-shipping-w-Prime/2172050.html,,3,AUTOMOTIVE,2172050,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172050"">Armor All Car Wash 64-oz. Bottle</a> for $3.89. Add it to your cart via Subscribe & Save to lower it to <strong>$3.31</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $3, outside of the mention below. It claims to clean the toughest automotive dirt and grime.<br>
<br>
Be sure to cancel Subscribe & Save after your order ships or you'll be billed for subsequent shipments.<br>
<br>
A close price: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097098,2172050"">Target</a> offers it for$3.89 with in-store pickup.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wvp8deapzvxcnbcsn2us",free shipping w/ Prime
$20,Jordan Jasper Shirt and Tie Combo,,2018-01-04T16:02:56-05:00,https://www.dealnews.com/Jordan-Jasper-Shirt-and-Tie-Combo-for-20-free-shipping/2172026.html,,3,SHIRTS,2172026,"Jordan Jasper via Flagship offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172026"">Jordan Jasper Men's Button-Up Dress Shirt</a> in several styles (Don pictured) bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097038,2172026"">Jordan Jasper Men's Tie</a> in several styles for $49.98. (Add one shirt and one tie to your cart to see this price.) Coupon code ""JJ20"" drops that to <b>$20</b>. With <b>free shipping</b>, that's a savings of $30 and the lowest price we could find. The shirt is available in select sizes from S to 3XL. Deal ends January 7.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vsdqomnu60fpz1haw1fo",free shipping
from $4,Martha Stewart Quick-Dry Reversible Towels,,2018-01-04T16:00:44-05:00,https://www.dealnews.com/Martha-Stewart-Quick-Dry-Reversible-Towels-from-4-free-s-h-w-beauty-item/2172044.html,,3,TOWELS,2172044,"Macy's offers a selection of Martha Stewart Collection Quick-Dry Reversible Towels in several sizes and colors with prices starting from <b>$4.24</b> via coupon code ""WKND"", as listed below. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097095,2172044"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. (In-store pickup may also be available.) Deal ends January 7. The deals, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172044"">Martha Stewart Collection Quick-Dry Reversible Wash Towel</a> for <strong>$4.24</strong> ($6 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097071,2172044"">Martha Stewart Collection Quick-Dry Reversible Hand Towel</a> for <strong>$5.09</strong> ($7 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097074,2172044"">Martha Stewart Collection Quick-Dry Reversible Bath Towel</a> for <strong>$6.79</strong> ($9 off)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xmmlvfmnaopyz4agmfzi",free s&h w/beauty item
"Up to 75% off, from $7",Nordstrom Rack White Sale,,2018-01-04T15:56:16-05:00,https://www.dealnews.com/Nordstrom-Rack-White-Sale-Up-to-75-off-from-7-free-shipping-w-100/2172041.html,,5,HOME & GARDEN,2172041,"Nordstrom Rack takes <strong>up to 75% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097086,2172041"">bedding, bath items, and other home goods</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172041"">White Sale</a>, with prices starting at <b>$7.48</b>. Shipping adds <strong>$7.95</strong>, but orders over $100 bag free shipping. Deal ends January 15.<br>
<br>
Not finding what you need? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/features/When-Are-White-Sales-in-2018/2163980.html"">Click here</a> to find out which stores are having White Sales and what discounts you can expect.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ewglndexgn5ufebw9qhd",free shipping w/ $100
$127,Ozark Trail 52-Quart Rotomolded Cooler,,2018-01-04T15:51:42-05:00,https://www.dealnews.com/Ozark-Trail-52-Quart-Rotomolded-Cooler-for-127-free-shipping/2172023.html,,3,CAMPING & OUTDOORS,2172023,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172023"">Ozark Trail 52-Quart Rotomolded High-Performance Cooler</a> in Gray for <strong>$127</strong> with <strong>free shipping</strong>. That's tied with our September mention and the lowest price we could find by $27. It features four bottle holders, a built-in bottle opener, oversized drain, wire basket, and T-handle latches.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nhov77pylrog3osi3lwq",free shipping
Up to 30% off,Dell Member Purchase Program,,2018-01-04T00:01:00-05:00,https://www.dealnews.com/Dell-Member-Purchase-Program-Up-to-30-off-free-shipping/2171222.html,,,COMPUTERS,2171222,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171222"">Dell Home</a>, via its Member Purchase Program, offers discounts of <strong>up to 30% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095121,2171222"">laptops, desktops, tablets, electronics, and accessories</a>. Plus, <b>free shipping</b> applies to most items.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dq5mvihrblbv01lxryec",free shipping
$15,Kurt Adler Stocking Holders at Macy's,,2018-01-04T15:49:11-05:00,https://www.dealnews.com/Kurt-Adler-Stocking-Holders-at-Macys-for-15-free-s-h-w-beauty-item/2172008.html,,3,SEASONAL/HOLIDAYS,2172008,"Macy's offers a selection of Kurt Adler Stocking Holders for <strong>$14.93</strong> each, as listed below. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096987,2172008"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. The deals:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096975,2172008"">Kurt Adler Darth Vader Stocking Holder</a> for <strong>$14.93</strong> (low by $1, most charge $35+)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172008"">Kurt Adler BB-8 Stocking Holder</a> for <strong>$14.93</strong> (pictured, low by $9)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096984,2172008"">Kurt Adler Olaf Stocking Holder</a> for <strong>$14.93</strong> (low by $18)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kdiyyszrk80wjq6rtxo7",free s&h w/beauty item
$72,"Refurb Microsoft Surface 32GB 11"" RT Tablet",True,2018-01-04T15:46:37-05:00,https://www.dealnews.com/Refurb-Microsoft-Surface-32-GB-11-RT-Tablet-for-72-free-shipping/2172011.html,,4,TABLETS,2172011,"Blinq offers the refurbished 1.5-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172011"">Microsoft Surface RT 32GB WiFi 10.6"" Windows RT Tablet</a> in Dark Titanium for $95.79. Coupon code ""NEWSJAN25"" drops that to <strong>$71.84</strong>. With <strong>free shipping</strong>, that's the best deal for a refub today by $128 and the lowest price we've seen for <i>any</i> Microsoft Surface RT tablet. It features an Nvidia Tegra 3 1.3GHz quad-core processor, 10.6"" 1366x768 (720p) touchscreen LCD, 2GB RAM, 32GB internal storage, 6-megapixel rear camera, front-facing camera, 802.11n wireless, Bluetooth 4.0, full-size USB 2.0, micro HDMI, microSDXC card slot, and Windows RT OS. Deal ends January 31.<br>
<br>
Note: No warranty information is provided, but it's covered by Blinq's 30-day money-back guarantee.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/v3rzvuixxu4d4wphys2t",free shipping
$247,"Dell 24"" 1080p LED LCD Display, $50 Dell GC",,2018-01-04T15:31:09-05:00,https://www.dealnews.com/Dell-24-1080-p-LED-LCD-Display-50-Dell-GC-for-247-free-shipping/2171810.html,,1,MONITORS,2171810,"Dell Home, via its Member Purchase Program, offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171810"">Dell UltraSharp U2417H InfinityEdge 23.8"" 1080p IPS LED-Backlit LCD Monitor</a> bundled with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096309,2171810"">$50 Dell Rewards Credit</a> for <strong>$246.99</strong> with <strong>free shipping</strong>. That's a savings of $153 including the credit, and the lowest price we could find. (For further comparison, we saw it in November for $38 less without the credit.) It features a 1920x1080 (1080p) native resolution, 5-port USB 3.0 hub, DisplayPort, mini-DisplayPort, HDMI, and height-, pivot-, tilt-, and swivel-adjustable stand.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/usqmrvh4mbpljdraamg3",free shipping
Up to 50% off,Michael Kors Semi-Annual Sale,,2018-01-04T15:24:36-05:00,https://www.dealnews.com/Michael-Kors-Semi-Annual-Sale-Up-to-50-off-free-shipping-w-50/2172014.html,,5,CLOTHING & ACCESSORIES,2172014,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172014"">Michael Kors</a> takes <b>up to 50% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096990,2172014"">clothing, shoes, and accessories</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096993,2172014"">Semi-Annual Sale</a>. (Prices are as marked.) Shipping adds <b>$5</b>, but orders of $50 or more qualify for free shipping. Some exclusions may apply.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rjowtkotwklfp2g09ftq",free shipping w/ $50
$10,Quelima SQ12 Mini 1080p Dash Camera w/ DVR,,2018-01-04T15:22:05-05:00,https://www.dealnews.com/Quelima-SQ12-Mini-1080-p-Dash-Camera-w-DVR-for-10-free-s-h-from-China/2171990.html,,4,AUTOMOTIVE,2171990,"GearBest offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171990"">Quelima SQ12 Mini 1080p Camera with DVR</a> in Black for $13.99. Coupon code ""JanSQ12"" knocks that to <strong>$9.99</strong>. With <strong>free shipping</strong> (choose ""Unregistered Air Mail"" during checkout), that's the lowest price we could find by $7. It features 1080p video recording, a 155° wide-angle lens, motion detection up to 9.8 feet, infrared night vision up to 16.4 feet, loop recording, microphone and speaker, microSD card slot, and 200mAh rechargeable LiPo battery. Deal ends February 28.<br>
<br>
Note: This item ships from China and requires three to six weeks for delivery. The countdown timer on the product page does not reflect an actual expiration time and resets daily.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ztf7y7qzwtjru0fnstdi",free s&h from China
Up to 80% off,Belk Season End Bonus Buys,,2018-01-04T15:17:55-05:00,https://www.dealnews.com/Belk-Season-End-Bonus-Buys-Up-to-80-off-free-shipping-w-99/2172005.html,,4,BELK COUPONS,2172005,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172005"">Belk</a> takes <strong>up to 80% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096963,2172005"">apparel, shoes, bedding, decor, kitchen items, and more</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096966,2172005"">Season End Bonus Buys</a>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096969,2172005"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $9.50. (Orders over $99 also receive free shipping.) Deal ends January 11.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xxhxgqle8v8anixz5rsz",free shipping w/ $99
$5,Equinox Standard Pillow Protectors 2-Pack,,2018-01-04T15:16:01-05:00,https://www.dealnews.com/Equinox-Standard-Pillow-Protectors-2-Pack-for-5-free-shipping-w-Prime/2171999.html,,3,BEDDING,2171999,"Equinox International via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171999"">Equinox Standard Pillow Protectors 2-Pack</a> for $8.99. Coupon code ""WPZSBSDY"" drops it to <b>$4.97</b>. Plus, Prime members bag <b>free shipping</b>. That's $25 off list and the lowest price we could find. These protectors purport to be hypoallergenic, anti-microbial, and dust mite-resistant. Deal ends January 31.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lega12nyve3nd1komyko",free shipping w/ Prime
$99,OSD Sound Stage 2.1 Bluetooth Sound System,True,2018-01-04T15:12:39-05:00,https://www.dealnews.com/OSD-Sound-Stage-2.1-Bluetooth-Sound-System-for-99-free-shipping/2171996.html,,4,SPEAKERS,2171996,"Adorama offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171996"">OSD Audio Sound Stage 2.1 Bluetooth All-in-One Audio Sound System</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's tied with our October mention at $221 off list and the lowest price we've seen. It features dual 5.25"" subs, four 20-watt channels, advanced DSP for home-theater-like sound, and independent amp channels for the woofer, midrange drivers, and tweeters.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rcecw2kr6sr7ngp7eeat",free shipping
,"Best Tablet Deals: Score a 10.5"" iPad Pro at the Lowest Price We've Seen!",,2018-01-04T15:03:45-05:00,https://www.dealnews.com/features/best-tablet-deals/,,,ROUNDUPS,2171993,"If you're in the market for an affordable tablet, our roundup of the week's best <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/best-tablet-deals/"">tablet deals</a> has you covered. Score cheap devices under $100, or splurge on an iPad Pro at the lowest price we've seen. Check out these offers and more to save a ton!","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lgcbdsdjptiszmuas0yp",
$9,Soufull Stainless Steel Poultry Scissors,,,https://www.dealnews.com/Soufull-Stainless-Steel-Poultry-Scissors-for-9-free-shipping-w-Prime/2171243.html,2018-01-04T16:24:07-05:00,,KITCHEN,2171243,"yichengjin via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171243"">Soufull Multi-Functional Stainless Steel Scissors</a> for $12.88. Coupon code ""black855"" cuts that to <strong>$8.55</strong>. Plus, Prime members bag <strong>free shipping</strong>. Deal ends January 31.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stvamjek2izwihfqpmnd",free shipping w/ Prime
$90,"Mobile Edge Core Gaming 17"" Laptop Backpack",,2018-01-04T15:01:51-05:00,https://www.dealnews.com/Mobile-Edge-Core-Gaming-17-Laptop-Backpack-for-90-free-shipping/2171873.html,,2,LAPTOP BAGS,2171873,"Dell Home offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171873"">Mobile Edge Core Gaming 17"" Laptop Backpack</a> for <b>$89.99</b> with <b>free shipping</b>. That's $30 off list and the lowest price we could find. It features exterior pockets, adjustable straps, and holds laptops up to 17"".","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mudxp9uiwyhske3o26ob",free shipping
$7,F-color 2-in-1 Tablet Stylus Pens 12-Pack,,2018-01-04T14:55:59-05:00,https://www.dealnews.com/F-color-2-in-1-Tablet-Stylus-Pens-12-Pack-for-7-free-shipping-w-Prime/2171822.html,,3,SUPPLIES,2171822,"F-Color via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171822"">F-color 2-in-1 Tablet Stylus Pens 12-Pack</a> in Assorted Colors for $8.99. Coupon code ""7ZOH7I63"" cuts it to <b>$6.99</b>. With <b>free shipping</b> for Prime members, that's $8 under the lowest price we could find for this quantity of similar stylus pens elsewhere. They feature a rubber tip for touchscreens and retractable ballpoint pen in black. Deal ends January 7.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iun9k8wrjxvtj3gdkaus",free shipping w/ Prime
