shipping,url,category,time_published,uuid,time_modified,title,picture_url,price,description,hotness,editors_choice
free shipping,https://www.dealnews.com/Refurb-Amazon-Tap-for-60-free-shipping/2167937.html,STREAMING MEDIA PLAYERS,,2167937,2017-12-29T04:24:09-05:00,Refurb Amazon Tap,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/abk3jkznsws1v5d4al8f",$60,"Amazon offers its refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167937"">Amazon Tap</a> for <strong>$59.99</strong> with <strong>free shipping</strong>. That's tied with our mention from three weeks ago as the lowest price we've seen for it in any condition. (It's $30 under the best deal we could find for a new one, although most retailers charge around $130.)<br>
<br>
The Tap can play music, provide information, read the news, set alarms, and control smart home devices via button-activated voice control (with the same Alexa Voice Service used in the Echo). It features a single microphone, dual 1.5"" drivers, dual passive radiators, 802.11n wireless, Bluetooth, 360° omnidirectional audio, and rechargeable battery with up to nine hours of playback per charge.<br>
<br>
Note: A 1-year Amazon warranty applies.",3,True
free shipping,https://www.dealnews.com/Whitmor-Supreme-5-Tier-Shelving-Unit-for-54-free-shipping/2167763.html,HOME & GARDEN,2017-12-28T20:53:25-05:00,2167763,,Whitmor Supreme 5-Tier Shelving Unit,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hcshoj8a09ovoxrpewyo",$54,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167763"">Whitmor Supreme 5-Tier Shelving Unit</a> in Chrome for <b>$53.99</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087537,2167763"">Jet.com</a> has it for the same.) That's the lowest price we could find by $8. It measures 14"" x 36"" x 72"".",3,
free shipping,https://www.dealnews.com/Amazon-Basics-20-Ripstop-Wheeled-Duffel-for-62-free-shipping/2167772.html,LUGGAGE & TRAVEL GEAR,2017-12-28T20:52:07-05:00,2167772,,"AmazonBasics 20"" Ripstop Wheeled Duffel","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ituvwaewzoliibwxnivz",$62,"Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167772"">AmazonBasics 20"" Ripstop Wheeled Duffel</a> for <strong>$61.97</strong> with <strong>free shipping</strong>. That's $18 off and the lowest price we could find. It features sides and a base made of 1680D ripstop, multiple zippered front and main compartments, a telescopic handle, and a removable shoulder strap.",3,
free shipping,https://www.dealnews.com/Yescom-Combination-Key-Lock-Box-for-18-free-shipping/2167934.html,HOME SECURITY,,2167934,2017-12-29T04:08:47-05:00,Yescom Combination Key Lock Box,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lllhsbrojgqyzrrpdnqw",$18,"Yescom via eBay offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167934"">Yescom Combination Key Lock Box</a> for <strong>$17.90</strong> with <strong>free shipping</strong>. That's $21 off and the lowest price we could find. It features a wall mounted design, four resettable digits, and aluminum alloy construction.",4,
pickup at Walmart,https://www.dealnews.com/Only-Girls-Girls-Blanket-Sleeper-for-4-pickup-at-Walmart/2167928.html,KIDS' CLOTHES,,2167928,2017-12-29T04:22:53-05:00,Only Girls Girls' Blanket Sleeper,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w3qsuz2liaq1jxw60ury",$4,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167928"">Only Girls Girls' Blanket Sleeper</a> in several colors (Red & Black pictured) for <strong>$4</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $9 off list and the lowest price we could find. It's available in sizes XS to XL.",3,True
$15 shipping,https://www.dealnews.com/Cuisinart-Alfrescamore-Portable-Pizza-Oven-for-110-15-s-h/2167931.html,SMALL APPLIANCES,2017-12-28T20:38:41-05:00,2167931,,Cuisinart Alfrescamore Portable Pizza Oven,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fpkp8x8bzs2hhh1gsku8",$110,"Zulily offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167931"">Cuisinart Alfrescamore Portable Outdoor Pizza Oven</a> for $119.99. Pay using Masterpass to drop that to <b>$109.99</b>. With <strong>$14.95</strong> for shipping, that's the lowest price we could find by $52, although we saw it for $12 less in May. It features cooking temperatures of up to 600° and includes a pizza baking stone. Deal ends December 29.",3,
$30 shipping,https://www.dealnews.com/72-x-30-Stainless-Steel-Work-Table-for-190-30-s-h/2167922.html,KITCHEN,2017-12-28T20:34:23-05:00,2167922,,"72"" x 30"" Stainless Steel Work Table","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qyafpvjsf4bgpovrkx8i",$190,"Alienbid via eBay offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167922"">72"" x 30"" Stainless Steel Work Table</a> for <strong>$189.99</strong> plus <strong>$30</strong> for shipping. That's the lowest price we could find by $19, outside of the mention below. It features galvanized legs with adjustable non-marring feet.<br>
<br>
A close price: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087921,2167922"">Yallstore via eBay</a> has it for $223.99 with free shipping.",3,
free shipping,https://www.dealnews.com/Garmin-Vivofit-2-Fitness-Band-w-Extra-Band-for-30-free-shipping/2167925.html,SPORTS & FITNESS,,2167925,2017-12-29T04:22:46-05:00,Garmin Vivofit 2 Fitness Band w/ Extra Band,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vusfgx3b6ziletenc258",$30,"BuyDig offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167925"">Garmin Vivofit 2 Bluetooth Fitness Band</a> in Camo bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087930,2167925"">Vivofit 2 Replacement Band</a> in Brown for <strong>$29.99</strong> with <strong>free shipping</strong>. That's $10 under our July mention of another color and the lowest price we've seen for this fitness band. (It's the best deal now by $10.) This water-resistant fitness tracker monitors steps, calories, distance, and sleep and features a battery life of a year or more, stopwatch mode, audible alerts, and inactivity alerts. Deal ends January 5.",3,True
pickup at Walmart,https://www.dealnews.com/Gillette-Justice-League-Gift-Pack-for-10-pickup-at-Walmart/2167916.html,SHAVING & GROOMING,,2167916,2017-12-29T04:08:42-05:00,Gillette Justice League Gift Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bua7gsnkr23vqvgwasfb",$10,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167916"">Gillette Justice League Gift Pack</a> for <strong>$10</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the lowest price we could find by $5. It includes a Fusion5 ProShield handle, two cartridges, 16-oz. Hydrator Body Wash, 3.8-oz. Clear Gel Cool Wave Antiperspirant & Deodorant, and 6-oz. Fusion Proglide Sensitve Ocean Breeze Shave Gel.<br>
<br>
Note Select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087924,2167916"">Target</a> stores have it in-store for the same price.",4,
,"https://www.dealnews.com/lw/click.html?20,2,2165861",CREDIT CARDS,2017-12-26T12:00:35-05:00,2165861,,Latest Credit Card Offers from Chase,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hozow7nxzxkuqstccluu",,"Looking for a new credit card? Check out our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a> which features several offers available to applicants from a wide range of credit ratings. Some notable cards include Chase Sapphire Preferred®, Chase Freedom Unlimited®, and United MileagePlus® Explorer Card.",,
free shipping,https://www.dealnews.com/Kitchen-Aid-1-800-W-Convection-Countertop-Oven-for-190-free-shipping/2167919.html,SMALL APPLIANCES,,2167919,2017-12-29T04:08:25-05:00,"KitchenAid 1,800W Convection Countertop Oven","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wk7suybscia08d034q68",$190,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167919"">KitchenAid 1,800-watt Convection Digital Countertop Oven</a> in Aqua Sky for <strong>$189.99</strong> with <strong>free shipping</strong>. That's $38 under our mention from a year ago and the best deal we've seen for this model. (It's the lowest price we could find today by $90.) It features nine pre-programed functions, a 120-minute timer, and a non-stick cavity. It includes a 12"" multipurpose pan, 12"" broiling rack, and a drip tray.",4,True
free s&h w/beauty item,https://www.dealnews.com/Pyrex-Striped-4-Piece-Storage-Set-for-6-4-for-18-free-s-h-w-beauty-item/2167913.html,KITCHEN,2017-12-28T19:56:07-05:00,2167913,,Pyrex Striped 4-Piece Storage Set,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iwlgynirkh4ncr19fnze","$6, 4 for $18","Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167913"">Pyrex Striped 4-Piece Storage Set</a> for $6.99. Coupon code ""JOY"" cuts it to <strong>$5.59</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087912,2167913"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's a slight drop from our June mention and the lowest price we could find by $4. It includes two 4-cup containers with lids. They're oven-, microwave-, refrigerator-, and dishwasher-safe.<br>
<br>
Note: You can also get <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087918,2167913"">four sets</a> for <strong>$17.96</strong> via coupon code ""JOY25"". (That's $4.49 per set.) Deal ends January 1.",3,
free shipping w/ Prime,https://www.dealnews.com/Farberware-Soft-Grip-Ceramic-Paring-Knife-for-6-free-shipping-w-Prime/2167775.html,CUTLERY & FLATWARE,2017-12-28T19:52:36-05:00,2167775,,Farberware Soft Grip Ceramic Paring Knife,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nbxaovzrklgkyunaxjsi",$6,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167775"">Farberware Soft Grip Handle Ceramic Paring Knife</a> for <b>$6.43</b> with <b>free shipping</b>. That's the lowest price we could find by about a buck. It features a 3"" blade and protective blade cover.",2,
free shipping,https://www.dealnews.com/Amazon-Basics-25-Softside-Spinner-Luggage-for-50-free-shipping/2167778.html,LUGGAGE & TRAVEL GEAR,,2167778,2017-12-29T03:16:06-05:00,"AmazonBasics 25"" Softside Spinner Luggage","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/htwmzqm3sa92zgkfnkxh",$50,"Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167778"">AmazonBasics 25"" Softside Upright Spinner Luggage</a> in Navy Blue for <strong>$49.86</strong> with <strong>free shipping</strong>. That's $16 off list and the lowest price we've seen. It expands by up to 25% and features an interior organizer with three zippered pockets, telescoping handle, and four double spinner wheels.",3,
free shipping,https://www.dealnews.com/Pro-Series-6-Foot-Multipurpose-Scaffolding-from-145-free-shipping/2167910.html,TOOLS & HARDWARE,2017-12-28T19:48:14-05:00,2167910,,Pro-Series 6-Foot Multipurpose Scaffolding,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ghwtpf3nrwyy40aqamyh",from $145,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167910"">Pro-Series 6-Foot Multipurpose Scaffolding</a> for <strong>$144.98</strong> with <strong>free shipping</strong>. (Non-members pay a $14.50 surcharge.) That's $15 under last month's mention and the lowest price we could find by $15. It has four 5"" locking swivel casters and a 1,000-lb capacity. Deal ends January 2.",2,
free shipping,https://www.dealnews.com/Ivation-4-Piece-Packing-Cubes-Set-for-7-free-shipping/2167907.html,LUGGAGE & TRAVEL GEAR,,2167907,2017-12-29T04:08:19-05:00,Ivation 4-Piece Packing Cubes Set,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/knkw96vb22gxdp3timh9",$7,"Ritz Camera via Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167907"">Ivation 4-Piece Packing Cubes Set</a> for <strong>$6.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $6. They're made of nylon with breathable mesh panels. Each cube is 4"" deep and they measure 18"" x 13"", 14"" x 13"", 14"" x 10"", and 11"" x 7"".",4,True
free shipping,https://www.dealnews.com/Kipling-Rizzi-Convertible-Mini-Bag-for-25-free-shipping/2167904.html,HANDBAGS,,2167904,2017-12-29T04:22:23-05:00,Kipling Rizzi Convertible Mini Bag,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jsmdbhv4i2iwloxx1rgn",$25,"Kipling via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167904"">Kipling Rizzi Convertible Mini Bag</a> in several colors (Blue pictured) for <strong>$24.99</strong> with <strong>free shipping</strong>. That's $34 off list and the lowest price we could find. It measures 8"" x 9"" and features an adjustable strap, two front zip pockets, and key clasp.",3,True
free shipping,https://www.dealnews.com/Breville-Nespresso-Creatista-Coffee-Maker-for-270-free-shipping/2167901.html,SMALL APPLIANCES,,2167901,2017-12-29T04:07:26-05:00,Breville Nespresso Creatista Coffee Maker,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uv276y8lbrxanwyd0wys",$270,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167901"">Breville Nespresso Creatista Espresso and Coffee Maker</a> in Royal Champagne or Black for <strong>$269.95</strong> with <strong>free shipping</strong>. That's $30 below our Black Friday mention and the lowest price we've seen. (It's the best deal now by $30, although some sellers charge as much as $500.) It features auto-frothing with eight texture levels and 11 milk temperature settings, letting you add latte art to your beverage like a pro barista. It also features multiple beverage selections, an LCD display, 1.5-liter water tank, and 19 bars of pressure to extract great coffee.",4,True
free shipping,https://www.dealnews.com/2-Eco-Vessel-Surf-22-oz.-Glass-Bottles-for-17-free-shipping/2167781.html,KITCHEN,2017-12-28T19:05:30-05:00,2167781,,2 Eco Vessel Surf 22-oz. Glass Bottles,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zhsl4vjbgo03nj2it0yn",$17,"Proozy offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167781"">two Eco Vessel Surf 22-oz. Glass Bottles</a> in several colors (Blue/Orange pictured) for <strong>$16.99</strong> with <strong>free shipping</strong>. That's $5 below our mention from last January, a current best for this quantity by $20, and the lowest per-unit price we've seen. They feature recycled glass and silicone casings.",2,
,"https://www.dealnews.com/lw/click.html?20,2,2166713",CREDIT CARDS,,2166713,2017-12-28T12:50:43-05:00,BankAmericard® Credit Card,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/neoa6i4qkb20kr8rjl1e",0% intro fee,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2166713"">BankAmericard® Credit Card</a> and receive a <strong>$0 Intro balance transfer fee</strong> for the first 60 days your account is open. After that, the fee for future balance transfers is 3% (min. $10). There's also <strong>no penalty APR</strong>. Paying late won't automatically raise your interest rate (APR). You can also <strong>access your FICO Score</strong> for free within Online Banking or your Mobile Banking app. Plus, the <strong>Zero Liability Fraud protection</strong> insures you're not responsible for any fraudulent charges made on your account. Also, the BankAmericard® credit card features chip technology for enhanced security at chip-enabled merchant terminals. Other account pricing and terms apply. Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,
free shipping,https://www.dealnews.com/BCP-4-Foot-Inflatable-Lit-Santa-Claus-for-20-free-shipping/2167730.html,SEASONAL/HOLIDAYS,2017-12-28T18:56:36-05:00,2167730,,BCP 4-Foot Inflatable Lit Santa Claus,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/toum0lu1gglf0zghrkic",$20,"Best Choice Products via Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167730"">Best Choice Products 4-Foot Inflatable Lit Santa Claus</a> for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $7 under our mention from three weeks ago, $60 off, and the lowest price we could find. It inflates in minutes and is suitable for indoor/outdoor use.",3,
free shipping,https://www.dealnews.com/Oris-Watches-at-Jomashop-Up-to-72-off-20-off-free-shipping/2167742.html,WATCHES,2017-12-28T18:51:44-05:00,2167742,,Oris Watches at Jomashop,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mcfgiw1elzkaxzrswmjp",Up to 72% off + $20 off,"Jomashop takes <strong>up to 72% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087909,2167742"">Oris men's and women's watches</a>. Plus, take an <strong>extra $20 off</strong> via coupon code ""DNEWSFS20"" or an <strong>extra $50 off</strong> orders of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087501,2167742"">$1,000 or more</a> via coupon code ""JOMANEW50"". (Select items receive even higher discounts via coupons noted on their product pages.) Even better, these orders qualify for <strong>free shipping</strong>. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087504,2167742"">Oris Men's Artix Date Automatic Watch</a> for <strong>$639</strong> via ""DNEWSFS20"" (low by $13)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167742"">Oris Men's Artelier Skeleton Dial Automatic Watch</a> for <strong>$895</strong> via ""PBFRS200"" (pictured, low by $189)
 </li>
</ul>",3,
free shipping,https://www.dealnews.com/Altec-Lansing-Life-Jacket-Bluetooth-Speaker-for-80-free-shipping/2167898.html,PORTABLE SPEAKERS,2017-12-28T18:50:12-05:00,2167898,,Altec Lansing LifeJacket Bluetooth Speaker,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rovrns1lz67peznbdhdl",$80,"As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167898"">Altec Lansing LifeJacket Next Generation Wireless Bluetooth Speaker</a> in Grey for <strong>$79.99</strong> with <strong>free shipping</strong>. That's tied with our July mention at $70 off and the lowest price we could find. It features a 16-hour battery life, mic, Bluetooth, and an IPX67 water/dust/shock-proof design.",3,
free shipping,https://www.dealnews.com/Refurb-Harman-Kardon-HKTS-9-5.1-Speakers-for-130-free-shipping/2167523.html,HOME THEATER SYSTEMS,2017-12-28T18:46:03-05:00,2167523,,Refurb Harman Kardon HKTS 9 5.1 Speakers,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wqcuri4paqxr1uqhqkbb",$130,"Harman Audio offers its refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167523"">Harman Kardon HKTS 9 5.1-Channel Home Theater Speaker System</a> in Black for <strong>$129.99</strong> with <strong>free shipping</strong>. That's $25 under our November mention of a new unit and $237 under the lowest price we could find for a new one today. It features a frequency response of 45Hz to 20kHz, 200-watt powered subwoofer, five wall-mount brackets, and color-coded speaker cables. Deal ends December 31.<br>
<br>
Note: A 1-year Harmon Kardon warranty applies.",2,
free shipping,https://www.dealnews.com/Cap-Strength-Roman-Chair-for-63-free-shipping/2167886.html,EXERCISE EQUIPMENT,2017-12-28T18:38:41-05:00,2167886,,Cap Strength Roman Chair,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qqxw7wqs1xeyppun9lem",$63,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167886"">Cap Strength Roman Chair</a> for $64.35. Opt for in-store pickup to drop it to <b>$63.06</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087900,2167886"">Amazon</a> has it for the same via a coupon on the product page.) With <b>free shipping</b>, that's the lowest price we could find by $10. It features steel construction and supports up to 300 lbs.",3,
free shipping,https://www.dealnews.com/M-Audio-AV42-20-W-Studio-Monitor-Speakers-for-99-free-shipping/2167889.html,SPEAKERS,2017-12-28T18:38:19-05:00,2167889,,M-Audio AV42 20W Studio Monitor Speakers,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sdmbpybnieoqwdkuyxna",$99,"Amazon offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167889"">pair of M-Audio AV42 20-watt Studio Monitor Speakers</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $30. Each speaker features a frequency response range of 75 Hz to 20 kHz, 4"" woofer, 1"" Ferro fluid-cooled silk cone tweeters, and black vinyl laminate finish.",3,
free shipping,https://www.dealnews.com/Skip-Hop-Dash-Signature-Messenger-Diaper-Bag-for-36-free-shipping/2167895.html,BABIES & KIDS ITEMS,2017-12-28T18:26:47-05:00,2167895,,Skip Hop Dash Signature Messenger Diaper Bag,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lbutsrnhw4w3ehasuex5",$36,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167895"">Skip Hop Dash Signature Messenger Diaper Bag</a> in Heather Grey for <strong>$36.31</strong> with <strong>free shipping</strong>. That's a $10 drop in the last week and the lowest price we could find now by $9. It features 11 pockets, two side pockets for bottles or sippy cups, an adjustable shoulder strap, and includes a cushioned changing pad.",2,
free shipping,https://www.dealnews.com/Refurb-Worx-SD-Power-Screwdriver-for-15-free-shipping/2167892.html,POWER TOOLS,2017-12-28T18:25:18-05:00,2167892,,Refurb Worx SD Power Screwdriver,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eq8qm6mftwkulwgavoot",$15,"Worx via eBay offers its refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167892"">Worx SD Semi-Automatic Power Screwdriver</a> for <strong>$14.99</strong> with <b>free shipping</b>. That's tied with last month's refurb mention and $25 under the lowest price we could find for a new one today. It features tool bit storage and includes six bits and a charger.<br>
<br>
Note: A 2-year Worx warranty applies.",3,
free shipping,https://www.dealnews.com/Miele-Compact-C2-Topaz-Canister-Vacuum-from-400-free-shipping/2167883.html,VACUUM CLEANERS,2017-12-28T18:15:29-05:00,2167883,,Miele Compact C2 Topaz Canister Vacuum,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ceeqsgilszeapkglp7zo",from $400,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167883"">Miele Compact C2 Topaz Canister Vacuum Cleaner</a> in Blue for <strong>$399.91</strong> with <strong>free shipping</strong>. (Non-members pay a $39.99 surcharge, so it's better to get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/15-Sams-Club-Gift-Card-free-w-membership/2166128.html"">1-Year Membership</a> bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/15-Sams-Club-Gift-Card-free-w-membership/2166128.html"">$15 Sam's Club Gift Card</a> for $45.) That's the lowest price we could find by $67. (For further comparison, other retailers charge at least $599 for the newest generation of this model.)<br>
<br>
It features a 1,200-watt vortex motor, six power control settings, 33-foot cleaning radius, AirClean sealed filtration system, carpet tool with floating head and swivel neck, telescopic stainless steel wand, dusting brush, upholstery tool, crevice tool, and hard floor brush.",2,
