uuid,price,url,description,editors_choice,shipping,category,hotness,title,picture_url,time_published,time_modified
2173385,$9,https://www.dealnews.com/Kitclan-Magnet-Wristband-for-9-free-shipping-w-Prime/2173385.html,"Kitclan via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173385"">Kitclan Magnet Wristband</a> for $12.99. Coupon code ""LVX6HH39"" cuts it to <strong>$8.70</strong>. With <strong>free shipping</strong> for Prime members, that's $4 off list and the lowest price we could find. It features an adjustable velcro strap, 1,680-denier ballistic polyester construction, and five powerful magnets. Deal ends January 9.",,free shipping w/ Prime,TOOLS & HARDWARE,3,Kitclan Magnet Wristband,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uxoi76moaf0lbizoh1d9",,2018-01-07T12:56:11-05:00
2173379,$13,https://www.dealnews.com/Tacklife-Stainless-Steel-Digital-Caliper-for-13-free-shipping-w-Prime/2173379.html,"Tacklife Direct via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173379"">Tacklife Stainless Steel Digital Caliper</a> for $17.97. Coupon code ""64GTMDPV"" cuts it to <strong>$12.58</strong>. With <strong>free shipping</strong> for Prime members, that's $4 under our mention from last November and the lowest price we could find by $16. It features three measuring modes and an LCD screen. Deal ends January 10.",,free shipping w/ Prime,TOOLS & HARDWARE,4,Tacklife Stainless Steel Digital Caliper,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x7wdqlaleqgpfunrue2e",,2018-01-07T12:50:16-05:00
2173382,$15,https://www.dealnews.com/Tacklife-EM02-Classic-Power-Meter-for-15-free-shipping-w-Prime/2173382.html,"Tacklife via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173382"">Tacklife EM02 Classic Power Meter</a> for $19.97. Coupon code ""XML7D4EH"" cuts it to <strong>$14.78</strong>. With <strong>free shipping</strong> for Prime members, that's a buck under our mention from last September and the lowest price we could find today by $10. It features an LCD display, four controlling buttons, overload protection, and data hold. Deal ends January 10.",,free shipping w/ Prime,TOOLS & HARDWARE,4,Tacklife EM02 Classic Power Meter,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vnsuuncf2hgmkvsidqp5",,2018-01-07T12:49:23-05:00
2173388,$6,https://www.dealnews.com/Tacklife-12-in-1-Stainless-Steel-Multi-Pliers-for-6-free-shipping-w-Prime/2173388.html,"TacklifeDirect via Amazon offers Prime members its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173388"">Tacklife Advanced 12-in-1 Stainless Steel Multi-Pliers</a> in All Metal for <b>$5.97</b> with <strong>free shipping</strong>. That's $3 under our mention from three days ago, $22 off list, and the lowest price we've seen. It includes a carrying case.",True,free shipping w/ Prime,KNIVES & MULTITOOLS,4,Tacklife 12-in-1 Stainless Steel Multi-Pliers,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eb3crqomzovj7yqgztkg",,2018-01-07T12:48:09-05:00
2173271,Earn a $150 bonus,"https://www.dealnews.com/lw/click.html?20,2,2173271","Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173271"">Chase Freedom Unlimited® Card</a> and <strong>earn a $150 Bonus</strong> after you spend $500 on purchases in your first three months from account opening. Plus, receive a <strong>0% Intro APR</strong> for 15 months on purchases and balance transfers. (After that, variable APR, currently 15.99% - 24.74%.) Other card features include earning <strong>unlimited 1.5% cash back</strong> on every purchase. It's automatic! Redeem for cash back - any amount, anytime and your Cash Back rewards do not expire as long as your account is open. Plus, there's <strong>no annual fee</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099087,2173271"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,,CREDIT CARDS,,Chase Freedom Unlimited® Card,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ydfbhq1eoc6ncmebhug2",2018-01-06T12:54:19-05:00,
2173367,$6,https://www.dealnews.com/Dr.-Meter-Soft-Baby-Proof-Corner-Guard-24-pk-for-6-free-shipping-w-Prime/2173367.html,"Thousand Shore Inc. via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173367"">Dr. Meter Soft Baby Proofing Corner Guards 24-Pack</a> for $10.99. Coupon code ""BDB8MBVX"" cuts it to <strong>$6</strong>. With <strong>free shipping</strong> for Prime members, that's $5 off list and the lowest price we could find. It includes 12 L-shaped corner guards and 12 ball-shaped corner guards. Deal ends January 12.",,free shipping w/ Prime,BABIES & KIDS ITEMS,3,Dr. Meter Soft Baby Proof Corner Guard 24pk,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ah52s9gxvvwwgqnpxdpg",,2018-01-07T12:55:24-05:00
2173364,10 issues for free,https://www.dealnews.com/Harpers-Bazaar-1-Year-Subscription-10-issues-for-free/2173364.html,"Mercury Magazines offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173364"">Harper's Bazaar 1-Year Subscription</a> (10 issues) for <strong>free</strong> when you fill out a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099159,2173364"">short form</a>. That's tied with our September mention and the lowest price we could find by $15 today.",True,,MAGAZINES,3,Harper's Bazaar 1-Year Subscription,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iecywupno3btezp2q2yc",,2018-01-07T12:47:34-05:00
2173361,$8,https://www.dealnews.com/Rocket-League-for-PC-for-8/2173361.html,"CDKeys offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173361"">Rocket League for Windows</a> for <strong>$7.89</strong>. That's the best price we could find for this soccer-meets-driving game by $8, although it was pennies less two weeks ago.<br>
<br>
Note: New customers can provide an email address on the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099156,2173361"">CDKeys Facebook page</a> to get a unique coupon code that cuts an extra 5% off.",,,PC GAMES,2,Rocket League for PC,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r7hqvdsmyhyxvz1cfwsd",,2018-01-07T12:56:57-05:00
2173358,$117,https://www.dealnews.com/Electric-Fireplace-with-44-Mantle-for-117-pickup-at-Walmart/2173358.html,"Walmart offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173358"">Electric Fireplace with 44"" Mantle</a> in Black for $119. Opt for in-store <strong>pickup</strong> to drop it to <b>$116.91</b>. (You can also opt for free shipping if you aren't interested in the pickup discount.) That's $10 under our mention from a week ago, $64 off list, and the lowest price we've seen. This 3,750-BTU fireplace is designed to heat rooms up to 325 square feet.",True,pickup at Walmart,HEATERS,3,"Electric Fireplace with 44"" Mantle","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zqd6ynhq0oavkswgccml",,2018-01-07T12:46:53-05:00
2173346,$75 w/Prime,https://www.dealnews.com/Life-Straw-Mission-Water-Purification-System-for-75-w-Prime-free-shipping/2173346.html,"Exclusively for Prime members, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173346"">LifeStraw Mission Water Purification System</a> for <strong>$74.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $55. This BPA-free device enables you to safely drink contaminated water. It purports to remove almost 100% of waterborne bacteria and protozoan parasites and will filter up to 18,000 liters of water.",True,free shipping,CAMPING & OUTDOORS,3,LifeStraw Mission Water Purification System,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fmoaln8sc5kj5luqtj89",,2018-01-07T12:46:40-05:00
2173343,$90,https://www.dealnews.com/Breville-Juice-Fountain-Plus-Juice-Extractor-for-90-free-shipping/2173343.html,"Bloomingdale's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173343"">Breville Juice Fountain Plus 850-watt Juice Extractor</a> for <strong>$89.99</strong>. Plus, Loyallist members bag <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099138,2173343"">join</a>.) That's the lowest price we could find by $12. It features an 850-watt dual-speed motor, stainless-steel cutting disc, safety locking, and dishwasher-safe parts.",True,free shipping,SMALL APPLIANCES,3,Breville Juice Fountain Plus Juice Extractor,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mwlttt7mvan0fz2iyiwo",,2018-01-07T12:46:31-05:00
2173340,$122,https://www.dealnews.com/Modway-Edge-Ergonomic-Mesh-Back-Office-Chair-for-122-free-shipping/2173340.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173340"">Modway Edge Ergonomic Mesh Back Vinyl Office Chair With Flip-Up Arms</a> in Black for <b>$122.39</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099135,2173340"">Home Depot</a> charges the same.) That's the lowest price we could find by $22. It features adjustable height, tilt, and tension.",,free shipping,OFFICE CHAIRS,3,Modway Edge Ergonomic Mesh Back Office Chair,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qyiwomhxuhz12zenkkv9",,2018-01-07T13:01:54-05:00
2173337,$246,https://www.dealnews.com/Monarch-Bonded-Leather-Swivel-Glider-Recliner-for-246-free-shipping/2173337.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173337"">Monarch Specialties Bonded Leather Swivel Glider Recliner</a> in Charcoal Grey for <b>$246.45</b> with <b>free shipping</b>. That's the lowest price we could find by $38. It reclines to about 30° and features a retractable footrest.",,free shipping,CHAIRS,4,Monarch Bonded Leather Swivel Glider Recliner,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/oy5sqowyyvsrrz2tyqys",,2018-01-07T09:22:53-05:00
2173334,Up to 15% off,https://www.dealnews.com/Filtrete-Air-Filters-at-Amazon-Up-to-15-off-free-shipping/2173334.html,"Amazon cuts <strong>up to 15% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173334"">Filtrete air filters</a>. (Prices are as marked, and although the discount is advertised as up to 15% off, we found even bigger cuts.) Plus, all qualify for <strong>free shipping</strong>.",,free shipping,HOME & GARDEN,5,Filtrete Air Filters at Amazon,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hlkyo6yhotgpbsylh7d6",,2018-01-07T12:44:46-05:00
2173256,Teen Discounts,"https://www.dealnews.com/lw/click.html?20,2,2173256","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173256"">Liberty Mutual</a> offers discounted rates on policies for teen drivers. You may qualify for rate reductions if your teen is:
<ul>
 <li>Under the age of 21 and completes a qualifying driver training program
 </li>
 <li>living at a school more than 100 miles from your home and occasionally drives your vehicle
 </li>
 <li>under the age of 25, who achieve at least a B (3.0) average
 </li>
</ul>",,,FINANCIAL SERVICES,,Liberty Mutual Auto Insurance,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aq1sckhgbtxvj4gqbcxp",2018-01-07T00:01:00-05:00,
2173328,$270,https://www.dealnews.com/RCA-43-4-K-LED-LCD-UHD-TV-for-270-free-shipping/2173328.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173328"">RCA 43"" 4K LED-Backlit LCD Ultra HD TV</a>, model no. RTU4300, for <strong>$269.99</strong> with <strong>free shipping</strong>. That's tied with our November mention and the lowest price we could find by $38. It features a 3840x2160 (2160p) native resolution, LED backlight, and four HDMI inputs.",,free shipping,TVS,2,"RCA 43"" 4K LED LCD UHD TV","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ki8prkclvlvt8qzyeuid",,2018-01-07T09:36:00-05:00
2173331,$88,https://www.dealnews.com/Razor-Power-Core-90-Electric-Scooter-for-88-free-shipping/2173331.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173331"">Razor Power Core 90 Electric Scooter</a> in Green or Pink for <strong>$88</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099129,2173331"">Amazon</a> offers it for the same price.) That's tied with our November mention and the lowest price we could find by $12. It features a top speed of 10mph, hand-operated front brake, retractable kick stand, and ride time of up to 70 minutes.",,free shipping,TOYS & HOBBIES,3,Razor Power Core 90 Electric Scooter,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yoim26ddwmp4xukmfg72",,2018-01-07T13:01:10-05:00
2173325,$40,https://www.dealnews.com/American-Rag-Womens-Faux-Fur-Hooded-Parka-for-40-free-s-h-w-beauty-item/2173325.html,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173325"">American Rag Women's Faux-Fur Hooded Parka</a> in several colors (Olive/White Combo pictured) for <strong>$39.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099126,2173325"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $57 off and the lowest price we could find. It's available in select sizes from XXS to XL. Deal ends January 7.",,free s&h w/beauty item,COATS,4,American Rag Women's Faux-Fur Hooded Parka,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nmiltmpiko1evktudv24",,2018-01-07T09:22:34-05:00
2173319,$36,https://www.dealnews.com/Bell-Automotive-Roadside-Emergency-Kit-for-36-free-shipping/2173319.html,"Pep Boys via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173319"">Bell Automotive Products Premium Roadside Emergency Kit</a> for <b>$35.99</b> with <b>free shipping</b>. That's $9 under the lowest price we could find for a similar set elsewhere. The kit includes an 8-foot booster cable, tire sealant, LED flashlight, three AAA batteries, glow sticks, multi-tool, slip joint pliers, 2-in-1 screwdriver, 24"" elastic tie down, cable ties, electrical tape, duct tape, shop towel, nitrile gloves, jersey gloves, safety vest, rain poncho, fleece blanket, space blanket, first aid kit, and a help sign.",,free shipping,AUTOMOTIVE,4,Bell Automotive Roadside Emergency Kit,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gftvrbccuopygbavaskd",,2018-01-07T09:21:17-05:00
2173316,$20,https://www.dealnews.com/Nike-Mens-Therma-Fit-KO-Crew-Shirt-for-20-free-shipping/2173316.html,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173316"">Nike Men's Therma Fit KO Crew Shirt</a> in several colors (Black pictured) for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $35 off and the lowest price we could find. It's available in sizes <del>XS to 3XL</del> L to XXL.",,free shipping,SWEATSHIRTS & HOODIES,5,Nike Men's Therma Fit KO Crew Shirt,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e6rkfcx7ntkd5lim4vij",,2018-01-07T12:44:38-05:00
2173322,$99,https://www.dealnews.com/Bosch-12-V-2-Speed-Drill-Driver-Kit-for-99-free-shipping/2173322.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173322"">Bosch 12-volt 2-Speed Drill/Driver Kit</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $28. It includes two batteries, charger, and carrying case.",,free shipping,POWER TOOLS,3,Bosch 12V 2-Speed Drill/Driver Kit,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o80bnlnxhwobo7shgtxb",,2018-01-07T09:32:52-05:00
2173244,$22,https://www.dealnews.com/JOOLA-Table-Tennis-Table-Cover-for-22-pickup-at-Walmart/2173244.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173244"">JOOLA Table Tennis Table Cover</a> for <strong>$21.60</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099045,2173244"">Sears</a> offers it for the same price.) Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the lowest price we could find by $8. It fits standard 9x5-foot tables.",,pickup at Walmart,SPORTS & FITNESS,3,JOOLA Table Tennis Table Cover,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iacougzosqogop7gkg3e",,2018-01-07T09:32:33-05:00
2173310,$90,https://www.dealnews.com/Casual-Home-Nolan-4-Shelf-Ladder-Bookcase-for-90-free-shipping/2173310.html,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173310"">Casual Home Nolan 4-Shelf Folding Ladder Bookcase</a> in White for <strong>$89.50</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $49. It measures 60"" x 24"" x 16"". Deal ends January 7.",,free shipping,HOME FURNITURE,3,Casual Home Nolan 4-Shelf Ladder Bookcase,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hqqqabrhybxjjm846a7b",,2018-01-07T09:32:10-05:00
2173304,$120,https://www.dealnews.com/Xtremepower-US-1-500-W-Infrared-Fireplace-for-120-free-shipping/2173304.html,"Id-rack via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173304"">XtremepowerUS 1,500-watt Infrared Fireplace</a> in Honey Oak for <strong>$119.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $7. It features a remote control, timer, and dimmer.",,free shipping,HEATERS,3,"XtremepowerUS 1,500W Infrared Fireplace","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tqnorfgryvfslltokcs7",,2018-01-07T09:31:48-05:00
2171069,"50,000 bonus points","https://www.dealnews.com/lw/click.html?20,2,2171069","Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171069"">Chase Sapphire Reserve℠ Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094638,2171069"">$4,000 or more</a> on purchases in the first three months from account opening – that's $750 toward travel when you redeem through Chase Ultimate Rewards®. Plus, automatically receive <strong>up to $300 in statement credits</strong> as reimbursement for travel purchases charged to your card each account anniversary year. Also, earn <strong>3X points</strong> for every $1 spent on travel and dining at restaurants worldwide, and 1 point for every $1 spent on all other purchases. There's a $450 annual fee; $75 for each authorized user. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094641,2171069"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,,CREDIT CARDS,,Chase Sapphire Reserve℠ Card,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dgnflhffkigi97koojiy",2018-01-03T12:34:27-05:00,
2173298,$40,https://www.dealnews.com/Under-Armour-Hustle-3.0-Backpack-for-40-free-shipping/2173298.html,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173298"">Under Armour Hustle 3.0 Backpack</a> in several colors (Black/Steel pictured) for <strong>$39.98</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099123,2173298"">Zappos</a> offers it for the same price.) That's the lowest price we could find by $15. It's water repellent and features a laptop sleeve, side pockets, and a shoe pocket.",,free shipping,BACKPACKS,4,Under Armour Hustle 3.0 Backpack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o9clbjwvlwlskdplggte",,2018-01-07T09:20:41-05:00
2173301,$100,https://www.dealnews.com/Kathy-Ireland-Mulholland-Swing-Arm-Floor-Lamp-for-100-free-shipping/2173301.html,"Lamps Plus offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173301"">Kathy Ireland Mulholland Swing Arm Floor Lamp</a> for <strong>$99.95</strong> with <strong>free shipping</strong>. That's $100 off and the lowest price we could find. It stands at 61"" tall and features a swing arm. Deal ends January 28.",,free shipping,LIGHTING & LAMPS,2,Kathy Ireland Mulholland Swing Arm Floor Lamp,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ipcfclygnqntidwm013x",,2018-01-07T09:31:09-05:00
2173295,$35,https://www.dealnews.com/G.H.-Bass-Mens-Washed-Canvas-Oxford-Shoes-for-35-free-shipping/2173295.html,"Nashville Shoe Warehouse via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173295"">G.H. Bass &amp; Co. Men's Proctor Premium Washed Canvas Oxford Shoes</a> in Black for <strong>$34.99</strong> with <strong>free shipping</strong>. That's tied with last month's mention and the lowest price we could find by $20. They're available in select sizes from <del>7</del> 7.5 to 13.",,free shipping,SHOES,4,G.H. Bass Men's Washed Canvas Oxford Shoes,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mpjwfwovmunnwdlmaqiq",,2018-01-07T09:19:25-05:00
2173235,$15,https://www.dealnews.com/Quest-Hard-Arm-Chair-for-15-6-s-h/2173235.html,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173235"">Quest Hard Arm Chair</a> in Red for <strong>$14.97</strong> plus <strong>$5.99</strong> for shipping. That's tied with our October mention and the lowest price we could find by $13. It features a beverage holder, carry bag, and weight capacity of 300 lbs.",,$6 shipping,CAMPING & OUTDOORS,2,Quest Hard Arm Chair,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bykbklpqwiuxca9vpa7p",,2018-01-07T09:35:02-05:00
2173262,$13,https://www.dealnews.com/Alpine-Swiss-Mens-Leather-Zip-Around-Wallet-for-13-free-shipping-w-Prime/2173262.html,"Alpine Swiss Store via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173262"">Alpine Swiss Men's Leather Zip Around Wallet</a> in several colors (Antique Brown pictured) for <strong>$12.74</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It features a zipper closure, card case, and two separate bill compartments.",,free shipping w/ Prime,ACCESSORIES,5,Alpine Swiss Men's Leather Zip Around Wallet,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/az6txmeyrkibi9kc9rse",,2018-01-07T12:44:02-05:00
