title,editors_choice,url,picture_url,hotness,price,shipping,time_published,uuid,description,category,time_modified
Ozark Trail 4-Person Instant A-Frame Tent,,https://www.dealnews.com/Ozark-Trail-4-Person-Instant-A-Frame-Tent-for-38-free-shipping/2172821.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xo30vphyxpb2g8zjabhp",3,$38,free shipping,2018-01-05T18:27:29-05:00,2172821,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172821"">Ozark Trail 4-Person Instant A-Frame Tent</a> in Brown or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098601,2172821"">Beige</a> for <b>$38</b> with <b>free shipping</b>. That's $21 off list and the lowest price we could find. It features pre-attached poles, fits one queen mattress, and comes with a carry bag.",CAMPING & OUTDOORS,
Joseph Joseph Wash & Drain Wash Basin,,https://www.dealnews.com/Joseph-Joseph-Wash-Drain-Wash-Basin-for-18-free-shipping-w-Prime/2172902.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/httfdmfbac0nriebvssr",5,$18,free shipping w/ Prime,2018-01-05T18:22:16-05:00,2172902,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172902"">Joseph Joseph Wash &amp; Drain Wash Basin</a> in White for <strong>$17.99</strong> with <strong>free shipping</strong> for Prime members. That's the lowest price we could find by $4. It features an integrated plug and strainer and 2.35-gallon capacity.",KITCHEN,
Thecus N2350 2-Bay USB 3.0 NAS Enclosure,,https://www.dealnews.com/Thecus-N2350-2-Bay-USB-3.0-NAS-Enclosure-for-70-free-shipping/2172917.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/glkfhqlzajzeqk6fismg",4,$70,free shipping,2018-01-05T18:20:01-05:00,2172917,"As a reader discovered, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172917"">Thecus N2350 2-Bay USB 3.0 NAS Enclosure</a> for <strong>$69.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098760,2172917"">Amazon</a> charges the same, but it is temporarily out of stock.) That's the lowest price we could find by $20. It features a Marvell Armada 385 1GHz dual-core processor, 1GB RAM, and two USB 3.0 ports.",DRIVE ENCLOSURES,
The Limited Clearance Sale,,https://www.dealnews.com/The-Limited-Clearance-Sale-Up-to-80-off-free-shipping/2172923.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/c2egzr58ix5cpavrt2dm",4,Up to 80% off,free shipping,2018-01-05T18:15:08-05:00,2172923,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098766,2172923"">The Limited</a> continues to take <strong>up to 80% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098769,2172923"">clearance styles</a>. Alternatively, cut <b>30% to 50% off</b> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098772,2172923"">everything else</a>. (Prices are as marked.) Even better, all orders receive <strong>free shipping</strong>. Some exclusions may apply. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172923"">The Limited Women's Faux Suede A-Line Dress</a> for <strong>$19.80</strong> (pictured, $79 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098775,2172923"">The Limited Women's Stretch Velvet Jacket</a> for <strong>$29.75</strong> ($89 off)
 </li>
</ul>",CLOTHING & ACCESSORIES,
2 ACE Adjustable Wrist Supports,True,https://www.dealnews.com/2-ACE-Adjustable-Wrist-Supports-for-3-pickup-at-Walmart/2172920.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vclau3ojohf3xeonheki",4,$3,pickup at Walmart,2018-01-05T17:59:47-05:00,2172920,"Walmart offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172920"">two ACE Adjustable Wrist Supports</a> for <b>$3.10</b>. (Minimum purchase is two.) Opt for in-store <b>pickup</b> to dodge the $5.99 shipping charge. That's $7 off list and the lowest price we could find. They fit either the right or left hand.",HEALTH,
Barcalounger Relax & Restore Recliner,,https://www.dealnews.com/Barcalounger-Relax-Restore-Recliner-for-210-free-shipping/2172884.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z8v2svhgmwpg2fubzdgi",3,$210,free shipping,2018-01-05T17:36:30-05:00,2172884,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172884"">Barcalounger Relax &amp; Restore Recliner</a> in Black for <b>$209.99</b> with <b>free shipping</b>. That's $60 off list and the lowest price we could find. It features a pillowed arm rest and measures 35"" x 37"" x 40"".",CHAIRS,
"Calphalon Contemporary 10"" Flat-Bottom Wok",,https://www.dealnews.com/Calphalon-Contemporary-10-Flat-Bottom-Wok-for-40-free-shipping/2172890.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uovs9fvwk2ebdqj4ugy2",3,$40,free shipping,2018-01-05T17:35:10-05:00,2172890,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172890"">Calphalon Contemporary Nonstick 10"" Flat-Bottom Wok</a> for <b>$39.99</b> with <b>free shipping</b>. That's the lowest price we could find by $5. It features a riveted handle and hard anodized aluminum surface.",KITCHEN,
Bank of America® Cash Rewards Credit Card,,"https://www.dealnews.com/lw/click.html?20,2,2170991","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iqvilhcxr75ii4qvfihq",,$150 cash rewards offer,,2018-01-03T11:25:50-05:00,2170991,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170991"">Bank of America® Cash Rewards credit card</a> and receive a <strong>$150 cash rewards bonus</strong> after you spend at least $500 on purchases in the first 90 days of account opening. Plus, get a <strong>10% customer bonus</strong> every time you redeem your cash back into a Bank of America® checking or savings account. (If you're a Preferred Rewards client, you can increase that bonus to 25% - 75%.) You'll also earn 1% cash back everywhere, every time, 2% at grocery stores and wholesale clubs, and 3% on gas for the first $2,500 in combined grocery, wholesale club, and gas purchases each quarter. (There are no changing categories and your rewards do not expire.) Plus, there's a <strong>0% introductory APR</strong> for <strong>12 billing cycles</strong> for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094431,2170991"">purchases and for any balance transfers</a> made in the first 60 days, then, <strong>14.24% - 24.24% variable APR</strong>. A 3% fee (min $10) applies to balance transfers. Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",CREDIT CARDS,
Corningware French White 2-Piece Bakeware Set,,https://www.dealnews.com/Corningware-French-White-2-Piece-Bakeware-Set-for-15-free-s-h-w-beauty-item/2172887.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ab8sigeil0e8nosbrmfz",2,$15,free s&h w/beauty item,2018-01-05T17:34:51-05:00,2172887,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172887"">Corningware French White 2-Piece Bakeware Set</a> for $24.99. Coupon code ""WKND25"" cuts that to <strong>$14.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098703,2172887"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's the lowest price we could find by $10. It includes 1- and 2-quart baker dishes. Deal ends January 7.",KITCHEN,
Cooler Master Mechanical Keyboard and Mouse,,https://www.dealnews.com/Cooler-Master-Mechanical-Keyboard-and-Mouse-for-34-after-rebate-free-shipping/2172899.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/czngzrqhvepcylkwduas",3,$34 after rebate,free shipping,2018-01-05T17:18:10-05:00,2172899,"As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172899"">Cooler Master MasterKeys Lite L Combo RGB Mechanical Keyboard and Mouse</a>, model no. SGB-3040-KKMF1-US, for $48.75. This <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098736,2172899"">$15 mail-in rebate</a> cuts it to <b>$33.75</b>. With <b>free shipping</b>, that's $6 under our August mention and the lowest price we could find by $17. This Cherry MX-compatible keyboard features 26-key anti-ghosting. Deal ends January 31.",KEYBOARDS,
Rubbermaid Commercial Service/Utility Cart,,https://www.dealnews.com/Rubbermaid-Commercial-Service-Utility-Cart-for-67-free-shipping/2172896.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hqltjayfgqkzzvmzp3ky",4,$67,free shipping,2018-01-05T17:17:30-05:00,2172896,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172896"">Rubbermaid 300-lb. Capacity Commercial Service/Utility Cart</a> for $79. Clip the 15% off coupon code on the product page to cut it to <strong>$67.15</strong>. With <strong>free shipping</strong>, that's $204 off list and the lowest price we could find. It measures 31"" x 34"" x 16"" and features 5"" swivel casters.",TOOLS & HARDWARE,
Soma Sustainable Pitcher & Water Filter,,https://www.dealnews.com/Soma-Sustainable-Pitcher-Water-Filter-for-32-free-shipping/2172893.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/udlewqejuy5oirpnwabi",4,$32,free shipping,2018-01-05T17:14:52-05:00,2172893,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172893"">Soma Sustainable Pitcher &amp; Plant-Based Water Filter</a> for <strong>$31.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find $7. It holds 80-oz. and features a wooden handle and auto open lid door.",KITCHEN,
Excelsteel Stainless Steel Stockpot 3pc Set,,https://www.dealnews.com/Excelsteel-Stainless-Steel-Stockpot-3-pc-Set-for-28-free-shipping/2172860.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tcuzo9hdkf1fhonrfxeo",3,$28,free shipping,2018-01-05T17:09:02-05:00,2172860,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172860"">Excelsteel Stainless Steel Stockpot 3-Piece Set</a> for <b>$27.81</b> with <b>free shipping</b>. That's the lowest price we could find by $6. The set includes one 8-quart, one 12-quart, and one 16-quart pot, each with a matching lid.",KITCHEN,
Belkin 6-Outlet Wall-Mount Surge Protector,,https://www.dealnews.com/Belkin-6-Outlet-Wall-Mount-Surge-Protector-for-8-free-shipping-w-Prime/2172875.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ip9iuzgdmkk9jfbvjuhr",4,$8,free shipping w/ Prime,2018-01-05T17:08:49-05:00,2172875,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172875"">Belkin 6-Outlet Wall-Mount Surge Protector</a> for <strong>$7.61</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5. It features a 900-joule energy rating.",SURGE PROTECTORS,
Bowflex Blaze Home Gym,,https://www.dealnews.com/Bowflex-Blaze-Home-Gym-for-619-free-shipping/2172872.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jthjd4vvdzfi6bbao6z5",3,$619,free shipping,2018-01-05T16:51:06-05:00,2172872,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172872"">Bowflex Blaze Home Gym</a> for <strong>$618.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $99. It features 210 lbs. of resistance, sliding seat rail, lat tower, and leg extension.",EXERCISE EQUIPMENT,
Black & Decker 400W Juice Extractor,,https://www.dealnews.com/Black-Decker-400-W-Juice-Extractor-for-22-free-shipping-w-Prime/2172881.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d0cuuss5ozoeaux9eezu",3,$22,free shipping w/ Prime,2018-01-05T16:46:40-05:00,2172881,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172881"">Black &amp; Decker 400-watt Juice Extractor</a> for <strong>$21.85</strong> with <strong>free shipping</strong> for Prime members. That's the lowest price we could find by $2. It features a stainless steel cutter/strainer, integrated pulp container, and 10-oz. juice container.",SMALL APPLIANCES,
3Nt Montego Bay Flight & Hotel Vacation,,https://www.dealnews.com/3-Nt-Montego-Bay-Flight-Hotel-Vacation-from-1-249-for-2/2172878.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ruwvskhvulh6yewjr69b",2,"from $1,249 for 2",,2018-01-05T16:26:56-05:00,2172878,"CheapCaribbean offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172878"">Sunscape Splash Montego Bay 3-Night Flight and Hotel Package for Two</a> in Montego Bay, Jamaica, with prices starting at <strong>$1,248.82</strong>, as seen on Travelzoo. (It's the second offer down in the right sidebar of the landing page.) That's $51 under our mention from last week and the lowest current rate we could find for this package today by at least $7. This price is based on departure from Fort Lauderdale, FL, (FLL) with arrival in Montego Bay, Jamaica, (MBJ) on February 4; other departure cities and dates are available for an additional cost. This 4-star resort has an Expedia rating of 69% based on 383 reviews. Book this travel deal by January 11 for travel from January 10 through February 15. <img class=""lazy-img"" src=""https://dealnews.a.ssl.fastly.net/images/spacer.png"" data-src=""https://adfarm.mediaplex.com/ad/tr/27840-205621-46966-0?mpt=123456"" style=""width: 1px; height: 1px; border-width: 0;"" alt=""*"">",VACATIONS,
LEGO Building Sets at Walmart,,https://www.dealnews.com/LEGO-Building-Sets-at-Walmart-20-off-select-items-free-shipping-w-35/2172863.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ffx7nlp6d88o712m3iir",4,20% off select items,free shipping w/ $35,2018-01-05T16:26:36-05:00,2172863,"Walmart takes <b>20% off</b> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098691,2172863"">LEGO building sets</a>. (Prices are as marked.) Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee, or spend $35 or more to bag free shipping. A couple of best bets, both with <b>free shipping</b>:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172863"">LEGO Batman Movie The Batmobile Building Set</a> for <strong>$47.99</strong> (pictured, low by $12)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098664,2172863"">LEGO Star Wars Y-Wing Starfighter Building Set</a> for <strong>$47.99</strong> (low by $2)
 </li>
</ul>
Note: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098667,2172863"">Amazon</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098670,2172863"">Target</a> are matching prices for many of these items, including the best bets.",TOYS & HOBBIES,
Carnival 4Nt Last Minute Bahamas Cruise,,https://www.dealnews.com/Carnival-4-Nt-Last-Minute-Bahamas-Cruise-from-486-for-2/2172866.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x8hesr9n6yqitxngw61w",3,from $486 for 2,,2018-01-05T16:19:23-05:00,2172866,"Vacations to Go offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172866"">Carnival Cruise 4-Night Bahamas Cruise for Two</a>, with prices starting from <strong>$486</strong>. That's the lowest price we could find for such a cruise by $22. This roundtrip cruise aboard the Carnival Victory departs from Miami, FL, on January 29 with stops in Nassau and Half Moon Cay, Bahamas. Book this travel deal by January 28.",CRUISES,
Bowflex SelectTech 5.1 Adjustable Bench,,https://www.dealnews.com/Bowflex-Select-Tech-5.1-Adjustable-Bench-for-169-free-shipping/2172857.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qu7ujnmnjuwkykce0ocd",2,$169,free shipping,2018-01-05T16:18:35-05:00,2172857,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172857"">Bowflex SelectTech 5.1 Adjustable Bench</a> for <b>$169</b> with <b>free shipping</b>. That's the lowest price we could find by $5, although most stores charge $207 or more. It adjusts to six different positions and features a removable leg hold-down brace.",EXERCISE EQUIPMENT,
Rubbermaid TakeAlongs 30pc Set,,https://www.dealnews.com/Rubbermaid-Take-Alongs-30-pc-Set-for-15-free-shipping-w-Prime/2172827.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ol0eooewhitsemrtakl9",2,$15,free shipping w/ Prime,2018-01-05T16:18:30-05:00,2172827,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172827"">Rubbermaid TakeAlongs 10-Day Meal Prep 30-Piece Set</a> in Beet Red for <strong>$14.67</strong> with <strong>free shipping</strong> for Prime members. That's the lowest price we could find by $4, although we saw it in a different color for a buck less in June. It includes three 1.2-cup and two 2-cup food containers with divided sections and twist tight seals, and 10 3.7-cup divided containers with click-tight lids.",KITCHEN,
Alienware Coffee Lake i7 6-Core PC w/ 8GB GPU,,https://www.dealnews.com/Alienware-Coffee-Lake-i7-6-Core-PC-w-8-GB-GPU-for-1-367-free-shipping/2172854.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/s3wuwg4tvjl7v8vdrcow",2,"$1,367",free shipping,2018-01-05T16:13:58-05:00,2172854,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172854"">Alienware Aurora R7 Intel Coffee Lake i7 3.2GHz Desktop PC</a> for $1,518.99. Coupon code ""TENOFF"" cuts that to <strong>$1,367.09</strong>. With <strong>free shipping</strong>, that's $233 off and the lowest price we could find. It features an Intel Core i7-8700 Coffee Lake 3.2GHz 6-core processor, 16GB RAM, 2TB 7200 rpm hard drive, Nvidia GeForce GTX 1070 8GB graphics, and Windows 10 Home 64-bit. (It doesn't have an optical drive.) Deal ends January 11.",DESKTOPS,
Alpine Swiss Men's Chelsea Suede Dress Boots,,https://www.dealnews.com/Alpine-Swiss-Mens-Chelsea-Suede-Dress-Boots-for-30-free-shipping/2172848.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/inslocwdmnstsjo4j1mj",3,$30,free shipping,2018-01-05T16:12:47-05:00,2172848,"Art of Deals via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172848"">Alpine Swiss Men's Chelsea Suede Dress Boots</a> in several colors (Chestnut pictured) for <strong>$29.74</strong> with <strong>free shipping</strong>. That's $5 under our mention from two weeks ago, $85 off list, and the lowest price we could find. They come in sizes 7 to 13.",SHOES,
"Alpine Swiss Conrad 16"" Laptop Messenger Bag",,https://www.dealnews.com/Alpine-Swiss-Conrad-16-Laptop-Messenger-Bag-for-15-free-shipping-w-Prime/2172842.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cfg7ikda049yu9ja0hpd",3,$15,free shipping w/ Prime,2018-01-05T16:05:01-05:00,2172842,"Alpine Swiss Store via Amazon offers Prime members its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172842"">Alpine Swiss Conrad 16"" Laptop Messenger Bag</a> in Navy or Black for <b>$14.99</b> with <b>free shipping</b>. That's the lowest price we could find by $20. It features an adjustable strap, inner tablet sleeve, interior and exterior pockets, and holds laptops up to 16"".",LAPTOP BAGS,
Alpine Swiss Men's Leo Sneakers,,https://www.dealnews.com/Alpine-Swiss-Mens-Leo-Sneakers-for-25-free-shipping/2172839.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h8vhswkkxhshu3yhxywb",4,$25,free shipping,2018-01-05T16:00:46-05:00,2172839,"Alpine Swiss Store via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172839"">Alpine Swiss Men's Leo Sneakers</a> in several colors (Black pictured) for <strong>$25.49</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5 and the lowest price we could find, although we saw them for a buck less in November. They're available in sizes 7 to 13.",SHOES,
Lord & Taylor 3-Day Clearance Sale,,https://www.dealnews.com/Lord-Taylor-3-Day-Clearance-Sale-Up-to-70-off-free-shipping-w-99/2172830.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wwsvvbk0dlkdxnofbah5",4,Up to 70% off,free shipping w/ $99,2018-01-05T15:53:23-05:00,2172830,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098646,2172830"">Lord &amp; Taylor</a> takes <strong>up to 70% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172830"">clearance items</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098625,2172830"">3-Day Sale</a>. (Prices are as marked.) Alternatively, take an <b>extra 20% off</b> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098628,2172830"">sale items</a> or <b>15% off</b> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098631,2172830"">regular-price items</a> via coupon code ""NEWYEAR"". (Eligible items are marked.) Shipping starts at $5.95, but orders of $99 or more bag free shipping. Some exclusions apply. Deal ends January 7.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1369/Lord-Taylor/"">Lord &amp; Taylor Coupons</a>.</p>",CLOTHING & ACCESSORIES,
Vince Camuto Loma Weekender Bag,True,https://www.dealnews.com/Vince-Camuto-Loma-Weekender-Bag-for-68-free-shipping/2172824.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qgpm1qwaahqumn6nbxzs",3,$68,free shipping,2018-01-05T15:45:24-05:00,2172824,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172824"">Vince Camuto Loma Weekender Bag</a> in Latte for $79.99. (Scroll down to see it.) Coupon code ""WKND"" cuts that to <strong>$67.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098619,2172824"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $32 under our October mention, $132 off, and the lowest price we've seen. It features a snap closure, zip pocket, two slip pockets, and a removable shoulder strap. Deal ends January 7.",HANDBAGS,
2 Meilo 16.4ft LED Color-Change Strip Lights,,https://www.dealnews.com/2-Meilo-16.4-ft-LED-Color-Change-Strip-Lights-from-45-free-shipping/2172800.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/atyt7me2ccmozvuv27km",3,from $45,free shipping,2018-01-05T15:41:34-05:00,2172800,"Sam's Club offers its members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172800"">two Meilo 16.4-Foot LED Color-Changing Strip Lights</a> for <strong>$44.77</strong> with <strong>free shipping</strong>. (Non-members pay a $4.48 surcharge.) That's the lowest price we could find by $12. It features 17 colors and effects and remote control.",LIGHTING & LAMPS,
5Nts at 4-Star Cabo San Lucas Resort,,https://www.dealnews.com/5-Nts-at-4-Star-Cabo-San-Lucas-Resort-from-137-per-night/2172833.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jkv0xplhjeunguxdtgnp",3,from $137 per night,,2018-01-05T15:32:44-05:00,2172833,"BookIt via ShermansTravel offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172833"">5-Night Stays for Two at Marina Fiesta Resort &amp; Spa Resort</a> in Cabo San Lucas, Mexico, with prices starting at <strong>$685</strong>. (It's the top offer on the page; we found this rate on July 2.) At $154 per night, that's the lowest price we could find for this stay by $29. This 4-star hotel has an Expedia rating of 85% based on 1,239 reviews. Book this travel deal by January 7 for stays from April 8 through August 2.",HOTELS,
