hotness,picture_url,time_modified,url,title,time_published,uuid,editors_choice,description,price,category,shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zduxkzms3hgkfcx954cu",,https://www.dealnews.com/Armor-All-10-pc-Ultimate-Holiday-Gift-Pack-for-20-pickup-at-Walmart/2169275.html,Armor All 10pc Ultimate Holiday Gift Pack,2017-12-31T20:20:22-05:00,2169275,True,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169275"">Armor All 10-Piece Ultimate Holiday Gift Pack</a> for <strong>$19.88</strong>. Choose in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's tied with our mention from a week ago and at least $10 less than what third-party sellers charge elsewhere. It includes wash, glass wipes, wheel and tire cleaner, cleaning wipes, original protectant, tire shine, microfiber towel, car wash sponge, Armor All Pro Secrets Booklet, wash wipes sample, and 3.5-gallon bucket.",$20,AUTOMOTIVE,pickup at Walmart
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yaexgd2qspavemyyhh0r",,https://www.dealnews.com/Allen-Edmonds-Mens-Cap-Toe-Dress-Shoes-for-198-free-shipping/2169272.html,Allen Edmonds Men's Cap Toe Dress Shoes,2017-12-31T20:01:52-05:00,2169272,,"Allen Edmonds offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169272"">Allen Edmonds Men's Boulevard Cap Toe Dress Shoes</a> in several colors (Walnut pictured) for <b>$197.50</b> with <b>free shipping</b>. That's $198 off and the lowest price we could find. They're available in sizes 7 to 15.",$198,SHOES,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f9etrpjpzwdwk03xpnci",,https://www.dealnews.com/1-byone-25-Mile-Indoor-HDTV-Antenna-for-8-free-shipping-w-Prime/2169269.html,1byone 25-Mile Indoor HDTV Antenna,2017-12-31T19:39:19-05:00,2169269,,"Ending today, 1byone Products via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169269"">1byone 25-Mile Indoor HDTV Antenna</a> in Black for <b>$8.49</b>. Plus, Prime members bag <b>free shipping</b>. That's the lowest price we could find by a buck, although we saw it for $1 less in August. It includes a 10-foot coaxial cable and adhesive mounting stickers.",$8,TV ANTENNAS & RECEIVERS,free shipping w/ Prime
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hozow7nxzxkuqstccluu",,"https://www.dealnews.com/lw/click.html?20,2,2168621",Latest Credit Card Offers from Chase,2018-01-01T00:01:00-05:00,2168621,,"Looking for a new credit card? Check out our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a> which features several offers available to applicants from a wide range of credit ratings. Some notable cards include Chase Sapphire Preferred®, Chase Freedom Unlimited®, and United MileagePlus® Explorer Card.",,CREDIT CARDS,
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zqd6ynhq0oavkswgccml",,https://www.dealnews.com/Electric-Fireplace-with-44-Mantle-for-127-pickup-at-Walmart/2169266.html,"Electric Fireplace with 44"" Mantle",2017-12-31T19:22:37-05:00,2169266,True,"Walmart offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169266"">Electric Fireplace with 44"" Mantle</a> in Black for $129. Opt for in-store <strong>pickup</strong> to drop it to <b>$126.73</b>. (You can also opt for free shipping if you aren't interested in the pickup discount.) That's $20 under our mention from ten days ago and the lowest price we've seen. This 3,750-BTU fireplace is designed to heat rooms up to 325 square feet.",$127,HEATERS,pickup at Walmart
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lnluxboxddrq5mlp6biv",,https://www.dealnews.com/Remington-Shortcut-Pro-Self-Haircut-Kit-for-28-free-shipping/2169263.html,Remington Shortcut Pro Self-Haircut Kit,2017-12-31T19:15:08-05:00,2169263,True,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169263"">Remington Shortcut Pro Self-Haircut Kit</a> for $38.49. Clip the $10 off coupon on the product page to cut that to <strong>$28.49</strong>. With <strong>free shipping</strong>, that's tied with yesterday's expired mention as the lowest price we've seen. (It's the best deal now by $10.) This 13-piece kit includes a hand-held clipper, nine length-adjusting combs, a cleaning brush, storage/travel pouch, oil, and a charger.",$28,HAIR CARE,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ozxrzpxujti9om80w9hi",,https://www.dealnews.com/Annies-Organic-Mac-Cheese-12-Pack-for-9-w-Prime-free-shipping/2169260.html,Annie's Organic Mac & Cheese 12-Pack,2017-12-31T19:01:32-05:00,2169260,,"For Prime members only, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169260"">Annie's Shells and White Cheddar 6-oz. Box 12-Pack</a> in Shells & White Cheddar for <b>$9.29</b> with <b>free shipping</b> via the directions below. That's tied with our November mention and $3 under what you'd pay for this quantity at a local store. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090210,2169260"">Annie's Shells &amp; White Cheddar 6-oz. Box 12-Pack</a> for $11.88
 </li>
 <li>clip the $2 off coupon on the product page
 </li>
 <li>check out via Subscribe &amp; Save for a final price of <strong>$9.29</strong>
 </li>
</ol>
Be sure to cancel Subscribe & Save after your order arrives to avoid being billed for subsequent shipments.",$9 w/ Prime,GROCERIES,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ehynv2jrylowvo12imly",,https://www.dealnews.com/24-Boost-High-Protein-8-oz.-Bottles-for-16-free-shipping/2169257.html,24 Boost High Protein 8-oz. Bottles,2017-12-31T18:56:24-05:00,2169257,True,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169257"">Boost High Protein Complete Nutritional Drink 8-oz. Bottle 24-Pack</a> in Chocolate Sensation for $24.72. Clip the 35% off coupon to cut that to <strong>$16.07</strong> With <strong>free shipping</strong>, that's pennies under our September mention and $8 under what you'd pay at your local warehouse club. Each bottle includes 15g of protein and 26 vitamins and minerals.",$16,SUPPLEMENTS,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qpzuclmwsf7xedj7lxek",,https://www.dealnews.com/Shark-Rocket-Pro-Upright-Bagless-Vacuum-for-95-free-shipping/2169254.html,Shark Rocket Pro Upright Bagless Vacuum,2017-12-31T18:43:19-05:00,2169254,True,"Walmart offers the 14.3-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169254"">Shark Rocket Professional Upright Bagless Vacuum</a> in Purple for <strong>$95</strong> with <strong>free shipping</strong>. That's $4 under our mention from four days ago and the best price we've seen. (It's a low today by $34.)<br>
<br>
Features include swivel steering, an 11"" cleaning path, washable HEPA filter, LED headlights, 8.2-foot hose, crevice tool with LED light, and 30-foot power cord.",$95,VACUUM CLEANERS,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bhm5dadkqf8e6wjmpfog",,https://www.dealnews.com/De-Longhi-Nespresso-Expert-Espresso-Machine-for-155-free-shipping/2169248.html,DeLonghi Nespresso Expert Espresso Machine,2017-12-31T18:31:46-05:00,2169248,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169248"">DeLonghi Nespresso Expert Espresso Machine</a> in Grey for <strong>$154.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $76. It's designed for use with Nespresso capsules, and features four cup sizes (Americano, Espresso, Lungo, and Ristretto), hot water function, three temperature settings (medium, hot, and extra hot), and automatic power-off.",$155,SMALL APPLIANCES,free shipping
5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hbc9uawokjmzubajopfc",,https://www.dealnews.com/Prada-Diagramme-Leather-Handbag-for-950-free-shipping/2169245.html,Prada Diagramme Leather Handbag,2017-12-31T18:25:22-05:00,2169245,True,"Prada offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169245"">Prada Diagramme Leather Handbag</a> in Black for <strong>$950</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $1,080. This calfskin bag measures about 6"" x 9"" x 13"" and features two leather handles, a detachable shoulder strap, side snap button-closure, steel-finish hardware, metal logo lettering, signature fabric lining, and two inner pockets.",$950,HANDBAGS,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/szqtqwnfiofa4cusgqd3",,https://www.dealnews.com/Gaiam-Evolve-Balance-Board-for-40-free-shipping/2169242.html,Gaiam Evolve Balance Board,2017-12-31T18:09:42-05:00,2169242,True,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169242"">Gaiam Evolve Balance Board</a> for <b>$40.49</b> with <b>free shipping</b>. That's the lowest price we could find by $40. It purports to engage muscles in the back, core, legs, and ankles while standing.",$40,EXERCISE EQUIPMENT,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dvxltgggszc7hseyrceu",,https://www.dealnews.com/Logitech-Harmony-Smart-Control-w-Remote-for-58-pickup-at-Walmart/2169239.html,Logitech Harmony Smart Control w/ Remote,2017-12-31T18:06:52-05:00,2169239,True,"In select ZIP codes only, Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169239"">Logitech Harmony Smart Control with Universal Remote</a> for the in-cart price of $79. It drops to <strong>$58</strong> when you choose in-store <b>pickup</b>. That's tied with our mention from three weeks ago as the best price we've seen this year and it's the lowest price we could find today by $21. The Harmony Smart Control works on more than 225,000 devices and features Bluetooth 3.0, a universal remote with 50 favorite channel icons, and support for Amazon's Alexa voice control. The hub also works with the Harmony app for iOS or Android.",$58,UNIVERSAL REMOTE CONTROLS,pickup at Walmart
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stvamjek2izwihfqpmnd",,https://www.dealnews.com/Soufull-Stainless-Steel-Poultry-Scissors-for-9-free-shipping-w-Prime/2168360.html,Soufull Stainless Steel Poultry Scissors,2018-01-01T00:01:00-05:00,2168360,,"yichengjin via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168360"">Soufull Multi-Functional Stainless Steel Scissors</a> for $10.55. Coupon code ""black855"" cuts that to <strong>$8.55</strong>. Plus, Prime members bag <strong>free shipping</strong>. Deal ends January 31.",$9,KITCHEN,free shipping w/ Prime
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ai4qpx8x12w28vyi2uss",,https://www.dealnews.com/Fire-Emblem-Warriors-for-Nintendo-Switch-43-free-shipping/2169230.html,Fire Emblem Warriors for Nintendo Switch,2017-12-31T17:25:00-05:00,2169230,,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169230"">Fire Emblem Warriors for Nintendo Switch</a> for <strong>$42.52</strong> with <strong>free shipping</strong>. That's $5 under our preorder mention from August and the lowest price we could find today by $16.",$43,GAMES,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/knncbhuqv78d6675zifx",,https://www.dealnews.com/The-Bourne-Ultimate-Collection-on-Blu-ray-4-K-for-43-free-shipping/2169233.html,The Bourne Ultimate Collection on Blu-ray 4K,2017-12-31T17:15:00-05:00,2169233,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169233"">The Bourne Ultimate Collection on Blu-ray 4K</a> for <b>$43.49</b> with <b>free shipping</b>. That's the lowest price we could find by $27. It includes all five films plus special features and commentary.",$43,BLU-RAY DISC MOVIES,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mbvpintrcayxzoehspeo",,https://www.dealnews.com/Fast-Furious-Elite-Diecast-Vehicles-8-Pack-for-10-free-shipping-w-Prime/2169236.html,Fast & Furious Elite Diecast Vehicles 8-Pack,2017-12-31T17:10:38-05:00,2169236,True,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169236"">Mattel Fast &amp; Furious Elite Diecast Vehicles 8-Pack</a> for <b>$9.94</b> with <strong>free shipping</strong>. That's $2 under our mention from four days ago and the lowest price we could find now by $13. They feature authentic auto decos from the movie.",$10,TOYS & HOBBIES,free shipping w/ Prime
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qinnfufikmkath5nylip",,https://www.dealnews.com/Keurig-Krispy-Kreme-Doughnuts-K-Cup-72-Pack-for-27-free-shipping/2169227.html,Keurig Krispy Kreme Doughnuts K-Cup 72-Pack,2017-12-31T17:05:00-05:00,2169227,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169227"">Keurig Krispy Kreme Doughnuts Single-Serve K-Cup Pods 72-Pack</a> for <b>$27.11</b> via the steps below. That's the lowest price we could find by $15, although we saw it for $9 less in July. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169227"">Keurig Krispy Kreme Doughnuts Single-Serve K-Cup Pods 72-Pack</a> for $36.15
 </li>
 <li>clip the 20% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save to yield a final total of <b>$27.11</b> and bag <b>free shipping</b>
 </li>
</ol>
Be sure to cancel Subscribe & Save after your order ships to avoid being charged for subsequent orders.",$27,COFFEE,free shipping
2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sbimbniikr6jms6tcylf",,https://www.dealnews.com/Samsung-43-1080-p-LED-LCD-HD-Smart-TV-for-300-free-shipping/2169218.html,"Samsung 43"" 1080p LED LCD HD Smart TV",2017-12-31T16:55:00-05:00,2169218,,"B&H Photo Video offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169218"">Samsung 42.5"" 1080p LED-Backlit LCD HD Smart Television</a>, model no. UN43M5300AFXZA, for <strong>$299.95</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $48. It features a native resolution of 1920x1080 (1080p), Smart Hub (with access to Netflix, Amazon Instant Video, Hulu, etc.), and two HDMI inputs.",$300,TVS,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/goamcs2zsybnxuue8lo6",,https://www.dealnews.com/The-Office-The-Complete-Series-on-DVD-for-37-free-shipping/2169209.html,The Office: The Complete Series on DVD,2017-12-31T16:44:00-05:00,2169209,,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169209"">The Office: The Complete Series on DVD</a> for <strong>$36.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $13 and the second-best deal we've seen for this set. (It was a buck less in October.) This set includes all 201 episodes.",$37,DVD MOVIES,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wczzfcroeujqddtfd7jd",,https://www.dealnews.com/De-Longhi-Nespresso-Lattissima-Plus-Machine-for-229-free-shipping/2169194.html,DeLonghi Nespresso Lattissima Plus Machine,2017-12-31T16:35:00-05:00,2169194,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169194"">DeLonghi Nespresso Lattissima Plus Espresso Maker</a> in Red for <strong>$229</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $51. It features a single-touch hot milk system, ""clean"" button for easy maintenance, automatic capsule ejection after brewing, and sliding drip tray.",$229,SMALL APPLIANCES,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aebrqohfdmglkhu4akjy",,https://www.dealnews.com/Amazon-Basics-Cotton-Washcloth-24-Pack-for-10-free-shipping-w-Prime/2169206.html,AmazonBasics Cotton Washcloth 24-Pack,2017-12-31T16:25:00-05:00,2169206,,"Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169206"">AmazonBasics Cotton Washcloth 24-Pack</a> in White for <b>$9.99</b>. Plus, Amazon Prime members bag <b>free shipping</b>. That's $4 off list and the lowest price we could find. Each towel measures 12"" x 12"".",$10,TOWELS,free shipping w/ Prime
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xrjkibv3oqybjlhtdw2r",,https://www.dealnews.com/Hawthorne-Place-Cabinet-Knob-10-Pack-for-3-pickup-at-Walmart/2169191.html,Hawthorne Place Cabinet Knob 10-Pack,2017-12-31T16:10:00-05:00,2169191,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169191"">Hawthorne Place Cabinet Knob 10-Pack</a> in Chrome/White for <b>$2.90</b>. Choose in-store <b>pickup</b> to avoid the $5.99 shipping charge. That's $10 off list and the lowest price we could find.",$3,HOME IMPROVEMENT,pickup at Walmart
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wd6ddotvsrsrevyypoev",,https://www.dealnews.com/15-Sams-Club-Gift-Card-free-w-membership/2168336.html,$15 Sam's Club Gift Card,2018-01-01T00:01:00-05:00,2168336,,"At Sam's Club, Dealnews readers get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168336"">$15 Sam's Club Gift Card</a>, together with additional <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088923,2168336"">instant savings</a>, when you buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088926,2168336"">Sam's Club 1-Year Membership</a>. Deal ends January 31.",free w/ membership,SAM'S CLUB COUPONS,
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/emfa2o8eb0dvaaz5zcvl",,https://www.dealnews.com/Cyber-Power-Grounding-Adapter-2-Pack-for-1-w-25-purchase-free-shipping/2169203.html,CyberPower Grounding Adapter 2-Pack,2017-12-31T15:55:00-05:00,2169203,,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169203"">CyberPower Grounding Adapter 2-Pack</a> for <strong>96 cents</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5. It lets you fit 3-prong plugs into 2-prong outlets.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",$1 w/ $25 purchase,POWER MANAGEMENT,free shipping
2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p3nkwjyirfuvyvjbarqv",,https://www.dealnews.com/DC-Super-Hero-Girls-Batgirl-Vehicle-Set-for-14-free-shipping-w-Prime/2169221.html,DC Super Hero Girls Batgirl & Vehicle Set,2017-12-31T15:35:00-05:00,2169221,True,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169221"">DC Super Hero Girls Batgirl &amp; Vehicle Set</a> for <strong>$13.80</strong> with <strong>free shipping</strong>. That's $2 below our mention from two weeks ago, a current best by $2 (most stores charge at least $26), and the lowest price we've seen. (For further comparison, it was $18 on Black Friday.) It transforms from a rolling vehicle into a stationary play set and includes a Batgirl action figure.",$14,TOYS & HOBBIES,free shipping w/Prime
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/plukmuvvdbutfsljzy0x",,https://www.dealnews.com/Rio-Robots-Horton-Hears-a-Who-on-Blu-ray-for-4-free-shipping/2169215.html,Rio / Robots / Horton Hears a Who on Blu-ray,2017-12-31T15:20:00-05:00,2169215,True,"Fry's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169215"">Rio / Robots / Horton Hears a Who Triple Feature on Blu-ray Disc</a> for <strong>$3.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $6. Deal ends January 6.",$4,BLU-RAY DISC MOVIES,free shipping
2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fo3wrwewdayfj4yp9efx",,https://www.dealnews.com/Internship-The-Watch-Dodgeball-on-Blu-ray-for-5-pickup-at-Frys/2169212.html,Internship / The Watch / Dodgeball on Blu-ray,2017-12-31T15:08:25-05:00,2169212,True,"For in-store pickup only, and with stock varying by ZIP code, Fry's offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169212"">The Internship / The Watch / Dodgeball Triple Feature on Blu-ray Disc</a> for <strong>$4.99</strong>. That's the lowest price we could find for this Vince Vaughn comedy collection by $14.",$5,BLU-RAY DISC MOVIES,pickup at Fry's
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fn10lkb5crejxxnsudqv",,https://www.dealnews.com/The-Bridge-On-The-River-Kwai-on-Blu-ray-for-4-free-shipping/2169182.html,The Bridge On The River Kwai on Blu-ray,2017-12-31T14:20:00-05:00,2169182,,"Fry's offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169182"">The Bridge On The River Kwai Limited Edition Steelbook on Blu-ray</a> for <b>$3.99</b> with <b>free shipping</b>. That's the lowest price we could find for this classic film by $5.",$4,BLU-RAY DISC MOVIES,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xeoigcu19npftw1g2rus",,https://www.dealnews.com/PUMA-Outlander-Shoulder-Laptop-Bag-for-15-free-shipping/2169164.html,PUMA Outlander Shoulder Laptop Bag,2017-12-31T13:45:00-05:00,2169164,,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169164"">PUMA Outlander Shoulder Laptop Bag</a> in Black or Grenadine for <b>$14.99</b> with <b>free shipping</b>. That's $2 under our October mention and the lowest price we could find by $5. It features an adjustable shoulder strap and measures 18"" x 13"" x 6"".",$15,LAPTOP BAGS,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ektmtiijobigtwed1hle",,https://www.dealnews.com/Chappie-District-9-Elysium-on-Blu-ray-for-9-pickup-at-Best-Buy/2169167.html,Chappie / District 9 / Elysium on Blu-ray,2017-12-31T13:25:00-05:00,2169167,,"BestBuy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169167"">Blomkamp Limited Edition Digibook Collection: Chappie/District 9/Elysium on Blu-ray and Digital HD</a> for $9.99. Clip the $1 off coupon when you choose <strong>pickup</strong> at checkout to cut that price to <strong>$8.99</strong>. That's the lowest price we could find by $4.",$9,BLU-RAY DISC MOVIES,pickup at Best Buy
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t69b4vmyz8gttll3brn6",,https://www.dealnews.com/Acer-16-1080-p-Touch-Chromebook-Google-Home-for-299-free-shipping/2169185.html,"Acer 16"" 1080p Touch Chromebook, Google Home",2017-12-31T13:23:10-05:00,2169185,True,"Best Buy offers the 4-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090177,2169185"">Acer Intel Pentium Apollo Lake 1.1GHz 15.6"" 1080p Touchscreen Chromebook</a> in Silver bundled with the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169185"">Google Home Voice-Controlled Speaker</a> in White for <strong>$299</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago and $129 under the lowest price we could find for these items sold separately elsewhere. It features an Intel Pentium N4200 1.1GHz Apollo Lake quad-core processor, 15.6"" 1920x1080 (1080p) IPS LED-backlit touchscreen LCD, 4GB RAM, 32GB eMMC storage, 4-cell battery, and Google Chrome OS.",$299,LAPTOPS,free shipping
3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p4h5moru1wousc8ylhqz",,https://www.dealnews.com/Night-at-the-Museum-1-2-on-Blu-ray-for-4-free-shipping/2169179.html,Night at the Museum: 1 & 2 on Blu-ray,2017-12-31T13:17:58-05:00,2169179,True,"Fry's offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169179"">Night at the Museum: 1 &amp; 2 on Blu-ray Disc</a> for <strong>$3.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $7.",$4,BLU-RAY DISC MOVIES,free shipping
