time_modified,editors_choice,category,title,url,uuid,description,shipping,time_published,hotness,price,picture_url
,,CREDIT CARDS,Chase Sapphire Reserve℠ Card,"https://www.dealnews.com/lw/click.html?20,2,2171069",2171069,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171069"">Chase Sapphire Reserve℠ Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094638,2171069"">$4,000 or more</a> on purchases in the first three months from account opening – that's $750 toward travel when you redeem through Chase Ultimate Rewards®. Plus, automatically receive <strong>up to $300 in statement credits</strong> as reimbursement for travel purchases charged to your card each account anniversary year. Also, earn <strong>3X points</strong> for every $1 spent on travel and dining at restaurants worldwide, and 1 point for every $1 spent on all other purchases. There's a $450 annual fee; $75 for each authorized user. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094641,2171069"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,2018-01-03T12:34:27-05:00,,"50,000 bonus points","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dgnflhffkigi97koojiy"
,,SMALL APPLIANCES,Toshiba Convection Oven,https://www.dealnews.com/Toshiba-Convection-Oven-for-51-free-shipping/2173505.html,2173505,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173505"">Toshiba Convection Oven</a> in Stainless Steel for <strong>$50.99</strong> with <strong>free shipping.</strong> That's $9 off and the lowest price we could find. It features a timer and fits a 12"" pizza or six slices of bread.",free shipping,2018-01-07T16:16:33-05:00,4,$51,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wosu4gllpwcopg55ko4x"
,,KIDS' SHOES,Chaco Kids' Unisex Outcross Shoes,https://www.dealnews.com/Chaco-Kids-Unisex-Outcross-Shoes-for-28-pickup-at-REI/2173499.html,2173499,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173499"">Chaco Kids' Unisex Outcross Shoes</a> in several colors (Gunmetal pictured) for $37.73. In-cart, it drops to <b>$28.29</b>. Choose in-store <b>pickup</b> to avoid the $5.99 shipping fee. That's the lowest price we could find by $15. They're available in select sizes from 1 to 10. Deal ends January 8.",pickup at REI,2018-01-07T16:15:00-05:00,3,$28,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jhlu827k85dfv5ghlcrq"
,,SURGE PROTECTORS,Belkin 6-Outlet Power Strip Surge Protector,https://www.dealnews.com/Belkin-6-Outlet-Power-Strip-Surge-Protector-for-18-free-shipping-w-Prime/2173511.html,2173511,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173511"">Belkin 6-Outlet Power Strip Surge Protector</a> for <strong>$17.54</strong> with <strong>free shipping.</strong> That's the lowest price we could find by $2. It features six rotating surge-protected outlets.",free shipping w/ Prime,2018-01-07T16:11:06-05:00,3,$18,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kk3xnqthxfuvwuszy5tn"
,,KITCHEN,FoodSaver Space-Saver Fresh Appliance System,https://www.dealnews.com/Food-Saver-Space-Saver-Fresh-Appliance-System-for-59-free-shipping/2173424.html,2173424,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173424"">FoodSaver Space-Saver Fresh Appliance System</a> for <b>$58.99</b> with <b>free shipping</b>. That's the best price we could find by $11. It features 1-touch start, auto stop, and adjustable vacuum head. This kit ships with two quart zipper bags, two gallon sipper bags, a 3-cup fresh container, and 5-cup fresh container.",free shipping,2018-01-07T16:09:54-05:00,3,$59,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/th8ege4jx6t4901xr12b"
,,CAMPING & OUTDOORS,Ozark Trail Back Care Chair,https://www.dealnews.com/Ozark-Trail-Back-Care-Chair-for-8-pickup-at-Walmart/2173553.html,2173553,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173553"">Ozark Trail Back Care Chair</a> for <b>$7.88</b>. Choose in-store <b>pickup</b> to avoid the $5.99 shipping fee. That's $6 off list and the lowest price we could find. It features a steel frame and built-in cup holder and includes a carrying bag.",pickup at Walmart,2018-01-07T16:08:21-05:00,3,$8,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qlk1jsmwbowtr0hdmnhq"
,,MEDICINE & MEDICAL,Johnson & Johnson 50pc Princess First Aid Kit,https://www.dealnews.com/Johnson-Johnson-50-pc-Princess-First-Aid-Kit-for-5-free-shipping-w-Prime/2173496.html,2173496,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173496"">Johnson &amp; Johnson Disney Princess Red Cross 50-Piece First Aid Kit</a> for <strong>$4.75</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It includes hand cleansing wipes, antibiotic ointment, decorated adhesive bandages, gauze pads, and more.<br>
<br>
Note: It's currently out of stock but can still be ordered for this price.",free shipping w/ Prime,2018-01-07T16:00:00-05:00,4,$5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aanhxixarbag8uey4zvb"
,,TV STANDS,Convenience Concepts 3-Tier TV Stand,https://www.dealnews.com/Convenience-Concepts-3-Tier-TV-Stand-for-30-free-shipping/2173439.html,2173439,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173439"">Convenience Concepts Designs2Go 3-Tier TV Stand</a> in Black for <strong>$29.74</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $10. It fits TVs up to 32"" and has a weight capacity of 80 lbs.",free shipping,2018-01-07T15:45:00-05:00,3,$30,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cr4ze0wc6wirqnk6qoh2"
,True,EXTENSION CORDS & POWER STRIPS,Prime 6-Outlet Power Strip 2-Pack,https://www.dealnews.com/Prime-6-Outlet-Power-Strip-2-Pack-for-4-free-shipping/2173550.html,2173550,"For in-store pickup only, with price and stock varying by ZIP, Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173550"">Prime 6-Outlet Power Strip 2-Pack</a> for <strong>$3.97</strong>. That's 50 cents under our mention from two weeks ago and $7 under the lowest price we could find for a similar 2-pack elsewhere. Each strip features a circuit breaker and 2-foot power cord. Deal ends February 18.",free shipping,2018-01-07T15:37:31-05:00,5,$4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mecrvutcgaodnzafgcbv"
,,TOYS & HOBBIES,Shrinky Dinks Cool Stuff Activity Set,https://www.dealnews.com/Shrinky-Dinks-Cool-Stuff-Activity-Set-for-6-free-shipping-w-Prime/2173445.html,2173445,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173445"">Shrinky Dinks Cool Stuff Activity Set</a> for <strong>$5.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $4. It includes eight color pencils, eight stands, six pipe cleaners, two key chains, and six magnets.",free shipping w/ Prime,2018-01-07T15:30:00-05:00,3,$6,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/whmejivddkt7h9y9b3bn"
,,CREDIT CARDS,Marriott Rewards® Premier Credit Card,"https://www.dealnews.com/lw/click.html?20,2,2173280",2173280,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173280"">Marriott Rewards® Premier Credit Card</a> and <strong>earn 80,000 Bonus Points</strong> after you <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099096,2173280"">spend $3,000 on purchases</a> in the first 3 months from account opening. Plus, <strong>earn 7,500 Bonus Points</strong> when you add the first authorized user and make a purchase in the first 3 months from account opening. You'll also <strong>earn 5 points</strong> for every $1 spent at 5,700 Marriott locations, <strong>2 points</strong> for every $1 spent on airline tickets purchased directly with the airline, at car rental agencies, and restaurants, and <strong>1 point</strong> everywhere else. Other card features include <strong>1 Free Night Stay</strong> at a Category 1-5 location every year after your account anniversary date, <strong>15 credits</strong> toward your next Elite membership level after account approval and every year after account anniversary, and <strong>1 Elite Credit</strong> for every $3,000 spent on purchases. An $85 annual fee applies. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099099,2173280"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,2018-01-07T00:01:00-05:00,,"Earn 80,000 Bonus Points","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aqgroaw40es5ego2zmp5"
,True,CARD AND BOARD GAMES,Hasbro DropMix Music Gaming System,https://www.dealnews.com/Hasbro-Drop-Mix-Music-Gaming-System-for-50-free-shipping/2173547.html,2173547,"Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173547"">Hasbro DropMix Music Gaming System</a> for <strong>$49.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099258,2173547"">Amazon</a> charges the same.) That's tied mention from three weeks ago as the lowest price we've seen. (It's the best deal today by $20.) This fast-paced music mixing game features three modes of play and 60 DropMix cards with music from popular artists. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099261,2173547"">Click here</a> for more info.<br>
<br>
Note: This game requires a mobile device and a download of the free <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099264,2173547"">DropMix app</a> to play.",free shipping,2018-01-07T15:18:06-05:00,2,$50,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mfhkh936pr7vdkchs2at"
,,TABLETS,"Refurb Wildgame Innovations 7"" Android Tablet",https://www.dealnews.com/Refurb-Wildgame-Innovations-7-Android-Tablet-for-25-free-shipping/2173277.html,2173277,"Erequisite via eBay offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173277"">Wildgame Innovations Trail Pad Series 7"" Android Photo Media Viewer Tablet</a> for <strong>$24.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $10. It features Android 4.1 software, 8GB internal memory, water resistant housing, and Wi-Fi.<br>
<br>
Note: No warranty information is provided",free shipping,2018-01-07T15:15:00-05:00,3,$25,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/egiaeopcbpkl5v2gfwfc"
,,GAMES,PlayerUnknown's Battlegrounds for XB1,https://www.dealnews.com/Player-Unknowns-Battlegrounds-for-XB1-for-23/2173448.html,2173448,"CDKeys offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173448"">PlayerUnknown's Battlegrounds for Xbox One</a> for $23.99. Coupon code ""CDK36454"" cuts that price to <strong>$23.25</strong>. Plus, receive a <strong>free</strong> Steam download of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099189,2173448"">Assassin's Creed Unity for Xbox One.</a> That's $2 under our October mention, $10 off, and the lowest price we could find.<br>
<br>
Note: This game is early access, which means that it is not complete, and may or may not change further. Also, new customers can provide an email address on the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099192,2173448"">CDKeys Facebook page</a> to get a unique coupon code that cuts an extra 5% off.",,2018-01-07T15:00:00-05:00,3,$23,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r2kwb0fu8w4wonwor6bs"
,,MONITORS,"Monoprice 27"" 1440p AVHA LCD Display",https://www.dealnews.com/Monoprice-27-1440-p-AVHA-LCD-Display-for-238-free-shipping/2173538.html,2173538,"Monoprice offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173538"">Monoprice 27"" 1440p AVHA LCD Pixel Perfect Monitor</a> for <strong>$237.99</strong> with <strong>free shipping</strong>. That's $12 under our mention from a month ago, $42 off list, and the lowest price we've seen. It features a native resolution of 2560x1440 (1440p), DisplayPort, HDMI, dual-link DVI-D, and VGA.",free shipping,2018-01-07T14:45:00-05:00,3,$238,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zrfc0hq5r8indszcnph4"
,True,UNIVERSAL REMOTE CONTROLS,Logitech Harmony Smart Control w/ Remote,https://www.dealnews.com/Logitech-Harmony-Smart-Control-w-Remote-for-58-pickup-at-Walmart/2173544.html,2173544,"In select ZIP codes only, Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173544"">Logitech Harmony Smart Control with Universal Remote</a> for the in-cart price of $79. It drops to <strong>$58</strong> when you choose in-store <b>pickup</b>. That's tied with our mention from a week ago as the best price we've seen in over a year and it's the lowest price we could find today by $21. The Harmony Smart Control works on more than 225,000 devices and features Bluetooth 3.0, a universal remote with 50 favorite channel icons, and support for Amazon's Alexa voice control. The hub also works with the Harmony app for iOS or Android.",pickup at Walmart,2018-01-07T14:40:30-05:00,4,$58,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dvxltgggszc7hseyrceu"
,,TOYS & HOBBIES,Lionel Pennsylvania Flyer Freight Train Set,https://www.dealnews.com/Lionel-Pennsylvania-Flyer-Freight-Train-Set-for-149-free-shipping/2173541.html,2173541,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173541"">Lionel Pennsylvania Flyer LionChief 0-8-0 Freight Train Set</a> for <b>$148.53</b> with <b>free shipping</b>. That's the lowest price we could find by $53. It includes a locomotive and tender, 3-dome tank car, boxcar, caboose, eight curved FasTrack track pieces, one 10"" straight FasTrack plug-expand-play power lock-on section, FasTrack terminal piece, two 10"" straight FasTrack pieces, and control via Bluetooth.",free shipping,2018-01-07T14:30:00-05:00,3,$149,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rwnfuorp8meuiiwtnded"
,,SMALL APPLIANCES,Rosewill 1500W Insulated 1.7L Electric Kettle,https://www.dealnews.com/Rosewill-1500-W-Insulated-1.7-L-Electric-Kettle-for-28-free-shipping/2173403.html,2173403,"Rosewill via Sears offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173403"">Rosewill 1,500-watt Double Wall Vacuum Insulated 1.7-Liter Electric Kettle</a> for <strong>$27.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $17. This stainless steel kettle features 360° rotating base, cool touch housing, and a luminous on/off switch.",free shipping,2018-01-07T14:15:00-05:00,3,$28,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/c7xu74hj2lbm20po08r2"
,,GAMES,Call of Duty: WWII for PS4 / Xbox One,https://www.dealnews.com/Call-of-Duty-WWII-for-PS4-Xbox-One-for-36-free-shipping/2173406.html,2173406,"Newegg offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173406"">Call of Duty: WWII for PlayStation 4</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099180,2173406"">Xbox One</a> for $59.99. Coupon code ""EMCPEPV44"" cuts that price to <strong>$35.99</strong>. With <strong>free shipping</strong>, that's $2 under our mention from two weeks ago and the lowest price we could find by $14.",free shipping,2018-01-07T14:00:00-05:00,3,$36,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rp9g2uohxmzu2ckfqx22"
,,GROCERIES,Ocean Spray Cranberry Juice Cans 48-Pack,https://www.dealnews.com/Ocean-Spray-Cranberry-Juice-Cans-48-Pack-for-14-free-shipping/2173490.html,2173490,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173490"">Ocean Spray Cranberry Juice 5.5-oz. Cans 48-Pack</a> for $15.06. Checkout via Subscribe and Save to cut that price to <strong>$14.31</strong>. With <strong>free shipping</strong>, that's a buck off, and the lowest price we could find.<br>
<br>
Note: Be sure to cancel your subscription once your order ships to avoid being billed for further shipments.",free shipping,2018-01-07T13:45:00-05:00,4,$14,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/csjf4xslhdkqc4ffebmr"
,,"MOVIES, TV SHOWS & VIDEOS",4 Months of DirecTV Now w/ Apple TV 4K 32GB,https://www.dealnews.com/4-Months-of-Direc-TV-Now-w-Apple-TV-4-K-32-GB-for-140-free-shipping/2173253.html,2173253,"At DirecTV Now, prepay for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099066,2173253"">four months of DirecTV Now service</a> for <b>$140</b> ($35/month) and receive the recently-released <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173253"">Apple TV 4K 32GB Media Receiver</a> for <b>free</b> via the steps below. It features Apple's A10X Fusion chip, which is 2x faster and provides 4x GPU performance over the previous generation Apple TV. It also supports 4K HDR content via HDR 10 and Dolby Vision. This deal includes the ""Live a Little"" package from DirecTV Now, which offers over 60 channels to stream live, with many shows available on demand. After four months, you'll be billed $35/month for the service, but you may cancel at any time. To get this deal:
<ol>
 <li>On <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099069,2173253"">this page</a>, click ""Redeem &amp; Stream""
 </li>
 <li>create your account
 </li>
 <li>select the ""Live a Little"" tab and click ""Continue with this plan""
 </li>
 <li>on the add-ons page, click ""Skip for now""
 </li>
 <li>choose the Apple TV 4K and click ""Add to plan"", then click ""Continue""
 </li>
 <li>you'll see a final price of <b>$140</b> on the checkout page
 </li>
</ol>
Note: You must use Chrome or Safari as your browser to get this deal.",free shipping,2018-01-07T00:01:00-05:00,,$140,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e0ocpnku7nfbwmiqbqfc"
,,BATTERIES,"16 Duracell Batteries, $16 Office Depot GC",https://www.dealnews.com/16-Duracell-Batteries-16-Office-Depot-GC-for-16-pickup-at-Office-Depot/2173469.html,2173469,"Office Depot and OfficeMax again offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173469"">Duracell Coppertop Alkaline AAA Batteries 16-Pack</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099204,2173469"">Duracell Coppertop Alkaline AA Batteries 16-Pack</a> for <strong>$15.99</strong>. Plus, Office Depot and OfficeMax Rewards members will bag a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099207,2173469"">$15.99 Rewards Credit</a> for <b>free</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099210,2173469"">sign up</a>.) Choose free in-store <b>pickup</b> to dodge the $9.95 shipping fee. That's tied with our mention from a month ago and the best deal we could find now by at least $11.) Deal is limited to two per customer.<br>
<br>
Note: Allow up to five weeks after the promotion ends for Rewards to become available in your account.",pickup at Office Depot,2018-01-07T13:30:00-05:00,3,$16,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sz1ulkeaxhms4amws2yz"
,,BED & BATH,BioBidet Prestige Elongated Bidet Toilet Seat,https://www.dealnews.com/Bio-Bidet-Prestige-Elongated-Bidet-Toilet-Seat-for-280-5-s-h/2173463.html,2173463,"Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173463"">BioBidet Prestige Elongated Bidet Toilet Seat</a> for <strong>$279.99</strong> plus <strong>$5</strong> for shipping. That's the lowest price we could find by $164. It features a side control panel, 3-in-1 nozzle system, heated seat, heated air dryer, massage, and oscillating mode.",$5 shipping,2018-01-07T13:15:00-05:00,3,$280,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wfcffqh0ezspvnhjia7u"
,,GAMES,Destiny: The Taken King Legendary Ed Xbox One,https://www.dealnews.com/Destiny-The-Taken-King-Legendary-Ed-Xbox-One-for-8-free-shipping/2173478.html,2173478,"Microsoft Store offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173478"">Destiny: The Taken King Legendary Edition for Xbox One</a> for <strong>$7.99</strong> with <strong>free shipping</strong>. That's $7 under our mention from last March and the lowest price we've seen (it's a low today by $10).",free shipping,2018-01-07T13:00:00-05:00,3,$8,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fk2vsbchh5bgwpn3df36"
,,LAPTOPS,"Asus VivoBook Flip Pentium 14"" Touch Laptop",https://www.dealnews.com/Asus-Vivo-Book-Flip-Pentium-14-Touch-Laptop-for-299-free-shipping/2173493.html,2173493,"Walmart offers the 3.3-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173493"">Asus VivoBook Flip TP401 Intel Pentium Apollo Lake 1.1GHz 14"" Touchscreen 2-in-1 Laptop</a> for <b>$299</b> with <b>free shipping</b>. That's tied with our mention from three weeks ago and the lowest price we could find today by $80. It features an Intel Pentium N4200 1.1GHz Apollo Lake quad-core processor, 14"" 1366x768 (720p) touchscreen LCD, 4GB RAM, 64GB eMMC storage, 802.11ac wireless, Bluetooth, 4.1, USB 3.1 Type-C, micro HDMI, 2-cell battery, and Windows 10 Home.",free shipping,2018-01-07T12:50:00-05:00,4,$299,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dzx5k6efmqirftdyxhib"
2018-01-07T13:06:08-05:00,,EBOOKS,Select Minecraft for Kids eBooks,https://www.dealnews.com/Select-Minecraft-for-Kids-eBooks-for-free/2173472.html,2173472,"Amazon offers a range of Minecraft for kids Kindle eBooks for <strong>free</strong>. That's up to $2 off and the lowest price we could find. Titles include:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173472"">The Friendly Creeper Diaries (Book 1): The Creeper Village</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099216,2173472"">The Friendly Creeper Diaries: The Moon City (Book 4): The Underground City</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099219,2173472"">The Friendly Creeper Diaries: The Relics of Dragons (Book 7): Possessed by Herobrine</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099222,2173472"">Minecraft: Battle of Legends Book 1</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099225,2173472"">The Obsidian Cube (Book 1): An Unknown Past</a>
 </li>
</ul>",,,4,free,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/igveluniyeffsalvzq1k"
