shipping,editors_choice,category,hotness,uuid,time_published,title,picture_url,description,time_modified,url,price
pickup at Walmart,,KITCHEN,2,2170487,2018-01-02T18:11:02-05:00,Nathan Fire & Ice Insulated Hydration Bottle,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/swadhlxohc9kfbtumebe","Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170487"">Nathan Fire &amp; Ice Insulated Hydration Bottle</a> in Pink or Yellow for <b>$6.28</b>. Opt for in-store <b>pickup</b> to dodge the $5.99 shipping charge. That's the lowest price we could find by $11. It features double-wall insulation.",,https://www.dealnews.com/Nathan-Fire-Ice-Insulated-Hydration-Bottle-for-6-pickup-at-Walmart/2170487.html,$6
free shipping w/ $100,,CLOTHING & ACCESSORIES,,2170388,2018-01-03T00:01:00-05:00,Levi's coupon,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ns6x4mayxb9wabwo20ch","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093420,2170388"">Levi's</a> cuts an <strong>extra 40% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170388"">select men's, women's, and kids' sale items</a> via coupon code ""SALE40"". Shipping adds <strong>$7.50</strong>, but orders of $100 or more get free shipping. Some exclusions apply. Deal ends January 9.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1491/Levis/"">Levi's Coupons</a>.</p>",,https://www.dealnews.com/Levis-coupon-Extra-40-off-sale-items-free-shipping-w-100/2170388.html,Extra 40% off sale items
free s&h w/beauty item,,DRESSES,4,2170484,,Anne Klein Women's Twill Fit & Flare Dress,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hiq5nrki5yjbuupvzsvb","Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170484"">Anne Klein Women's Twill Fit &amp; Flare Dress</a> in Pacific Blue for <b>$18.96</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093435,2170484"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $110 off list and the lowest price we could find. It's available in sizes <del>10</del> 12 to 16.",2018-01-03T03:58:15-05:00,https://www.dealnews.com/Anne-Klein-Womens-Twill-Fit-Flare-Dress-for-19-free-s-h-w-beauty-item/2170484.html,$19
free shipping,,COATS,3,2170481,2018-01-02T18:00:50-05:00,Columbia Men's Bugaboo Interchange Jacket,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y9yyjd09rrtej3rprxpq","REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170481"">Columbia Men's Bugaboo Interchange Jacket</a> in several colors (Phoenix Blue pictured) for <b>$113.73</b> with <b>free shipping</b>. That's the lowest price we could find by $8. It's available in sizes S to XXL.",,https://www.dealnews.com/Columbia-Mens-Bugaboo-Interchange-Jacket-for-114-free-shipping/2170481.html,$114
free shipping,,COATS,4,2170478,,Jos. A. Bank Men's Executive Car Coat,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xzun0bh9jbzl2cmk56gw","Jos. A. Bank offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170478"">Jos. A. Bank Men's Executive 3/4 Length Storm Collar Car Coat</a> in Black or Brown for <strong>$59</strong> with <strong>free shipping</strong>. That's tied with our October mention, $536 off, and the lowest price we could find. It's available in select sizes from S to XXL.",2018-01-03T03:57:29-05:00,https://www.dealnews.com/Jos.-A.-Bank-Mens-Executive-Car-Coat-for-59-free-shipping/2170478.html,$59
free shipping,,CLOTHING & ACCESSORIES,4,2170424,,Under Armour Outlet Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qndrbqhlxqj3tl5olfuy","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170424"">Under Armour</a> takes <strong>up to 30% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093168,2170424"">men's, women's, and kids' outlet items</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093171,2170424"">Semi-Annual Event</a>. (Prices are as marked.) Plus, all orders receive <strong>free shipping</strong> via coupon code ""FSDNEWS17"".<br>
<br>
Note: We found larger discounts within the site, like these <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093174,2170424"">Under Armour Women's Play Up 2.0 Shorts</a> for <b>$12.50</b>, a 50% discount.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2658/Under-Armour/"">Under Armour Coupons</a>.</p>",2018-01-03T03:56:57-05:00,https://www.dealnews.com/Under-Armour-Outlet-Sale-Up-to-30-off-free-shipping/2170424.html,Up to 30% off
free shipping,,KITCHEN,3,2170442,2018-01-02T17:41:41-05:00,Reduce WaterWeek 16-oz. Water Bottle 5-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kornfstkr4cjlrua2znk","Firefly Buys via Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170442"">Reduce WaterWeek 16-oz. Water Bottle 5-Pack with Fridge Tray</a> for <b>$9.99</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093252,2170442"">Amazon</a> has it for the same with free Prime shipping.) That's $10 off and the lowest price we could find. Bottles are leak-proof and dishwasher-safe.",,https://www.dealnews.com/Reduce-Water-Week-16-oz.-Water-Bottle-5-Pack-for-10-free-shipping/2170442.html,$10
free shipping,True,PERIPHERALS,3,2170466,2018-01-02T17:17:02-05:00,Razer Holiday Gaming Bundle,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/psjtw4dhalldu7nqplz7","Jet.com offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170466"">Razer Holiday Gaming Bundle</a> for <b>$89</b> with <strong>free shipping</strong>. That's $10 under our mention from last week and the lowest price we've seen. (It's also $38 under the best price we could find for all four items sold separately elsewhere.) It includes the Cynosa Pro Keyboard, DeathAdder Mouse, Kraken Headset, and Goliathus Mouse Pad.<br>
<br>
Note: You can also receive additional discounts during checkout by waiving free returns or by choosing select payment options.",,https://www.dealnews.com/Razer-Holiday-Gaming-Bundle-for-89-free-shipping/2170466.html,$89
free shipping,,BABIES & KIDS ITEMS,3,2170460,2018-01-02T17:11:51-05:00,2 Trendnet Day/Night WiFi 2-Way Baby Cameras,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dzxefw01jf8w7svhmb0w","Newegg offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170460"">two Trendnet Day / Night 802.11n Wireless 2-Way Baby Cameras</a> for <strong>$29.99</strong> with <strong>free shipping</strong>. At $15 each, that beats our June mention (which saw these cameras for $18 each.), is a current best for this quantity by $30, and the lowest per-unit price we've seen. (Most retailers charge about this price or more for just <i>one</i> camera.) It features a microphone and speaker, 4x digital zoom, night vision up to 16 feet, sound and motion detection, remote viewing via its free mobile app, song-playing capability, and mounting hardware.",,https://www.dealnews.com/2-Trendnet-Day-Night-Wi-Fi-2-Way-Baby-Cameras-for-30-free-shipping/2170460.html,$30
pickup at Lowe's,,TOYS & HOBBIES,2,2170472,2018-01-02T17:05:16-05:00,Kobalt Toy Circular Saw,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hbmkmjhxh6kwz9oibugn","With stock and price varying by ZIP code, for in-store pickup only, Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170472"">Kobalt Toy Circular Saw</a> for <strong>$10.99</strong>. That's $9 off list and the lowest price we could find. Designed for young children ages 3 and up, it features a simulated laser guide and removable battery pack. Two AA batteries are required and included.<br>
<br>
Note that this price is not available at all Lowe's locations.",,https://www.dealnews.com/Kobalt-Toy-Circular-Saw-for-11-pickup-at-Lowes/2170472.html,$11
free s&h w/beauty item,,SHORTS,3,2170451,2018-01-02T16:53:54-05:00,American Rag Men's Drawstring Jogger Shorts,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/etyiey91scsekknn3gvb","Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170451"">American Rag Men's Classic Fit Stretch Drawstring Jogger Shorts</a> in Green or Pink for <b>$10.56</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093279,2170451"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $24 off and the lowest price we could find. They're available in select sizes from S to XXL.",,https://www.dealnews.com/American-Rag-Mens-Drawstring-Jogger-Shorts-for-11-free-s-h-w-beauty-item/2170451.html,$11
free shipping,,LAPTOPS,,2170322,2018-01-03T00:01:00-05:00,"Dell Inspiron Celeron 1.6GHz Dual 12"" Laptop","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fz7foatxlsdofrpnolyw","Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170322"">Dell Inspiron 11 3000 Series Intel Celeron Braswell 1.6GHz 11.6"" Laptop</a> in Alpine White for <strong>$146.99</strong> with <strong>free shipping</strong>. It features an Intel Celeron N3060 1.6GHz Braswell dual-core processor, 11.6"" 1366x768 (720p) LED-backlit LCD, 2GB RAM, 32GB eMMC storage, 802.11n wireless, Bluetooth 4.2, USB 3.0, HDMI, 2-cell battery, McAfee LiveSafe 12-month subscription, and Windows 10 Home 64-bit.<br>
<br>
Note: On the product page, Dell pictures it in blue, but this deal is for a white model per the specs.",,https://www.dealnews.com/Dell-Inspiron-Celeron-1.6-GHz-Dual-12-Laptop-for-147-free-shipping/2170322.html,$147
free shipping,,BED & BATH,5,2170445,,"Goplus 46"" Bathroom Aluminum Shower Panel","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/euoixuxvijktoj6aazsc","Factory Direct Sale via eBay offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170445"">Goplus 46"" Bathroom Aluminum Shower Panel</a> for <strong>$79.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093267,2170445"">Costway</a> has it for about the same.) That's tied with our October mention and the lowest price we could find by $5, outside of other eBay sellers. It features a 1/2"" water supply hose, 10 massage jets, faucet, hand shower, mirror, and shelf.",2018-01-03T03:39:16-05:00,https://www.dealnews.com/Goplus-46-Bathroom-Aluminum-Shower-Panel-for-80-free-shipping/2170445.html,$80
pickup at Walmart,,CAMPING & OUTDOORS,3,2170454,2018-01-02T16:49:08-05:00,Ozark Trail Folding Chair,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jzbgoqqxxtssoosgu3fs","Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170454"">Ozark Trail Folding Chair</a> in Green or Raspberry for <strong>$5.37</strong>. Choose in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $4 off and among the best prices we've seen for this chair. It folds for easy storage and features a steel frame, cup holder, and carrying bag.",,https://www.dealnews.com/Ozark-Trail-Folding-Chair-for-5-pickup-at-Walmart/2170454.html,$5
free s&h w/beauty item,,SHOES,4,2170433,,Skechers Men's Boyar Molsen Oxford Sneakers,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tmcgdxwltmugejfp2q9g","Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170433"">Skechers Men's Boyar Molsen Oxford Casual Sneakers</a> in Navy for <strong>$26.24</strong>. Plus, pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093186,2170433"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's tied with last week's mention and the lowest price we could find by $21, excluding padding. They're available in sizes 10.5 to 13.",2018-01-03T03:55:11-05:00,https://www.dealnews.com/Skechers-Mens-Boyar-Molsen-Oxford-Sneakers-for-26-free-s-h-w-beauty-item/2170433.html,$26
pickup at Home Depot,,TOOL STORAGE & ORGANIZATION,5,2170430,,"Muscle Rack 5-Shelf 72"" Steel Shelving","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eamikeaasns6r7ww4dgh","Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170430"">Muscle Rack 5-Shelf 72"" Steel Shelving</a> in Silver for <b>$38.52</b> <del>with <s>free shipping</s></del>. That's the lowest price we could find by $9. It purports to hold up to 4,000 lbs. Deal ends January 31.<br>
<br>
<i>Update</i>: Choose in-store <strong>pickup</strong> to dodge the $18.49 shipping fee.",2018-01-03T03:39:03-05:00,https://www.dealnews.com/Muscle-Rack-5-Shelf-72-Steel-Shelving-for-39-pickup-at-Home-Depot/2170430.html,$39
,,EBOOKS,3,2170436,2018-01-02T16:25:16-05:00,"""Tales from the Princess Bride"" eBook","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/i8cctu1shwp9cfb8u7zs","Amazon offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170436"">Cary Elwes' <i>As You Wish: Inconceivable Tales from the Making of The Princess Bride</i> eBook for Kindle</a> for <strong>$1.99</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093204,2170436"">Google Play</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093207,2170436"">Barnes &amp; Noble</a> charge the same.) That's $7 under the best deal we could find for a paperback version. Cary Elwes played Westley in The Princess Bride; this book contains behind-the-scenes photos, backstage stories, and a foreword by director Rob Reiner.",,https://www.dealnews.com/Tales-from-the-Princess-Bride-eBook-for-2/2170436.html,$2
free shipping,True,SPEAKERS,3,2170412,2018-01-02T16:12:26-05:00,Polk Omni SB1 3.1 Wireless Soundbar System,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ky5iuqa8zpwzhzl2wydp","Adorama offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170412"">Polk Audio Omni SB1 3.1-Channel Wireless Sound Bar System</a> in Black for <strong>$179.99</strong> with <strong>free shipping</strong>. That's tied with our November mention as the lowest price we've seen. (It's the best deal we could find today by $218.) It works with the free Omni app and features an 8"" subwoofer, two speakers, and USB.",,https://www.dealnews.com/Polk-Omni-SB1-3.1-Wireless-Soundbar-System-for-180-free-shipping/2170412.html,$180
free shipping,True,LAPTOPS,2,2170421,2018-01-02T16:06:02-05:00,"Dell Inspiron Kaby Lake i5 Dual 16"" Laptop","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pprylawtlwjachstpji8","Dell Small Business offers its 4.4-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170421"">Dell Inspiron 15 7000 Series 7560 Intel Kaby Lake Core i5 2.5GHz 15.6"" 1080p Laptop</a> in Silver for $599.99. Coupon code ""INSP529"" drops that to <strong>$529.99</strong>. With <strong>free shipping</strong>, that's $280 off list and tied with our mention from a week ago as the best price we've seen for this computer. Deal ends January 3.<br>
<br>
It features an Intel Core i5-7200U 2.5GHz Kaby Lake dual-core processor, 15.6"" 1920x1080 (1080p) IPS LED-backlit LCD, 4GB RAM, 500GB hard drive with 128GB SSD, 802.11ac wireless, Bluetooth 4.0, HDMI, USB 3.0, backlit keyboard, 3-cell battery, McAfee LiveSafe 12-month subscription, and Windows 10 Professional 64-bit.",,https://www.dealnews.com/Dell-Inspiron-Kaby-Lake-i5-Dual-16-Laptop-for-530-free-shipping/2170421.html,$530
free shipping,True,LIGHT BULBS,4,2170409,,8 Philips 100W Equivalent LED A19 Light Bulbs,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pgmzyxsjzmdzylrmt2wl","Supply Shop via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170409"">Philips 100-watt Equivalent LED A19 Light Bulb 8-Pack</a> in Daylight for <strong>$30</strong> with <strong>free shipping</strong>. That's tied with our November mention and the lowest price we could find by $12. Each features a 1,500-lumen output and up to 15,000 hours of use.",2018-01-03T03:55:02-05:00,https://www.dealnews.com/8-Philips-100-W-Equivalent-LED-A19-Light-Bulbs-for-30-free-shipping/2170409.html,$30
free shipping w/ $49,,CLOTHING & ACCESSORIES,4,2170418,,Eddie Bauer Semi-Annual Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/c4fssfmennpo8g3qghw7","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170418"">Eddie Bauer</a> takes <strong>up to 60% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093138,2170418"">sale items</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093141,2170418"">Semi-Annual Sale</a>. (Prices are as marked.) Plus, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093144,2170418"">clearance items</a> receive an <strong>extra 40% off</strong> via coupon code ""ICEBOX"". Shipping adds <strong>$7.99</strong>, but orders of $49 or more receive free shipping. Some exclusions apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s487/Eddie-Bauer/"">Eddie Bauer Coupons</a>.</p>",2018-01-03T03:54:39-05:00,https://www.dealnews.com/Eddie-Bauer-Semi-Annual-Sale-Up-to-60-off-free-shipping-w-49/2170418.html,Up to 60% off
free shipping,,MICE/TRACKBALLS,,2170427,2018-01-03T00:01:00-05:00,Monoprice Select Ergonomic Wireless Mouse,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fbyr1v4gwzevxiyl1ra8","Tanga offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170427"">Monoprice Select Ergonomic Wireless Mouse</a> for <b>$8.99</b> with <b>free shipping</b>. It features a contoured design, optical tracking, and a wireless dongle. Deal ends January 4.",,https://www.dealnews.com/Monoprice-Select-Ergonomic-Wireless-Mouse-for-9-free-shipping/2170427.html,$9
free shipping,,ACTIVEWEAR,3,2170211,2018-01-02T15:50:38-05:00,Under Armour Men's HeatGear Flyweight T-Shirt,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dm3zq48ujwsy4s72z4aq","Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170211"">Under Armour Men's HeatGear Flyweight T-Shirt</a> in several colors (Black/Steel pictured) for $19.99. Coupon code ""DN1399"" cuts the price to <strong>$13.99</strong>. With <strong>free shipping</strong>, that's tied with our mention from two weeks ago and the lowest price we could find by $14. It's available in select sizes from S to XXL. Deal ends January 8.",,https://www.dealnews.com/Under-Armour-Mens-Heat-Gear-Flyweight-T-Shirt-for-14-free-shipping/2170211.html,$14
free s&h w/beauty item,,SHIRTS,2,2170394,2018-01-02T15:49:09-05:00,Alfani Men's Eco Fresh Shirt,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aiftyemhaxpq7wluwpiw","Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170394"">Alfani Men's Eco Fresh Shirt</a> in several colors (Sergeant Blue pictured) for <b>$15.93</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093081,2170394"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $39 off list and the lowest price we could find. It's available in select sizes from S to 3XL.",,https://www.dealnews.com/Alfani-Mens-Eco-Fresh-Shirt-for-16-free-s-h-w-beauty-item/2170394.html,$16
free shipping,True,LAPTOPS,3,2170406,2018-01-02T15:48:58-05:00,"Dell Inspiron Kaby Lake i7 16"" 1080p Laptop","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xwmg5blcrgawp6vygzrs","Dell Small Business offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170406"">Dell Inspiron 15 7000 Series 7560 Intel Kaby Lake Core i7 2.7GHz 15.6"" 1080p Laptop</a> in Silver for $699.99. Coupon code ""649INSP"" cuts it to <strong>$649.99</strong>. With <strong>free shipping</strong>, that's tied with last week's mention as $310 off list and the lowest price we've seen. It features an Intel Core i7-7500U 2.7GHz Kaby Lake dual-core processor, 15.6"" 1920x1080 (1080p) IPS LED-backlit LCD, 8GB RAM, 256GB SSD, 3-cell battery, and Windows 10 Pro 64-bit. Deal ends January 3.",,https://www.dealnews.com/Dell-Inspiron-Kaby-Lake-i7-16-1080-p-Laptop-for-650-free-shipping/2170406.html,$650
free shipping w/ Prime,,AUTOMOTIVE,3,2170391,2018-01-02T15:39:45-05:00,Back Seat Baby Mirror,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kb44smact2yjucatqj8c","Equinox Int via Amazon offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170391"">Back Seat Baby Mirror</a> for $14.97. Coupon code ""66WCDTKL"" drops it to <b>$8.95</b>. With <b>free shipping</b> for Prime members, that's the lowest price we could find for a similar mirror by about a buck. It features shatter proof glass. Deal ends January 31.",,https://www.dealnews.com/Back-Seat-Baby-Mirror-for-9-free-shipping-w-Prime/2170391.html,$9
free shipping,,ELECTRONICS,5,2170400,,TechRabbit Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/df2bddkhqedruhdmhvkv","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170400"">TechRabbit</a> cuts <strong>up to 75% off</strong> a selection of new and refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093102,2170400"">headphones, smartphone accessories, drones, and more</a>. Plus, buy <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093105,2170400"">one item</a> and get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093108,2170400"">second of that same item</a> for <strong>free</strong>. Even better, all orders receive <strong>free shipping</strong>. That's a strong 2-for-1 offer from TechRabbit; we saw this promotion with a higher max base discount last month. Deal ends January 8.<br>
<br>
Note: Refurbished items are covered by a 90-day or 1-year TechRabbit warranty. Check individual product pages for warranty duration.",2018-01-03T03:37:28-05:00,https://www.dealnews.com/Tech-Rabbit-Sale-Up-to-75-off-BOGO-free-free-shipping/2170400.html,Up to 75% off + BOGO free
free shipping,,JEWELRY,1,2170172,2018-01-02T15:31:59-05:00,9.5mm AAA Lustrous Freshwater Pearl Necklace,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ztditqasyp42rrzrwqjt","Win Pearl offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170172"">Triple Strand Black Freshwater Pearl Necklace</a> for $299.99. Coupon code ""dealnews231"" cuts that to <strong>$68.99</strong>. With <strong>free shipping</strong>, that's $331 off and tied with last month's mention as the best price we could find. It measures 18"" long. Deal ends January 10.",,https://www.dealnews.com/9.5-mm-AAA-Lustrous-Freshwater-Pearl-Necklace-for-69-free-shipping/2170172.html,$69
pickup at Walmart,,TOOL STORAGE & ORGANIZATION,3,2170397,2018-01-02T15:30:24-05:00,Crawford Adjustable Overhead Storage System,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tegdhx8b5xifa6y4t5au","Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170397"">Crawford Adjustable Overhead Storage System</a> for <strong>$30.68</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093090,2170397"">Amazon</a> charges the same.) That's tied with our mention from a month ago and the lowest price we could find by $5. It has a 200-lb. weight capacity, features an adjustable drop from 19"" to 29"", and expands from 32"" to 48"" wide.",,https://www.dealnews.com/Crawford-Adjustable-Overhead-Storage-System-for-31-pickup-at-Walmart/2170397.html,$31
pickup at Walmart,,FRAGRANCES,3,2170199,2018-01-02T15:27:17-05:00,Cool Water for Women 3.4-oz. Deodorant Spray,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fv8ftgvfugmxibyk2wek","Walmart offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170199"">Cool Water for Women by Davidoff 3.4-oz. Deodorant Spray</a> for <b>$12.65</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092265,2170199"">Amazon</a> has it for the same with free Prime shipping.) Opt for in-store <b>pickup</b> to dodge the $5.99 shipping charge. That's the lowest price we could find by $3. It features citrus, honeydew, and pineapple notes.",,https://www.dealnews.com/Cool-Water-for-Women-3.4-oz.-Deodorant-Spray-for-13-pickup-at-Walmart/2170199.html,$13
