editors_choice,shipping,picture_url,hotness,price,time_published,category,uuid,time_modified,description,url,title
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z2mtpgsiakaz03ul4pq8",2,"$34, padding",2018-01-03T18:32:41-05:00,TABLES,2171303,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171303"">Ore 2-Tier Oak Wine Table</a> in Cherry for <strong>$34.17</strong>. Pad your order <strong>over $35</strong> to qualify for free shipping; otherwise it adds $5.99. (In-store pickup is also available.) That's the lowest shipped price we could find by $6. This wheeled table features two shelves and three slots for wine bottles.",https://www.dealnews.com/Ore-2-Tier-Wooden-Wine-Table-for-34-padding-free-shipping/2171303.html,Ore 2-Tier Wooden Wine Table
True,pickup at Walmart,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sndbvhvoksja0agwknia",3,$27,2018-01-03T18:30:58-05:00,SMALL APPLIANCES,2171297,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171297"">Seal-a-Meal Vacuum Food Sealer</a> for <strong>$27.04</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095361,2171297"">Amazon</a> charges the same.) That's the lowest price we could find by $4. It creates an air-tight seal around food with the four included 1-quart Seal-a-Meal bags. The bags are puncture- and tear-resistant and durable enough for the microwave.",https://www.dealnews.com/Seal-a-Meal-Vacuum-Food-Sealer-for-27-pickup-at-Walmart/2171297.html,Seal-a-Meal Vacuum Food Sealer
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qed6m68frhbhy5cl3phy",3,$15,2018-01-03T18:19:26-05:00,ACCESSORIES,2171285,,"Agloves offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171285"">Agloves Unisex Polar Sport Gloves</a> in Black or Blue for $19.99. Coupon code ""POLAR"" cuts them to <strong>$14.99</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $5, although we saw them for $2 less two days ago (expired). These fleece-lined gloves feature touchscreen functionality for all 10 fingers and are available in sizes S to XL.",https://www.dealnews.com/Agloves-Unisex-Polar-Sport-Gloves-for-15-free-shipping/2171285.html,Agloves Unisex Polar Sport Gloves
,free shipping w/ $50,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/k8svzaarebaaczg4hswy",2,from $389,2018-01-03T18:19:18-05:00,MATTRESSES,2171279,,"Sam's Club offers its members the Night Therapy Gel-Infused 13"" Memory Foam Elite Mattress in several sizes from <strong>$389</strong>, as listed below. Plus, these items receive <strong>free shipping</strong>. The sizes:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171279"">Full</a> for <strong>$389</strong> ($60 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095337,2171279"">King</a> for <strong>$519</strong> ($100 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095340,2171279"">California King</a> for <strong>$519</strong> ($100 off)
 </li>
</ul>
Note: Non-members pay an additional 10% surcharge, so it may better to get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095343,2171279"">1-year membership</a> for $45.",https://www.dealnews.com/Night-Therapy-13-Memory-Foam-Mattresses-from-389-free-shipping-w-50/2171279.html,"Night Therapy 13"" Memory Foam Mattresses"
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/a7xeamme77qdcwnyrzth",,from $16,2018-01-03T00:01:00-05:00,CLOTHING & ACCESSORIES,2170382,,"Jos. A. Bank discounts <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093396,2170382"">men's suits, sportshirts, polos, sportcoats, sweaters, outerwear, and dress shirts</a>, with prices starting at <b>$15</b>, as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170382"">Clearance Blowout Deals event</a>. Plus, all orders receive <strong>free shipping</strong>. Deal ends January 11.",https://www.dealnews.com/Jos.-A.-Bank-Clearance-Blowout-Deals-from-16-free-shipping/2170382.html,Jos. A. Bank Clearance Blowout Deals
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mhe3jfp8nlvwwwbp9oih",2,$40,2018-01-03T18:18:01-05:00,PORTABLE SPEAKERS,2171282,,"Mokcao via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171282"">Mokcao Pvendor Bluetooth Speaker</a> in Black or White for <b>$39.99</b> with <b>free shipping</b>. (You may have to apply coupon code ""RDWHQ978"" to see that price.) That's the lowest price we could find by about $10. It features a 5-hour play time and Bluetooth 4.0",https://www.dealnews.com/Mokcao-Pvendor-Bluetooth-Speaker-for-40-free-shipping/2171282.html,Mokcao Pvendor Bluetooth Speaker
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bmrt7lvwzcoezlvkkfj2",3,"Extra 20% off, from $64",2018-01-03T18:07:19-05:00,EXTERNAL HARD DRIVES,2171273,,"Western Digital takes an <strong>extra 20% off</strong> its refurbished Western Digital My Book USB 3.0 External Hard Drives via coupon code ""DNJANMB"", as listed below. Plus, these items qualify for <strong>free shipping</strong>. Sale ends January 31. The deals, with prices after coupon:
<ul>
 <li>Refurb <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171273"">WD 2TB My Book External HDD</a> for <strong>$63.99</strong> ($25 low for a refurb)
 </li>
 <li>refurb <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095313,2171273"">WD 3TB My Book External HDD</a> for <strong>$71.99</strong> ($22 less than new)
 </li>
 <li>refurb <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095316,2171273"">WD 5TB My Book External HDD</a> for <strong>$103.99</strong> ($31 low for refurb)
 </li>
 <li>refurb <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095319,2171273"">WD 6TB My Book External HDD</a> for <strong>$119.99</strong> ($15 less than new)
 </li>
</ul>
Note: A 6-month Western Digital warranty applies for all items.",https://www.dealnews.com/Refurb-Western-Digital-My-Book-External-HDDs-Extra-20-off-from-64-free-shipping/2171273.html,Refurb Western Digital My Book External HDDs
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/v4cc4t3xppekpuwm7zi8",3,$96,2018-01-03T18:01:13-05:00,BABIES & KIDS ITEMS,2171270,,"Graco offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171270"">Graco Nautilus 80 Elite 3-in-1 Car Seat</a> in several colors for <b>$95.99</b> with <b>free shipping</b> via the following steps. That's the lowest price we could find by $54. It holds children up to 120 lbs. and features a cupholder. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171270"">Graco Nautilus 80 Elite 3-in-1 Car Seat</a> for $199.99
 </li>
 <li>add it to your cart to drop it to $119.99
 </li>
 <li>apply coupon code ""newyear"" for a final price of <b>$95.99</b>
 </li>
</ol>",https://www.dealnews.com/Graco-Nautilus-80-Elite-3-in-1-Car-Seat-for-96-free-shipping/2171270.html,Graco Nautilus 80 Elite 3-in-1 Car Seat
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kgn04zhy9xuufwkielg3",3,$30,2018-01-03T17:50:10-05:00,SUNGLASSES,2171276,,"6pm via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171276"">Spy Optic Unisex Westport Sunglasses</a> in Silver/Rose Gold for <strong>$29.90</strong> with <strong>free shipping</strong>. That's $15 under our October mention and the lowest price we could find by $5. They feature full UV protection.",https://www.dealnews.com/Spy-Unisex-Westport-Sunglasses-for-30-free-shipping/2171276.html,Spy Unisex Westport Sunglasses
,free s&h w/beauty item,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j52pi7deez9gi26pxa5q",2,$10,2018-01-03T17:48:27-05:00,T-SHIRTS,2171192,,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171192"">INC International Concepts Men's Chambers Heathered Split-Neck T-Shirt</a> in Lavender for <b>$9.99</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095001,2171192"">beauty item</a> (they start at $3) to bag free shipping; otherwise, shipping adds $10.95. That's $10 off list and the lowest price we could find. It's available in sizes S to 3XL.",https://www.dealnews.com/INC-Mens-Chambers-Split-Neck-T-Shirt-for-10-free-s-h-w-beauty-item/2171192.html,INC Men's Chambers Split-Neck T-Shirt
,free shipping w/ $50,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hvd4psobimaskomcdayj",3,Extra 40% Off,2018-01-03T17:20:29-05:00,CLOTHING & ACCESSORIES,2171261,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171261"">Express</a> takes an <strong>extra 40% off</strong> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095262,2171261"">men's</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095265,2171261"">women's clearance items</a>. (Discount is applied automatically in-cart.) Plus, coupon code ""2869"" takes <b>15% off</b> most regular-price items. Shipping adds <strong>$8</strong>, but orders of $50 or more qualify for free shipping. Some exclusions apply. Deal ends January 20.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s273/Express/"">Express Coupons</a>.</p>",https://www.dealnews.com/Express-Clearance-Sale-Extra-40-Off-free-shipping-w-50/2171261.html,Express Clearance Sale
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pa7j3gdq9pr35fbjukdq",4,Up to 50% off,2018-01-03T17:20:22-05:00,BICYCLING,2171216,,"Dick's Sporting Goods takes <strong>up to 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095103,2171216"">men's, women's, and kids' bikes</a>. (Prices are as marked.) Where available, choose in-store <b>pickup</b> to avoid shipping fees, which start at $5, although select items receive free shipping. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171216"">Columbia Unisex Hampton 7-Speed Beach Cruiser Bike</a> for <strong>$199.99</strong> + <b>$25</b> s&amp;h (pictured, $100 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095106,2171216"">Diamondback Women's Laurito Mountain Bike</a> for <strong>$349.99</strong> + <b>$5</b> s&amp;h (low by $11)
 </li>
</ul>
Note: You may receive $10 in Dick's Cash with select orders of $50 or more when you choose in-store pickup. (Availability varies greatly by ZIP code. The credit will arrive via email within 10 days of purchase and must be redeemed by February 21.) This deal ends January 27. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095109,2171216"">Click here</a> for more information.",https://www.dealnews.com/Bikes-at-Dicks-Sporting-Goods-Up-to-50-off/2171216.html,Bikes at Dick's Sporting Goods
,pickup at REI,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zp4qwopxx2sjroimidj2",1,$45,2018-01-03T17:15:10-05:00,ACTIVEWEAR,2170799,,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170799"">Louis Garneau Women's Icefit 2 Bike Jersey</a> in White for <strong>$44.73</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the lowest price we could find by $13. It's available in sizes XS to XXL.",https://www.dealnews.com/Louis-Garneau-Womens-Icefit-2-Bike-Jersey-for-45-pickup-at-REI/2170799.html,Louis Garneau Women's Icefit 2 Bike Jersey
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lvqguflftwmdwdikmgqa",4,$2 w/ $25 purchase,2018-01-03T17:01:56-05:00,HAIR CARE,2171252,,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171252"">Head &amp; Shoulders Smooth and Silky Conditioner 23-oz. Bottle</a> for $4. Clip the $2 off coupon on the product page to drop that to <strong>$2</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $4. Deal ends January 27.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",https://www.dealnews.com/Head-Shoulders-Conditioner-23-oz.-Bottle-for-2-w-25-purchase-free-shipping/2171252.html,Head & Shoulders Conditioner 23-oz. Bottle
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fbyr1v4gwzevxiyl1ra8",,$9,2018-01-03T00:01:00-05:00,MICE/TRACKBALLS,2170427,,"Tanga offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170427"">Monoprice Select Ergonomic Wireless Mouse</a> for <b>$8.99</b> with <b>free shipping</b>. It features a contoured design, optical tracking, and a wireless dongle. Deal ends January 4.",https://www.dealnews.com/Monoprice-Select-Ergonomic-Wireless-Mouse-for-9-free-shipping/2170427.html,Monoprice Select Ergonomic Wireless Mouse
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/po4oeeyfruxmdoctzinn",3,from $33,2018-01-03T16:55:40-05:00,SPORTS & FITNESS,2171240,,"BuyDig offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171240"">Garmin Vivofit 3 Style Collection Bluetooth Fitness Band</a> in Gabrielle for <b>$32.99</b> with <b>free shipping</b>. (You may need to apply coupon code ""c11711274713"" to see this price.) That's tied with our mention from a month ago and the best deal we could find today by $16. This water-resistant fitness tracker monitors steps, calories, distance, intensity minutes, and sleep. It features a 64x64 always-on LCD, Garmin Move IQ automatic activity detection, watch function, audible alerts, inactivity alerts, and 1-year battery life. It comes with two sculpted silicone bands. It's available in regular fit only. Deal ends January 5.<br>
<br>
Also available is the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095226,2171240"">Garmin Vivofit 3 Regular Fit Bluetooth Fitness Band</a> in Black or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095163,2171240"">White</a> for <strong>$49.99</strong> with <strong>free shipping</strong>. (It's available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095166,2171240"">XL Fit in Black</a> for the same price. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095169,2171240"">Groupon</a> charges the same.) That's the lowest price we could find now by $7, although we saw it for $20 less on Black Friday. Its functions are the same as the above device, but it comes with just one standard silicone band.",https://www.dealnews.com/Garmin-Vivofit-3-Style-Bluetooth-Fitness-Band-from-33-free-shipping/2171240.html,Garmin Vivofit 3 Style Bluetooth Fitness Band
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z0uzr6wczeql5rckewlf",5,free,2018-01-03T16:51:42-05:00,IPHONE / IPOD APPS,2171249,,"iTunes offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171249"">The 7th Guest for iPhone and iPad</a> for <b>free</b>. That's $5 off list and the lowest price we could find.",https://www.dealnews.com/The-7-th-Guest-for-iPhone-and-iPad-for-free/2171249.html,The 7th Guest for iPhone and iPad
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u7czzkcubws12f6m64lh",3,$199,2018-01-03T16:30:21-05:00,HEATERS,2171228,,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171228"">Home Decorators Collection Hamilton Infrared Pocket Mantel Heater</a> in Aged White for <b>$199</b> with <b>free shipping</b>. That's $30 off list and the lowest price we could find. It features a quartz infrared heating element, 5,200 BTU, adjustable thermostat, timer, automatic cutoff, and remote control. Deal ends January 4.",https://www.dealnews.com/Home-Decorators-Collection-Hamilton-Heater-for-199-free-shipping/2171228.html,Home Decorators Collection Hamilton Heater
,free shipping w/ Prime,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/voy16geob9l3dmtkkyt2",2,$15,2018-01-03T16:15:30-05:00,AUTOMOTIVE,2171225,,"Pido Products offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171225"">Pido Universal Car Seat Protector for Child Car Seat</a> in Black for $18.99. Coupon code ""NPQBDNW9"" cuts that to <strong>$14.62</strong>. Plus, Prime members bag <strong>free shipping</strong>. That's $4 off and the lowest price we could find. It measures 49"" x 18"" and features three storage pockets. Deal ends January 15.",https://www.dealnews.com/Pido-Car-Seat-Protector-for-Child-Car-Seat-for-15-free-shipping-w-Prime/2171225.html,Pido Car Seat Protector for Child Car Seat
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d9tdh65p9oje0fkrybsg",4,from $250,2018-01-03T16:13:22-05:00,TOOL STORAGE & ORGANIZATION,2171207,,"Costco offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171207"">SafeRacks Garage 4x8-Foot Storage Rack 2-Pack</a> with 18-Piece Deluxe Hook Kit in three drop ranges (12""-21"" to 24""-45"") for <strong>$249.99</strong> with <strong>free shipping</strong>. (Non-members pay a $12.50 surcharge.) That's $10 under our mention from last January, $150 off list, and the lowest total price we've seen. It includes two 4x8-foot racks and an 18-piece deluxe hook set. Deal ends January 28.",https://www.dealnews.com/Safe-Racks-Overhead-Garage-Storage-Combo-Kit-from-250-free-shipping/2171207.html,SafeRacks Overhead Garage Storage Combo Kit
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mqwbzgzrweeeak0vfdjs",3,$86,2018-01-03T16:01:31-05:00,COMPUTER DESKS,2171096,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171096"">Comfort Products Regallo Expandable Computer Desk</a> for <b>$86</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094716,2171096"">Hayneedle</a> has it for the same.) That's the lowest price we could find by $3. It features an expandable L-shaped design and a pullout keyboard shelf.",https://www.dealnews.com/Comfort-Products-Regallo-Computer-Desk-for-86-free-shipping/2171096.html,Comfort Products Regallo Computer Desk
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nddb72rwwbax6nqk67v4",4,from $159 1-Way,2018-01-03T15:59:07-05:00,AIRFARE,2171219,,"Hawaiian Airlines via Dealbase offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171219"">1-Way Flights to Hawaii</a> from <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095118,2171219"">select cities in California</a> starting at <strong>$158.50</strong>. (On the DealBase landing page, click ""Hawaiian Airlines"" in the top line to see this sale.) This price is based on flights from San Jose, CA, (SJC) with arrival in Kahului, HI, (OGG) departing on January 24. That's the lowest price we could find for select routes by at least $10, although most carriers charge at least $177. Book this travel deal by January 8 for travel from January 15 through March 21.<br>
<br>
All prices, dates, and booking details were valid at the time of publication.",https://www.dealnews.com/Hawaiian-Airlines-Fares-to-Hawaii-from-159-1-Way/2171219.html,Hawaiian Airlines Fares to Hawaii
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/khcoxl3lrcrktjlu9j96",,,2018-01-03T15:54:07-05:00,ROUNDUPS,2171213,,"Even if your New Year's resolutions didn't include getting fit, you'll still be able to appreciate these offers. They're designed to keep you — and your wallet — in tip-top shape. Score a balance ball to upgrade your yoga routine, an inversion table, and more in our roundup of the week's best <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/best-fitness-deals/"">fitness deals</a>.",https://www.dealnews.com/features/best-fitness-deals/,Best Fitness Deals: You'll Flip Over This Inversion Table Deal!
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uxtvxx6zluugrxov7d7w",2,"from $1,358 for 2",2018-01-03T15:53:57-05:00,CRUISES,2171210,,"Norwegian Cruise Line offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171210"">Norwegian Cruise Line 7-Night Western Mediterranean Cruise for Two</a>, with prices for <strong>$1,358</strong>, as seen on Travelzoo. (It's the second offer down on the landing page.) That's the lowest price we could find by $100. This roundtrip cruise aboard the Norwegian Epic departs from Barcelona, Spain, on October 21 and includes stops in Naples, Italy; Rome, Italy; Livorno, Italy; Cannes, France; and Palma, Majorca, Spain. Book this travel deal by January 31. <img class=""lazy-img"" src=""https://dealnews.a.ssl.fastly.net/images/spacer.png"" data-src=""https://ad.doubleclick.net/ddm/ad/N8970.1425TRAVELZOO/B20554345.210708879;sz=1x1;ord=123456;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"" style=""width: 1px; height: 1px; border-width: 0;"" alt=""*"">",https://www.dealnews.com/NCL-7-Nt-Western-Mediterranean-Cruise-from-1-358-for-2/2171210.html,NCL 7Nt Western Mediterranean Cruise
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wd6ddotvsrsrevyypoev",,free w/ membership,2018-01-03T00:01:00-05:00,SAM'S CLUB COUPONS,2170364,,"At Sam's Club, Dealnews readers get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170364"">$15 Sam's Club Gift Card</a>, together with additional <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092991,2170364"">instant savings</a>, when you buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092994,2170364"">Sam's Club 1-Year Membership</a>. Deal ends January 31.",https://www.dealnews.com/15-Sams-Club-Gift-Card-free-w-membership/2170364.html,$15 Sam's Club Gift Card
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/np0kyufbreioocinky0t",3,$299,2018-01-03T15:40:06-05:00,WATCHES,2171189,,"Ashford offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171189"">Movado Men's Masino Chronograph Watch</a> for $497.50. Coupon code ""DNMASINO299"" cuts it to <strong>$299</strong>. With <strong>free shipping</strong>, that's tied with our October mention and the lowest price we could find by $51. It features a stainless steel case and bracelet, Swiss quartz movement, date display, and water resistance to 100 feet. Deal ends January 8.",https://www.dealnews.com/Movado-Mens-Masino-Chronograph-Watch-for-299-free-shipping/2171189.html,Movado Men's Masino Chronograph Watch
,pickup at Walmart,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wh4xqtqep4kukox8gk1f",3,$62,2018-01-03T15:39:59-05:00,BICYCLING,2171099,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171099"">Roadmaster Women's 26"" Granite Peak Bike</a> in Purple for $64.99. It falls to <b>$62.26</b> when you choose in-store <b>pickup</b>. That's the lowest price we could find by $21. It features a steel mountain frame, front suspension fork, alloy rims, 18-speed twist shifters, and Shimano rear derailleur.",https://www.dealnews.com/Roadmaster-Womens-26-Granite-Peak-Bike-for-62-pickup-at-Walmart/2171099.html,"Roadmaster Women's 26"" Granite Peak Bike"
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/q2i9zsyzqcojqedarozp",3,"$225 off, from $314",2018-01-03T15:36:53-05:00,LAPTOPS,2171033,,"Dell Refurbished Store takes <strong>$225 off</strong> any <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171033"">Dell Precision M4800 Laptop</a> via coupon code ""JANDEAL3"", with deals starting from <strong>$314</strong> after coupon. Plus, all orders receive <strong>free shipping</strong>. Some exclusions may apply. Deal ends January 31.<br>
<br>
Note: Dell refurbished systems are covered by a 100-day Dell warranty.",https://www.dealnews.com/Refurb-Dell-Precision-M4800-Laptops-225-off-from-314-free-shipping/2171033.html,Refurb Dell Precision M4800 Laptops
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/k6gixfhcbhxcofjxxije",3,$67,2018-01-03T15:27:02-05:00,COATS,2171177,,"Nike offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171177"">Converse Men's Lightweight Down Jacket</a> in several colors (Green pictured) for $89.97. In-cart that drops to <b>$67.48</b>. Plus, Nike+ members receive <b>free shipping</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094962,2171177"">join</a>.) That's the lowest price we could find by $83. It's available in select sizes from S to XL. Deal ends January 4.",https://www.dealnews.com/Converse-Mens-Lightweight-Down-Jacket-for-67-free-shipping/2171177.html,Converse Men's Lightweight Down Jacket
