editors_choice,description,uuid,shipping,hotness,category,picture_url,time_published,price,title,url,time_modified
True,"As one of its daily deals, Meh discounts a selection of Thule Backpacks, with prices starting from <strong>$29</strong>. Plus, shipping adds <strong>$5</strong>. Deal ends today. The packs:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093642,2170658"">Thule Paramount 24L Backpack</a> for <strong>$29</strong> (low by $25)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093645,2170658"">Thule Paramount 27L Backpack</a> for <strong>$34</strong> (low by $41)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170658"">Thule Subterra 25L Backpack</a> for <strong>$34</strong> (pictured, low by $36)
 </li>
</ul>",2170658,$5 shipping,5,BACKPACKS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y5i8cebscaiobxwiwwtv",,from $29,Thule Backpacks at Meh,https://www.dealnews.com/Thule-Backpacks-at-Meh-from-29-5-s-h/2170658.html,2018-01-03T06:58:36-05:00
True,"As one of its daily deals, Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170661"">Dynex 16x DVD-R 25-Pack</a> for <strong>$3.99</strong>. Choose in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $2 under the lowest price we could find for any similar 25-pack. Each disc features a 4.7GB capacity. Deal ends today.",2170661,pickup at Best Buy,3,"DVD, BLU-RAY & CD DRIVES & BURNERS","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fcpiw4vwhcys28rm5udn",,$4,Dynex 16x DVD-R 25-Pack,https://www.dealnews.com/Dynex-16-x-DVD-R-25-Pack-for-4-pickup-at-Best-Buy/2170661.html,2018-01-03T06:57:12-05:00
,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170628"">Columbia</a> takes <strong>30% to 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093600,2170628"">men's, women's, and kids' styles</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093603,2170628"">Winter Sale</a>. Plus, Greater Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093606,2170628"">sign up</a>.) Deal ends February 28.",2170628,free shipping,4,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hd9odivlb0r2kyycinxd",2018-01-03T04:34:39-05:00,30% to 50% off,Columbia Winter Sale,https://www.dealnews.com/Columbia-Winter-Sale-30-to-50-off-free-shipping/2170628.html,
True,"As one of its daily deals, 13 Deals offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170646"">four American Rag Men's Pullover Hoodies</a> in assorted colors for <strong>$39.96</strong> with <strong>free shipping</strong>. That's what one of these hoodies costs alone elsewhere (making this a nifty low by $120). They're available in sizes M to XXL and ship in random colors. Deal ends today.",2170646,free shipping,4,SWEATSHIRTS & HOODIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ymjjaqq0qsodpk0crug9",,$40,4 American Rag Men's Pullover Hoodies,https://www.dealnews.com/4-American-Rag-Mens-Pullover-Hoodies-for-40-free-shipping/2170646.html,2018-01-03T06:56:00-05:00
,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170613"">Backcountry</a> continues to take <strong>up to 95% off</strong> a huge selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093588,2170613"">apparel, shoes, accessories, and gear</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093591,2170613"">Year-End Sale</a>. (Prices are as marked.) Shipping starts at <strong>$5.95</strong>, but orders of $50 or more qualify for free 2-day shipping. Save on styles from The North Face, Marmot, Columbia, Patagonia, and Sorel, among many others. Deal ends January 8.",2170613,free 2-day s&h w/ $50,5,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/k5kujjokdwlptbutjkgq",2018-01-03T04:21:30-05:00,Up to 95% off,Backcountry Year-End Sale,https://www.dealnews.com/Backcountry-Year-End-Sale-Up-to-95-off-free-2-day-s-h-w-50/2170613.html,
,"Walmart offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170622"">Men's Graphic 1/4 Zip Pullover</a> in Deadpool or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093597,2170622"">Spider-Man</a> for <strong>$10</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's tied with last week's mention, $5 off, and the lowest price we could find. It's available in select sizes from M to XL.",2170622,pickup at Walmart,3,SWEATSHIRTS & HOODIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rrt27vwfxqhfzm7x0vg4",2018-01-03T04:17:54-05:00,$10,Spider-Man or Deadpool Men's Graphic Pullover,https://www.dealnews.com/Spider-Man-or-Deadpool-Mens-Graphic-Pullover-for-10-pickup-at-Walmart/2170622.html,
,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170631"">Walmart</a> discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093609,2170631"">rollback and clearance electronics, toys, home items, apparel, and more</a>. Choose in-store <strong>pickup</strong> to dodge the $5.99 shipping fee, or spend $35 or more to qualify for free shipping. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093612,2170631"">Danskin Now Women's Dri-More Core Bike Shorts 2-Pack</a> for <strong>$6</strong> (low by $11)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093615,2170631"">Edsal 48"" x 24"" x 72"" 5-Shelf Steel Shelving Unit</a> for <strong>$58.97</strong> (all-time best, low by $9)
 </li>
</ul>",2170631,,5,WALMART COUPONS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mzvciwcjfud4mjamyy3z",2018-01-03T04:11:37-05:00,,Rollbacks and Clearance at Walmart,https://www.dealnews.com/Rollbacks-and-Clearance-at-Walmart-free-shipping-w-35/2170631.html,
,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170643"">PUMA Men's Carson 2 Running Shoes</a> in Quiet Shade for <strong>$29.98</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093630,2170643"">beauty item</a> (they start at $3) to bag free shipping; otherwise, shipping adds $10.95. That's tied with last week's mention and the lowest price we could find by $10. They're available in sizes 8 to 13.",2170643,free s&h w/beauty item,3,SHOES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lpipyatquon2yrwkga3n",2018-01-03T04:01:10-05:00,$30,PUMA Men's Carson 2 Running Shoes,https://www.dealnews.com/PUMA-Mens-Carson-2-Running-Shoes-for-30-free-s-h-w-beauty-item/2170643.html,
True,"GameStop offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170616"">Pillars of Eternity Complete Edition for PlayStation 4</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093594,2170616"">Xbox One</a> for <strong>$19.99</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's the lowest price we could find for this highly-rated game by at least $22, although most major retailers charge $50 or more.",2170616,pickup at GameStop,3,GAMES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/riyvcuoeqxfm7prwhxbj",,$20,Pillars of Eternity Complete Ed for PS4 / XB1,https://www.dealnews.com/Pillars-of-Eternity-Complete-Ed-for-PS4-XB1-for-20-pickup-at-Game-Stop/2170616.html,2018-01-03T06:55:35-05:00
,"Verizon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170205"">Verizon Fios 100/100 Mbps Internet Service</a> for <strong>$39.99 per month</strong>. That's a $10 per month savings. Also, the standard setup charge is waived, a $99.99 value. Plus, switch to Fios and get out of your contract with <strong>up to a $500 credit</strong> to help cover your early termination fee.",2170205,,,COMPUTER SERVICES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nznrhqifi6vmgvfqqjjc",2018-01-02T10:58:08-05:00,$40/month,Verizon Fios 100/100 Internet,https://www.dealnews.com/Verizon-Fios-100-100-Internet-for-40-month/2170205.html,
True,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170607"">Eastbay</a> takes an <strong>extra 50% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093576,2170607"">clearance items</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093579,2170607"">Year-End Clearance Sale</a>. (Discount applies in cart.) Plus, all orders receive <strong>free shipping</strong>. That ties our mention from a week ago as the largest extra discount we've seen on clearance items at Eastbay. Eligible items include styles by Nike, Under Armour, adidas, and New Balance.<br>
<br>
Need more options? Select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093582,2170607"">other clearance items</a> receive an <strong>extra 40% off</strong> in cart, while <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093585,2170607"">others</a> get an <strong>extra 30% off</strong>.",2170607,free shipping,4,AFTER CHRISTMAS SALES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ckkonkdpgeuf1v9rldzo",,Extra 50% off,Eastbay Year-End Clearance Sale,https://www.dealnews.com/Eastbay-Year-End-Clearance-Sale-Extra-50-off-free-shipping/2170607.html,2018-01-03T06:05:32-05:00
True,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170598"">BestMassage Video Gaming Shiatsu Massage Chair</a> in several colors (Black pictured) for <strong>$259.88</strong> with <strong>free shipping</strong>. (Non-members pay a $25.99 surcharge.) That's tied with our mention from a week ago as the lowest price we've seen. (It's the best deal today by $110.) It features a touch control armrest, 3D surround sound, and a 190-lb. weight capacity.",2170598,free shipping,3,CHAIRS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/i1mnfnyubeoapbfv9ngn",,from $260,BestMassage Video Gaming Massage Chair,https://www.dealnews.com/Best-Massage-Video-Gaming-Massage-Chair-from-260-free-shipping/2170598.html,2018-01-03T06:53:49-05:00
True,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170604"">Nike</a> takes an <strong>extra 25% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093570,2170604"">sale styles</a>. (Discount applies automatically in cart.) Plus, Nike+ members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093573,2170604"">join</a>.) That's tied with our Cyber Monday mention as the best discount we've seen on sale styles in over a year. Some exclusions apply. Deal ends January 4.",2170604,free shipping,4,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bxfolaryjwvbz8uruz32",,Extra 25% off,Nike Sale,https://www.dealnews.com/Nike-Sale-Extra-25-off-free-shipping/2170604.html,2018-01-03T06:04:03-05:00
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170610"">Miss Chievous Girls' Plush Fleece Character Hoodie</a> in several colors (Snowpeak pictured) for <strong>$5</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's tied with last week's mention, $4 off, and the best deal we could find. It's available in select sizes from S to XL.",2170610,pickup at Walmart,3,KIDS' CLOTHES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w5nywu6bnljac8vkduh3",2018-01-03T03:19:19-05:00,$5,Miss Chievous Girls' Character Hoodie,https://www.dealnews.com/Miss-Chievous-Girls-Character-Hoodie-for-5-pickup-at-Walmart/2170610.html,
True,"Ending today, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170601"">Kate Spade</a> takes an <strong>extra 40% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093567,2170601"">sale styles</a> via coupon code ""EXTRATREAT"". Plus, all orders receive <strong>free shipping</strong>. That's tied with our Cyber Monday mention as the best extra discount we've seen from Kate Spade this year. Some exclusions may apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1457/Kate-Spade/"">Kate Spade Coupons</a>.</p>",2170601,free shipping,3,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x2afdk2ax3twkg4xm8ez",,Extra 40% off,Kate Spade Sale,https://www.dealnews.com/Kate-Spade-Sale-Extra-40-off-free-shipping/2170601.html,2018-01-03T06:53:06-05:00
,"Microsoft Store offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170595"">CrapsVR for Windows Mixed Reality</a> for <strong>free</strong>. That's $5 off list and the lowest price we could find.<br>
<br>
Note: A Windows 10 device is required to download this game.",2170595,,4,GAMES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jrbiqm2ke9xzue7kzht5",,free,CrapsVR for Windows Mixed Reality,https://www.dealnews.com/Craps-VR-for-Windows-Mixed-Reality-for-free/2170595.html,2018-01-03T07:03:14-05:00
,"Dell Small Business offers its 5.2-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170592"">Dell Inspiron 15 5000 Series 5566 Intel Kaby Lake Core i7 2.7GHz 15.6"" Laptop</a> in Black for $899.99. Coupon code ""HOLIDAY579"" cuts it to <strong>$579.99</strong>. With <strong>free shipping</strong>, that's tied with last week's mention and the lowest price we could find by $134. It features an Intel Core i7-7500U 2.7GHz Kaby Lake dual-core processor, 15.6"" 1366x768 (720p) LED-backlit LCD, 8GB RAM, 512GB SSD, DVD burner, 4-cell battery, and Windows 10 Professional 64-bit. Deal ends January 4 at 8 am ET.",2170592,free shipping,3,LAPTOPS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uuwltvbevgjtkb9csw63",2018-01-03T01:56:17-05:00,$580,"Dell Inspiron Kaby Lake i7 Dual 16"" Laptop",https://www.dealnews.com/Dell-Inspiron-Kaby-Lake-i7-Dual-16-Laptop-for-580-free-shipping/2170592.html,
,"Walgreens offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170586"">Ferrero Collection Assorted 4.7-oz. Star Gift Box</a> for <strong>$2.89</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $7 off list and the lowest price we could find. It features an assortment of Rocher, Rondnoir, and Raffaello chocolates.",2170586,pickup at Walgreens,4,CHOCOLATES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fnto6j0etrvp1acga4x8",,$3,Ferrero Collection Assorted Star Gift Box,https://www.dealnews.com/Ferrero-Collection-Assorted-Star-Gift-Box-for-3-pickup-at-Walgreens/2170586.html,2018-01-03T06:03:22-05:00
,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170589"">Britax BOB Motion Stroller</a> in Orange for <b>$149.99</b> plus <b>$5</b> for shipping. That's $30 under our November mention, $200 off list, and the lowest price we've seen. It features a one-hand quick fold, pneumatic tires, front swivel wheel, and suspension system. Deal ends today.",2170589,$5 shipping,3,BABIES & KIDS ITEMS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cb4xowsdv6cfn9geqazd",2018-01-03T01:39:50-05:00,$150,Britax BOB Motion Stroller,https://www.dealnews.com/Britax-BOB-Motion-Stroller-for-150-5-s-h/2170589.html,
,"yichengjin via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170463"">Soufull Multi-Functional Stainless Steel Scissors</a> for $12.88. Coupon code ""black855"" cuts that to <strong>$8.55</strong>. Plus, Prime members bag <strong>free shipping</strong>. Deal ends January 31.",2170463,free shipping w/ Prime,,KITCHEN,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stvamjek2izwihfqpmnd",2018-01-03T00:01:00-05:00,$9,Soufull Stainless Steel Poultry Scissors,https://www.dealnews.com/Soufull-Stainless-Steel-Poultry-Scissors-for-9-free-shipping-w-Prime/2170463.html,
True,"Cabela's offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170583"">Cabela's Women's XPG PrimaLoft 1/4-Zip Pullover</a> in Gunpowder or Passion Flower for <b>$14.88</b>. Opt for in-store <strong>pickup</strong> to avoid the $5.95 shipping charge. That's $55 off list and the lowest price we've seen. It's available in sizes S to XL.",2170583,pickup at Cabela's,3,COATS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zq77zchm1mlncx4jscoz",,$15,Cabela's Women's XPG PrimaLoft Pullover,https://www.dealnews.com/Cabelas-Womens-XPG-Prima-Loft-Pullover-for-15-pickup-at-Cabelas/2170583.html,2018-01-03T06:51:24-05:00
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170580"">Columbian Home Products 3-lb. Covered Round Roaster</a> for <strong>$7.50</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093561,2170580"">Amazon</a> charges the same.) That's the lowest price we could find by $2. It's dishwasher safe.",2170580,pickup at Walmart,3,KITCHEN,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nug6tn6wsdksm54stkk3",2018-01-03T01:24:47-05:00,$8,Columbian 3-lb. Covered Round Roaster,https://www.dealnews.com/Columbian-3-lb.-Covered-Round-Roaster-for-8-pickup-at-Walmart/2170580.html,
,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170577"">Logitech MX Master 2S Wireless Mouse</a> in Graphite for <strong>$79.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093558,2170577"">Office Depot and Office Max</a> offers it for the same price.) That's the lowest price we could find by $5. It features up to 70 days of power on a single charge and a unifying receiver for use with up to three devices.<br>
<br>
Note: This item will be in stock on January 6.",2170577,free shipping,3,MICE/TRACKBALLS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lxenni8bdml1ylcbws5h",2018-01-03T00:57:58-05:00,$80,Logitech MX Master 2S Wireless Mouse,https://www.dealnews.com/Logitech-MX-Master-2-S-Wireless-Mouse-for-80-free-shipping/2170577.html,
True,"GameStop offers the used <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170571"">Microsoft Kinect Sensor for Xbox One</a> for <strong>$15.99</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the best deal we've ever seen for a standalone Kinect sensor; it's also $44 under the lowest price we could find for any condition today. It features a 1080p HD camera and allows for movement- and voice-based control of your TV and Xbox One console, Skype calls, live game broadcasting, and automatic sign-in.<br>
<br>
Note: No warranty information is provided, but this item can be returned within seven days for a refund.",2170571,pickup at GameStop,4,ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cmtalgb7dxgrhbx0ruzg",,$16,Used Microsoft Kinect Sensor for Xbox One,https://www.dealnews.com/Used-Microsoft-Kinect-Sensor-for-Xbox-One-for-16-pickup-at-Game-Stop/2170571.html,2018-01-03T06:50:12-05:00
,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170568"">Brach's Assorted Kids' Variety 365-Count Candy Party Mix</a> for $5.05. Add it to your cart via Subscribe & Save to drop that to <strong>$4.40</strong> and bag <strong>free shipping</strong>. That's $11 under the lowest price we could find for a similar bag of Brach's candy. It includes a mix of Super Bubble, Now and Later, Smarties, Jaw Busters, and Lollipops.<br>
<br>
Note: Be sure to cancel your subscription after your order ships to avoid being billed for subsequent shipments.",2170568,free shipping,3,GROCERIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vaw2rmbvrum7ncexcnxc",2018-01-03T00:38:59-05:00,$4,Brach's Kids' Variety 365-Count Candy Mix,https://www.dealnews.com/Brachs-Kids-Variety-365-Count-Candy-Mix-for-4-free-shipping/2170568.html,
True,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170565"">""I and love and you"" All-Natural 3-oz. Wet Cat Food 24-Pack</a> in Purrky Turkey for <strong>$9.73</strong> with <strong>free shipping</strong> via the steps below. That's the lowest price we could find by $8. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170565"">""I and love and you"" All-Natural 3-oz. Wet Cat Food 24-Pack</a> for $12.97
 </li>
 <li>clip the 20% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save for a final price of <strong>$9.73</strong>
 </li>
</ol>
Note: Be sure to cancel your subscription after your order ships to avoid being billed for subsequent shipments.",2170565,free shipping,3,PET FOOD,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qrlob2tushqyhmux6iwd",,$10,"""I and love and you"" 3-oz. Wet Cat Food 24pk",https://www.dealnews.com/I-and-love-and-you-3-oz.-Wet-Cat-Food-24-pk-for-10-free-shipping/2170565.html,2018-01-03T06:44:51-05:00
,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170562"">Orgain Organic Plant-Based Protein Powder 1.59-lb. Jar</a> in Natural Unsweetened for <strong>$18.81</strong> with <strong>free shipping</strong>, via the directions below. That's the lowest price we could find by $6. This non-GMO powder is gluten-, soy-, and dairy-free and contains 21 grams of plant-based protein per serving. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170562"">Orgain Organic Plant-Based Protein Powder 1.59-lb. Jar</a> for $25.06
 </li>
 <li>clip the $5 off coupon on the product page
 </li>
 <li>add it to your cart via Subscribe &amp; Save for a final price of <strong>$18.81</strong>
 </li>
</ol>",2170562,free shipping,3,SUPPLEMENTS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y8rax6xe0tptsrbmcprw",2018-01-03T00:05:26-05:00,$19,Orgain Organic Plant Protein Powder 2-lb. Jar,https://www.dealnews.com/Orgain-Organic-Plant-Protein-Powder-2-lb.-Jar-for-19-free-shipping/2170562.html,
,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093543,2170559"">JCPenney</a> takes <strong>50% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093546,2170559"">original- and regular-priced orders of $50 or more</a> or <b>65% off</b> orders of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093549,2170559"">$100 or more</a> via coupon code ""4DEALS"". Plus, the same coupon takes an <b>extra 25% off</b> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093552,2170559"">sale items</a>. (Eligible items are marked on their product pages.) Shipping adds <b>$8.95</b>, although orders over $99 bag free shipping. (Ship-to-store pickup is also available for $3.95 and free for most orders over $25; free same-day pickup may be also available for select items.) Some exclusions apply. Deal ends January 10. A couple of best bets, both with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170559"">St. John's Bay Men's Long Sleeve Pullover Sweater</a> for <strong>$25</strong> (pictured, $25 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093555,2170559"">St. John's Bay Women's Plus Hooded Quilted Jacket</a> for <strong>$64.50</strong> ($108 off)
 </li>
</ul>",2170559,free shipping w/ $99,4,JCPENNEY COUPONS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uwfxv64ynps6jcnxllam",,Up to 65% off $100,JCPenney coupon,https://www.dealnews.com/JCPenney-coupon-Up-to-65-off-100-free-shipping-w-99/2170559.html,2018-01-03T07:01:27-05:00
