category,title,time_modified,price,time_published,description,url,uuid,editors_choice,picture_url,shipping,hotness
SHOES,Joe's New Balance New Year Sale,,40% to 70% off,2018-01-04T14:42:29-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096735,2171909"">Joe's New Balance Outlet</a> takes <strong>40% to 70% off</strong> the original retail price of select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096732,2171909"">men's</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096687,2171909"">women's shoes</a> via coupon code ""NEWYEAR"" as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096738,2171909"">New Year Sale</a>, with prices starting from <strong>$22.50</strong>. (Items are already marked 20% to 50% off, and this coupon takes an additional 20% off the <i>original</i> retail price.) Plus, the same coupon bags <strong>free shipping</strong>. Combined, that's one of the best sales we've seen from JNBO in the past year and drops the price for many styles to the $30 to $40 range. Some exclusions may apply. Deal ends January 9. A couple of best bets, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096690,2171909"">New Balance Women's 811v2 Graphic Trainers</a> in White or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096693,2171909"">Denim</a> for <strong>$30</strong> (low by $12)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171909"">New Balance Men's Fresh Foam Boracay v3 Shoes</a> for <strong>$36</strong> (pictured, low by $28)
 </li>
</ul>",https://www.dealnews.com/Joes-New-Balance-New-Year-Sale-40-to-70-off-free-shipping/2171909.html,2171909,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rnou50powxnkvq9goyqp",free shipping,4
CLOTHING & ACCESSORIES,Adidas Sale,,Up to 50% off,2018-01-04T14:42:26-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171801"">adidas</a> takes <b>up to 50% off</b> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096303,2171801"">men's women's, and kids' shoes, apparel, and accessories</a>. (Prices are as marked.) Plus, all orders receive <b>free shipping</b>. In all, over 1,300 items are discounted. Some exclusions may apply.",https://www.dealnews.com/Adidas-Sale-Up-to-50-off-free-shipping/2171801.html,2171801,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h4htarpj0kysjba9yavi",free shipping,5
EXERCISE EQUIPMENT,Calm Yoga Kit,,$9,2018-01-04T14:42:09-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171828"">Calm Yoga Kit</a> for <strong>$8.97</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $8. It includes a 24"" x 68"" yoga mat with sling, yoga block, 6-foot yoga strap, and towel.",https://www.dealnews.com/Calm-Yoga-Kit-for-9-pickup-at-Walmart/2171828.html,2171828,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gl99dqvy0ilqslixvepd",pickup at Walmart,3
BBQS & GRILLS,Vision Grills Diamond-Cut Cadet Kamado Grill,,from $299,2018-01-04T14:41:27-05:00,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171885"">Vision Grills Diamond-Cut Cadet Kamado Grill</a> in several colors (Orange pictured) for <strong>$299</strong> with <strong>free shipping</strong>. (Non-members pay a $29.90 surcharge.) That's the lowest price we could find by $253. It features color-coded top and bottom vents and a stainless steel cooking grate with handles. Deal ends January 10.",https://www.dealnews.com/Vision-Grills-Diamond-Cut-Cadet-Kamado-Grill-from-299-free-shipping/2171885.html,2171885,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pmjqaighwhflnbkjof40",free shipping,4
LASER PRINTERS,Canon Multifunction WiFi Laser Printer,,$85,2018-01-04T14:40:48-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171942"">Canon MF232W Multifunction WiFi Monochrome Laser Printer</a>, which also scans and copies, for <b>$84.99</b> with <strong>free shipping</strong>. That's tied with our November mention and the lowest price we could find by $46. It features a tiltable LCD screen, print speeds up to 24ppm, 1200x1200 dpi maximum print resolution, 802.11n wireless, Ethernet, and USB.",https://www.dealnews.com/Canon-Multifunction-Wi-Fi-Laser-Printer-for-85-free-shipping/2171942.html,2171942,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bidw7taovoqx9gqlfjv3",free shipping,3
CLOTHING & ACCESSORIES,J.Crew Factory Clearance,,Extra 60% off,2018-01-04T14:39:36-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171933"">J.Crew Factory</a> takes an <strong>extra 60% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096774,2171933"">clearance items</a> via coupon code ""CHILLY"". That's tied with our mention from two weeks ago as the largest extra discount we've seen on clearance items from J.Crew Factory this year. Shipping adds <strong>$5</strong>, but orders of $100 bag free shipping. Some exclusions may apply. Deal ends January 7.<br>
<br>
Note: Items marked as final sale cannot be returned or exchanged.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s40002/J.Crew-Factory/"">J.Crew Factory Coupons</a>.</p>",https://www.dealnews.com/J.Crew-Factory-Clearance-Extra-60-off-free-shipping-w-100/2171933.html,2171933,True,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j5ppnuvse3ddp4s4o530",free shipping w/ $100,4
IPADS,"Refurb Apple iPad Pro 9.7"" 32GB WiFi Tablet",,$275,2018-01-04T14:38:58-05:00,"Blinq offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171951"">Apple iPad Pro 9.7"" 32GB WiFi Tablet</a> in Rose Silver for $366.69. Coupon code ""NEWSJAN25"" drops that to <strong>$275.02</strong>. With <strong>free shipping</strong>, that's $105 under our August mention of a new unit and the lowest price we've seen for a 9.7"" iPad Pro. (It's the best deal now for a refurb by $75, and $174 less than buying new.) Deal ends January 31.<br>
<br>
Note: No warranty info is provided.",https://www.dealnews.com/Refurb-Apple-iPad-Pro-9.7-32-GB-Wi-Fi-Tablet-for-275-free-shipping/2171951.html,2171951,True,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ywvdgodixjqfqhudrxj5",free shipping,4
CREDIT CARDS,Chase Sapphire Preferred® Card,,"50,000 bonus points",2018-01-04T14:27:34-05:00,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171954"">Chase Sapphire Preferred® Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096825,2171954"">$4,000 or more</a> on purchases in the first three months from account opening – that's $625 toward travel when you redeem through Chase Ultimate Rewards®. Plus, earn <strong>5,000 bonus points</strong> after you add the first authorized user and make a purchase in the first three months from account opening. Also, earn <strong>2 points</strong> for every $1 spent on travel and dining at restaurants both in the U.S. and abroad, and <strong>1 point</strong> for every $1 spent on all other purchases. There's a <strong>$0 Intro Annual Fee</strong> for the first year, then $95 for each additional year, and <strong>no foreign transaction fees</strong> on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096828,2171954"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>","https://www.dealnews.com/lw/click.html?20,2,2171954",2171954,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d8ppsk9jlwz1siyg70ap",,
TABLETS,"Toshiba Encore 2 8"" 32GB Windows 8.1 Tablet",,$100,2018-01-04T14:38:22-05:00,"TigerDirect Business offers the 0.8-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171963"">Toshiba Encore 2 WT8-B32CNM 8"" 32GB WiFi Windows 8.1 Tablet</a> in Satin Gold for <strong>$99.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096852,2171963"">MacMall</a> charges the same.) That's $300 off list and the lowest price we've seen for <i>any</i> Toshiba Encore 2 tablet. Features include an Intel Atom Z3735G 1.33GHz Bay Trail quad-core processor, 8"" 1280x800 IPS LED-backlit touchscreen LCD, 1GB RAM, 32GB eMMC storage, 5-megapixel rear camera, 1.2-megapixel front-facing camera, 802.11n wireless, Bluetooth 4.0, microSDXC card slot, and Windows 8.1 OS.",https://www.dealnews.com/Toshiba-Encore-2-8-32-GB-Windows-8.1-Tablet-for-100-free-shipping/2171963.html,2171963,True,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pmxkssz4llw7zw52hbv2",free shipping,3
HOME IMPROVEMENT,Rubbermaid Configurations Deluxe Closet Kit,,$59,2018-01-04T14:38:07-05:00,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171903"">Rubbermaid Configurations 3-Foot to 6-Foot Deluxe Closet Kit</a> in White for <strong>$59</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096663,2171903"">Amazon</a> charges the same.) That's tied with our mention from two weeks ago and the lowest price we could find by $11. It comes with six 26"" shelves, two 36"" shelves, two 36"" top rails, 16 brackets, four 47.5"" uprights, two 25"" uprights, and two hang rods.",https://www.dealnews.com/Rubbermaid-Configurations-Deluxe-Closet-Kit-for-59-free-shipping/2171903.html,2171903,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wwzyiu0xxpsue6tc4zii",free shipping,3
MACY'S COUPONS,Macy's Super WKND Sale,,Extra 15% to 20% off,2018-01-04T14:36:55-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171966"">Macy's</a> takes an <strong>extra 15% to 20% off</strong> most items sitewide via coupon code ""WKND"" as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096858,2171966"">Super WKND Sale</a>. (Eligible items are marked.) Alternatively, cut an <strong>extra $10 off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096861,2171966"">sale and clearance orders of $25 or more</a> via coupon code ""WKND25"". Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096864,2171966"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. (Orders of $99 or more also ship free, and in-store pickup may be available.) Some exclusions apply, including Deals of the Day, Specials, and Super Buys. Deal ends January 7.",https://www.dealnews.com/Macys-Super-WKND-Sale-Extra-15-to-20-off-free-shipping-w-99/2171966.html,2171966,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d3cbz2ojuolwgxfiw0gi",free shipping w/ $99,3
EXERCISE EQUIPMENT,Best Choice Products Exercise Bicycle,,$60,2018-01-04T14:30:23-05:00,"Best Choice Products via Walmart offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171807"">Best Choice Products Stationary Exercise Bicycle</a> for <b>$59.95</b> with <b>free shipping</b>. That's tied with our mention from a year ago, $60 off list, and the lowest price we could find. It features an adjustable seat height, padded handles, adjustable resistance knob, and display screen that shows the time, speed, distance, and calories burned.",https://www.dealnews.com/Best-Choice-Products-Exercise-Bicycle-for-60-free-shipping/2171807.html,2171807,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zmyvooa4e14tvng9fgoi",free shipping,3
CONSOLES,Refurb Nintendo Switch Console,,$243,2018-01-04T14:25:52-05:00,"Blinq offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171927"">Nintendo Switch Console with Gray Joy-Con</a> for $323.39. Coupon code ""NEWSJAN25"" cuts it to <b>$242.54</b>. With <b>free shipping</b>, that's $17 under last week's mention of a new unit and the lowest price we've seen for this console in any condition. (It's $56 less than you'd pay for a new one today.) Deal ends January 31, although it will likely sell out quickly.<br>
<br>
Note: No warranty information is provided, but it's covered by Blinq's 30-day money-back guarantee.",https://www.dealnews.com/Refurb-Nintendo-Switch-Console-for-243-free-shipping/2171927.html,2171927,True,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ogjm2s16hl0egyxitq43",free shipping,3
KITCHEN,"48"" x 30"" Anti-Fatigue Floor Mat",,$30; 3 for $75,2018-01-04T14:23:59-05:00,"As one of its daily deals, 13 Deals offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171864"">48"" x 30"" Anti-Fatigue Floor Mat</a> in Black for <b>$29.99</b> with <b>free shipping</b>. That's $95 off list and and tied with last week's mention as the lowest price we could find. This waterproof and stain-resistant mat is approximately 1"" thick and features a pointed bevel edge and non-slip bottom.<br>
<br>
Need more than one? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096480,2171864"">Add three</a> to your cart for a price of <b>$74.97</b> with <b>free shipping</b> ($24.99 each). Both deals end today.",https://www.dealnews.com/48-x-30-Anti-Fatigue-Floor-Mat-for-30-3-for-75-free-shipping/2171864.html,2171864,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gzbcucez8zbbs3cvjics",free shipping,3
CAMPING & OUTDOORS,Samsonite Magic 2 In 1 Pillow,,$11,2018-01-04T14:22:05-05:00,"Amazon offers Prime members offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171924"">Samsonite Magic 2 In 1 Pillow</a> in Charcoal for <strong>$11.19</strong> with <strong>free shipping</strong>. That's the best price we could find by $3. It's filled with microbeads and measures 11"" wide.<br>
<br>
Note: it's currently out of stock but can still be ordered at this price.",https://www.dealnews.com/Samsonite-Magic-2-In-1-Pillow-for-11-free-shipping-w-Prime/2171924.html,2171924,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ny28bblkk8z1fdj9twlm",free shipping w/ Prime,3
AIRFARE,Qatar Airways International Fares,,from $668 roundtrip,2018-01-04T14:20:09-05:00,"Qatar Airways via DealBase offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171936"">Roundtrip International Flights</a> from <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096789,2171936"">select cities in the U.S.</a>, with prices starting from <strong>$668.15</strong>. (On the DealBase landing page, click ""Qatar Airlines"" in the top line to see this sale.) That's the lowest price we could find for select routes on a 5-star airline by at least $247. This price is valid on flights departing on February 7 from Atlanta, GA, (ATL) with arrival in Kuwait City, Kuwait, (KWI) and return on February 14. Book this travel deal by January 7.<br>
<br>
All prices, dates, and booking details were valid at the time of publication.",https://www.dealnews.com/Qatar-Airways-International-Fares-from-668-roundtrip/2171936.html,2171936,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ymevyiwwrfn8jp7zbv12",,3
TVS,"Samsung 55"" 4K HDR LED LCD UHD Smart TV",,$498,2018-01-04T14:16:29-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171930"">Samsung 54.6"" 4K HDR LED-Backlit LCD Ultra HD Smart TV</a>, model no. UN55MU6290, for an in-cart price of <strong>$498</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago and the lowest price we could find by $2, but most stores charge closer to $700. It features a 3840x2160 (4K, 2160p) native resolution, 4K HDR Pro, 4K upscaling, 802.11ac wireless, Smart TV with Apps (including Netflix, Hulu Plus, Amazon Video, more), USB, and three HDMI inputs.",https://www.dealnews.com/Samsung-55-4-K-HDR-LED-LCD-UHD-Smart-TV-for-498-free-shipping/2171930.html,2171930,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e8gptdxhvv7piwao0ine",free shipping,3
PORTABLE SPEAKERS,Sbode Bluetooth Speaker,,$40,2018-01-04T00:01:00-05:00,"CTLpower via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170754"">Sbode Bluetooth Speaker</a> for $59.99. Coupon code ""VDWJWYE6"" cuts it to <strong>$39.99</strong>. Plus, <strong>free shipping</strong> applies. It features a microSD card slot, IPX6 water resistance, and four bass radiators. Deal ends January 7.",https://www.dealnews.com/Sbode-Bluetooth-Speaker-for-40-free-shipping/2170754.html,2170754,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bhtve9hmto9zkfvejm5y",free shipping,
SWEATSHIRTS & HOODIES,Gap Men's Softspun Raglan Hoodie,,from $11,2018-01-04T14:12:14-05:00,"Gap offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171900"">Gap Men's Softspun Raglan Hoodie</a> in New Heather Grey for $17.99. Stack coupon codes ""HAPPY"" and ""ITSFREE"" to drop that to <strong>$10.79</strong> and bag <strong>free shipping</strong>. That's a savings of $41 and the second-lowest price we've seen for any Gap men's hoodie. It's available in regular sizes from M to XXL and tall size XL.<br>
<br>
Note: It's also available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096636,2171900"">Black Moss or Blue Heather</a> for $13.19 with free shipping via the above coupons. Both deals end January 8.",https://www.dealnews.com/Gap-Mens-Softspun-Raglan-Hoodie-from-11-free-shipping/2171900.html,2171900,True,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nxz9229iqo3mrnn3jpny",free shipping,4
GOLF ITEMS,Titleist Ultra Lightweight Stand Bag,,$90,2018-01-04T14:12:01-05:00,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171786"">Titleist Ultra Lightweight Stand Bag</a> in several colors (Charcoal/Black/Lime pictured) for <strong>$89.99</strong> with <b>free shipping</b>. That's the lowest price we could find by $6. It features five storage pockets, beverage pocket, and interior dividers.",https://www.dealnews.com/Titleist-Ultra-Lightweight-Stand-Bag-for-90-free-shipping/2171786.html,2171786,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xo7xtith3zmnksmqd93z",free shipping,2
INTERNAL HARD DRIVES,"Dell 512GB 2.5"" Internal SSD Upgrade Kit",,$190,2018-01-04T14:09:43-05:00,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171921"">Dell 512GB Serial ATA 6Gb/s 2.5"" Internal SSD Upgrade Kit for Dell Desktops and Notebooks</a> for <strong>$189.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $114, excluding the below mention. The kit includes a 512GB SSD, 2.5""-to-3.5"" desktop adapter bracket with screws, 7mm-to-9mm laptop adapter, SSD enclosure, USB 3.0 cable for enclosure, SATA cable, and power cable.<br>
<br>
A close price: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096723,2171921"">Jet.com</a> charges $199.99 with free shipping.",https://www.dealnews.com/Dell-512-GB-2.5-Internal-SSD-Upgrade-Kit-for-190-free-shipping/2171921.html,2171921,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pfz4njqcblpnauc6nvmj",free shipping,3
CLOTHING & ACCESSORIES,Old Navy Epic Clearance Event,,Up to 75% off + 20% off,2018-01-04T14:07:01-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171906"">Old Navy</a> takes <strong>up to 75% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096666,2171906"">men's, women's, and kids' clearance styles</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096669,2171906"">Epic Clearance Event</a>. Plus, cut an <strong>extra 20% off</strong> when you add these items to your cart. (Eligible items are marked.) Shipping adds <strong>$7</strong>, but orders of $50 or more receive free shipping. Some exclusions apply.<br>
<br>
Need to stock up on activewear to help fulfill your New Year's resolution? Take an <b>additional 10% off</b> when you buy <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096672,2171906"">four or more select activewear items</a> via coupon code ""GOALS"". (This coupon stacks with the above discounts.) Both deals end January 5.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s362/Old-Navy/"">Old Navy Coupons</a>.</p>",https://www.dealnews.com/Old-Navy-Epic-Clearance-Event-Up-to-75-off-20-off-free-shipping-w-50/2171906.html,2171906,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gytsotk3hlwhrjqxkq7n",free shipping w/ $50,4
BEDDING,Equinox Baby Pillow Set 2-Pack,,$10,2018-01-04T13:59:20-05:00,"Equinox via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171915"">Equinox Baby Pillow Set 2-Pack</a> for $14.97. Coupon code ""H8QZ2Y46"" knocks it to <strong>$9.97</strong>. With <strong>free shipping</strong> via Prime, that's the lowest price we could find by $7. Each pillow measures 13"" x 18"" and features a 100% cotton cover. Deal ends January 31.",https://www.dealnews.com/Equinox-Baby-Pillow-Set-2-Pack-for-10-free-shipping-w-Prime/2171915.html,2171915,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dnl5veaboj4ohlmntwcz",free shipping w/ Prime,3
HOTELS,"Vail Racquet Club Mountain Resort in Vail, CO",,Up to 30% off,2018-01-04T13:58:33-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171912"">Vail Racquet Club Mountain Resort</a> in Vail, CO, cuts <strong>up to 30% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096705,2171912"">Ski Season</a>, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096708,2171912"">Spring Break</a>, and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096711,2171912"">Summer 2018 stays</a>, as provided by Dunhill Travel. This 3-star hotel has an Expedia rating of 87% based on 521 reviews. Additional fees and blackout dates apply. Book this travel deal by January 31.",https://www.dealnews.com/Vail-Racquet-Club-Mountain-Resort-in-Vail-CO-Up-to-30-off/2171912.html,2171912,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/en7n5idmf7qwwoi79hzt",,2
SHIRTS,Gap Men's Oxford Shirt,,$8,2018-01-04T13:36:40-05:00,"Gap offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171897"">Gap Men's Oxford Shirt</a> in Navy for $12.99. Coupon codes ""HAPPY"" and ""ITSFREE"" combine to cut it to <strong>$7.79</strong> and grab <strong>free shipping</strong>. That's a savings of $49 and the lowest price we could find. It's available in select standard and slim sizes from XS to 3XL. Deal ends January 8.",https://www.dealnews.com/Gap-Mens-Oxford-Shirt-for-8-free-shipping/2171897.html,2171897,True,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sin0iralmmecemhc0ovo",free shipping,5
T-SHIRTS,Gap Men's Short-Sleeve Notch T-Shirt,2018-01-04T17:41:16-05:00,$4,,"Gap offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171894"">Gap Men's Short-Sleeve Notch T-Shirt</a> in several colors (Blue Peak pictured) for $6.99. Coupon codes ""HAPPY"" and ""ITSFREE"" stack to cut that to <strong>$4.19</strong> and bag <strong>free shipping</strong>. That's a savings of $28 and a great price for a Gap men's T-shirt in general. It's available in select regular and tall sizes from XS to 3XL. Deal ends January 8.",https://www.dealnews.com/Gap-Mens-Short-Sleeve-Notch-T-Shirt-for-4-free-shipping/2171894.html,2171894,True,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h8vtredfdf0amczqhzld",free shipping,4
