shipping,time_published,editors_choice,category,hotness,title,url,picture_url,price,time_modified,uuid,description
free shipping,2018-01-02T04:16:20-05:00,,HEATERS,4,"Decor Flame Infrared Stove 1,500W Heater",https://www.dealnews.com/Decor-Flame-Infrared-Stove-1-500-W-Heater-for-50-free-shipping/2169908.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tgoamequ9qo0wnk05vzb",$50,,2169908,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169908"">Decor Flame Infrared Stove 1,500-watt Heater</a> for <strong>$49.88</strong> with <strong>free shipping</strong>. That's tied with our mention from three weeks ago, $18 off, and the lowest price we could find."
free shipping w/ Prime,2018-01-02T04:10:45-05:00,,HEADPHONES,3,Apekx Noise-Cancelling Bluetooth Earbuds,https://www.dealnews.com/Apekx-Noise-Cancelling-Bluetooth-Earbuds-for-11-free-shipping-w-Prime/2169899.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/juwuaklm5hjfxyt2uklv",$11,,2169899,"Apekx via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169899"">Apekx Noise-Cancelling Bluetooth Earbuds</a> in Black/Red for $18.59. Coupon code ""2AIUERB9"" cuts them to <strong>$11.15</strong>. With <strong>free shipping</strong>, that's $3 under our October mention, $16 off, and the lowest price we could find. It features Bluetooth 4.1 CSR, sweatproof design, an 8 to 9 hour play time, built-in microphone, and wireless range of 33 feet. Deal ends January 15."
,2017-12-31T00:01:00-05:00,,CREDIT CARDS,,Chase Freedom Unlimited® Card,"https://www.dealnews.com/lw/click.html?20,2,2168615","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ydfbhq1eoc6ncmebhug2",Earn a $150 bonus,,2168615,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168615"">Chase Freedom Unlimited® Card</a> and <strong>earn a $150 Bonus</strong> after you spend $500 on purchases in your first three months from account opening. Plus, receive a <strong>0% Intro APR</strong> for 15 months on purchases and balance transfers. (After that, variable APR, currently 15.99% - 24.74%.) Other card features include earning <strong>unlimited 1.5% cash back</strong> on every purchase. It's automatic! Redeem for cash back - any amount, anytime and your Cash Back rewards do not expire as long as your account is open. Plus, there's <strong>no annual fee</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089688,2168615"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>"
free shipping,2018-01-02T03:57:00-05:00,,HEADPHONES,3,Massdrop x Sennheiser HD 6XX Headphones,https://www.dealnews.com/Massdrop-x-Sennheiser-HD-6-XX-Headphones-preorders-for-200-free-shipping/2169797.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rowbvbtgqdjis56gaou3",preorders for $200,,2169797,"Massdrop offers preorders of the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169797"">Massdrop x Sennheiser HD 6XX Headphones</a> in Midnight Blue for <strong>$199.99</strong> with <strong>free shipping</strong>. That's tied with our mention from November as the lowest price we've seen. (It's also $106 under the best deal we could find for the similar Sennheiser HD 650 headphones.)<br>
<br>
Based on the classic Sennheiser HD 650 Headphones, these <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091767,2169797"">extremely well-reviewed</a> open-back headphones feature the same drivers and architecture, updated with a 6-foot detachable cable with 3.5mm plug and midnight blue colorway. They offer a 10Hz to 41kHz frequency response, 300-ohm impedance, and aluminum voice coils.<br>
<br>
Note: They have an estimated ship date of March 28."
pickup at Walmart,2018-01-02T03:55:24-05:00,,EXTENSION CORDS & POWER STRIPS,3,WorkChoice 50ft 16/3 Outdoor Extension Cord,https://www.dealnews.com/Work-Choice-50-ft-16-3-Outdoor-Extension-Cord-for-10-pickup-at-Walmart/2169725.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ammxvpq1suuiwc2fovjn",$10,,2169725,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169725"">WorkChoice 50-Foot SJTW 16/3 Outdoor Extension Cord</a> in Green for <b>$9.97</b>. Opt for in-store <b>pickup</b> to avoid the $5.99 shipping fee. That's tied with last week's mention and the lowest price we could find by $11. This 3-wire grounded cord includes a Velcro strap for storage."
free shipping,2018-01-02T03:53:15-05:00,,BEAUTY,4,Clinique Beauty Sets at Macy's,https://www.dealnews.com/Clinique-Beauty-Sets-at-Macys-20-to-50-off-free-shipping/2169893.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yaleeit0flggtd3vcecl",20% to 50% off,,2169893,"Macy's takes <b>20% to 50% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091815,2169893"">Clinique beauty sets</a>. (Prices are as marked.) Plus, these items bag <b>free shipping</b>. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169893"">Clinique 5-Piece Pick Your Party Lipstick Set</a> for <b>$18.75</b> (pictured, $6 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091812,2169893"">Clinique 3-Piece Super Skincare Gift Set</a> for <b>$48.37</b> (low by $7)
 </li>
</ul>"
free shipping,2018-01-02T03:51:01-05:00,,SHOES,5,Reebok Men's Work N Cushion 2.0 Shoes (Wide),https://www.dealnews.com/Reebok-Mens-Work-N-Cushion-2.0-Shoes-Wide-for-25-free-shipping/2169887.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e288y6av9w9eavdec0vg",$25,,2169887,"Reebok via eBay offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169887"">Reebok Men's Work N Cushion 2.0 Walking Shoes</a> in Black for <strong>$24.99</strong> with <strong>free shipping</strong>. That's tied with our mention from a week ago and the lowest price we could find for any color now by $17. They're available in extra-wide sizes 10.5 and 13 only."
,2018-01-02T03:50:28-05:00,,RESTAURANTS,4,Blaze Pizza mobile coupon,https://www.dealnews.com/Blaze-Pizza-mobile-coupon-Buy-1-pizza-get-2-nd-free/2169890.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gfheuo5ee6caiglyjt17","Buy 1 pizza, get 2nd free",,2169890,"At participating <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169890"">Blaze Pizza</a> restaurants, buy <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091791,2169890"">one pizza</a> and get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091794,2169890"">second pizza</a> for <strong>free</strong> when you order via its mobile app for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091797,2169890"">iPhone</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091800,2169890"">Android</a> and apply coupon code ""workworkwork"". (You may need to register your email address <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091803,2169890"">here</a> to use the coupon.) <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091806,2169890"">Click here</a> to find your nearest location. Deal ends February 13."
free shipping,2018-01-02T03:37:34-05:00,,WATCHES,3,Glycine Men's Combat 6 36mm Auto Watch,https://www.dealnews.com/Glycine-Mens-Combat-6-36-mm-Auto-Watch-for-280-free-shipping/2169884.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qljzc0ja0bzuv0m8vink",$280,,2169884,"Massdrop offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169884"">Glycine Men's Combat 6 36mm Automatic Watch</a> in Black or Silver (Black/Leather pictured) for <strong>$279.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $410. It features automatic movement, a stainless steel case, choice of leather or stainless steel strap, date display, and water resistance. Deal ends January 6."
free shipping,2018-01-02T03:32:53-05:00,True,COATS,4,Mountain Hardwear Men's / Women's Jacket,https://www.dealnews.com/Mountain-Hardwear-Mens-Womens-Jacket-for-129-free-shipping/2169881.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qiuayini97pwiyvz1bzo",$129,,2169881,"Mountain Hardwear offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169881"">Mountain Hardwear Men's</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091785,2169881"">Women's MetaTherm Down Jacket</a> in several colors (Cote Du Rhone pictured) for $229.98. Coupon code ""MHWDEC260"" cuts that to <strong>$128.79</strong>. Plus, Elevated Rewards members bag <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091788,2169881"">join</a>.) That's $196 off and tied with our mention from a week ago as the lowest price we could find. It's available in men's sizes S to XXL and women's sizes XS to XL."
free shipping,2018-01-02T02:03:50-05:00,,CLOTHING & ACCESSORIES,2,Reebok coupon,https://www.dealnews.com/Reebok-coupon-50-off-200-free-shipping/2169794.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f0uamiexxingllsidi78",$50 off $200,,2169794,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169794"">Reebok</a> takes an <strong>extra $50 off</strong> orders of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091770,2169794"">$200 or more</a> via coupon code ""2018"". Even better, it stacks with already-discounted <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091764,2169794"">sale items</a>. Plus, qualifying orders bag <strong>free shipping</strong>. Some exclusions may apply. Deal ends January 3.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s908/Reebok/"">Reebok Coupons</a>.</p>"
,2018-01-02T02:03:04-05:00,,THINGS TO DO,4,Upcoming: National Park Service,https://www.dealnews.com/Upcoming-National-Park-Service-Free-access-to-all-parks/2169755.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lnu97lmvvqckthyyqr4u",Free access to all parks,,2169755,"On January 15, the National Park Service will allow <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169755"">entrance to more than 400 national parks</a> (Joshua Tree National Park pictured) for <b>free</b> in celebration of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091626,2169755"">Martin Luther King, Jr. Day</a>. That's a savings of up to $30 (at Grand Canyon National Park, the most expensive national park) -- or perhaps even more, if the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091629,2169755"">National Park Service's proposal</a> goes into effect.<br>
<br>
Note: Admission will also be free on April 21 (first day of National Park Week), September 22 (National Public Lands Day), and November 11 (Veterans Day). Admission to most national parks is usually free; <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091632,2169755"">click here</a> for a list of parks that offer free admission these days."
free shipping w/ Prime,2018-01-02T00:01:00-05:00,,KITCHEN,,Soufull Stainless Steel Poultry Scissors,https://www.dealnews.com/Soufull-Stainless-Steel-Poultry-Scissors-for-9-free-shipping-w-Prime/2169485.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stvamjek2izwihfqpmnd",$9,,2169485,"yichengjin via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169485"">Soufull Multi-Functional Stainless Steel Scissors</a> for $12.88. Coupon code ""black855"" cuts that to <strong>$8.55</strong>. Plus, Prime members bag <strong>free shipping</strong>. Deal ends January 31."
free shipping,2018-01-02T02:01:55-05:00,,SMARTWATCHES,4,Lemfo Men's LF19 Digital Smartwatch,https://www.dealnews.com/Lemfo-Mens-LF19-Digital-Smartwatch-for-19-free-shipping/2169878.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lqv696c4wt0ghmzzw9u0",$19,,2169878,"Lemfo via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169878"">Lemfo Men's LF19 Digital Smartwatch</a> for $28.99. Coupon code ""6T4UEX3P"" cuts that to <strong>$18.84</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $8, although we saw it for $2 less in November. It's compatible with iOS and Android and features activity, distance, and calorie tracking, app notifications, and water resistance to 165 feet. Deal ends January 15."
free shipping w/ Prime,,,COFFEE,4,Folgers Half-Caff Ground Coffee 25-oz. Jar,https://www.dealnews.com/Folgers-Half-Caff-Ground-Coffee-25-oz.-Jar-for-3-w-25-purchase-free-shipping-w-Prime/2169875.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rtm46lbofyf1k2fzzf4c",$3 w/ $25 purchase,2018-01-02T01:48:12-05:00,2169875,"With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169875"">Folgers Half-Caff Ground Coffee 25.4-oz. Jar</a> in Medium Roast for <strong>$3.41</strong> with <strong>free shipping</strong>. That's $3 under what you'd pay in-store locally.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.<br>
<br>
Stocking up? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091782,2169875"">Sam's Club</a> charges the same but with a two-item minimum."
free shipping,2018-01-02T01:27:09-05:00,True,SHOES,4,Sperry Men's Cutwater Deck Boots,https://www.dealnews.com/Sperry-Mens-Cutwater-Deck-Boots-for-48-free-shipping/2169872.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vhcylpfzl6omzn21ecwy",$48,,2169872,"Sperry offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169872"">Sperry Men's Cutwater Deck Boots</a> in several colors (Grey/Black pictured) for <strong>$47.98</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $22. They're available in select sizes from 7 to 14."
free shipping w/ Prime,2018-01-02T01:12:56-05:00,,BEAUTY,4,30 Alba Botanica Hawaiian Detox Towelettes,https://www.dealnews.com/30-Alba-Botanica-Hawaiian-Detox-Towelettes-for-1-w-25-purchase-free-shipping-w-Prime/2169869.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j6ci8myvtzauyzruod24",$1 w/ $25 purchase,,2169869,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169869"">Alba Botanica Hawaiian Detox Towelettes 30-Count Pack</a> for $2.94. Clip the $2 off coupon to cut the price to <strong>94 cents</strong>. Plus, Prime members receive <strong>free shipping</strong>. That's $5 under what you'd pay in-store locally. These volcanic clay towelettes are free of alcohol, artificial colors, fragrances, parabens, phthalates, or sulfates.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more."
free shipping,2018-01-02T00:55:09-05:00,,TOYS & HOBBIES,2,Fisher-Price Disney Rapunzel's Musical Tower,https://www.dealnews.com/Fisher-Price-Disney-Rapunzels-Musical-Tower-for-35-free-shipping/2169866.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/v0zkrurrnkl3kgqrof9d",$35,,2169866,"Shopping Prime via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169866"">Fisher-Price Little People Disney Princess Rapunzel's Flynn Figure Musical Tower</a> for <strong>$34.97</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $10. It features Rapunzel and Flynn figures, a crank elevator, and a musical fireplace."
free shipping w/ Prime,2018-01-02T00:42:02-05:00,,TOYS & HOBBIES,3,Guardians of the Galaxy Music Mix Star-Lord,https://www.dealnews.com/Guardians-of-the-Galaxy-Music-Mix-Star-Lord-for-5-w-25-purchase-free-shipping-w-Prime/2169863.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/i57wdcniedqcbpry0qtm",$5 w/ $25 purchase,,2169863,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169863"">Marvel Guardians of the Galaxy Electronic Music Mix Star-Lord</a> for <strong>$5.25</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $3. It includes the figure, two accessories, and a mix tape. It requires two AA batteries, included.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more."
free shipping w/ Prime,2018-01-02T00:29:59-05:00,,TOYS & HOBBIES,2,Minecraft Birch Forest Biome Playset,https://www.dealnews.com/Minecraft-Birch-Forest-Biome-Playset-for-6-w-25-purchase-free-shipping-w-Prime/2169860.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ndf1o6ljwncmg72aawhu",$6 w/ $25 purchase,,2169860,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169860"">Minecraft Birch Forest Biome Playset</a> for <strong>$6.17</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It includes a witch on fire figure, birch tree, two wall panels, floor, and lava tiles.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more."
free shipping w/ Prime,,True,TOYS & HOBBIES,3,Star Wars Kylo Ren Electronic Figure,https://www.dealnews.com/Star-Wars-Kylo-Ren-Electronic-Figure-for-7-w-25-purchase-free-shipping-w-Prime/2169857.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bsbarpm4vtloyj8dnxuu",$7 w/ $25 purchase,2018-01-02T04:15:50-05:00,2169857,"With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169857"">Star Wars Kylo Ren Electronic Figure</a> for <strong>$7.24</strong> with <strong>free shipping</strong>. That's $4 under last week's mention and the lowest price we could find by $4. It features over 60 motion-activated sound effects and phrases and a light-up lightsaber.<br>
<br>
Also available is the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091779,2169857"">Star Wars: Rogue One Electronic Duel Imperial Death Trooper</a> for <strong>$7.29</strong> with <strong>free shipping</strong>. That's $2 under last week's mention and the lowest price we could find by $7. This 12"" figure features lights and sound effects.<br>
<br>
Note: These items are part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more."
free shipping w/ Prime,,True,TOYS & HOBBIES,3,Cars 3 Talkin' Race Pals Lightning McQueen,https://www.dealnews.com/Cars-3-Talkin-Race-Pals-Lightning-Mc-Queen-for-6-w-25-purchase-free-shipping-w-Prime/2169851.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tfi5bzwg3d6hnulvhvn6",$6 w/ $25 purchase,2018-01-02T04:03:28-05:00,2169851,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169851"">Just Play Cars 3 Talkin' Race Pals Lightning McQueen Plush</a> for <s>$5.37</s> <strong>$5.68</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $15. It requires three AA batteries, included.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more."
,2017-12-31T00:01:00-05:00,,CREDIT CARDS,,Marriott Rewards® Premier Credit Card,"https://www.dealnews.com/lw/click.html?20,2,2168612","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aqgroaw40es5ego2zmp5","Earn 80,000 Bonus Points",,2168612,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168612"">Marriott Rewards® Premier Credit Card</a> and <strong>earn 80,000 Bonus Points</strong> after you <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089679,2168612"">spend $3,000 on purchases</a> in the first 3 months from account opening. Plus, <strong>earn 7,500 Bonus Points</strong> when you add the first authorized user and make a purchase in the first 3 months from account opening. You'll also <strong>earn 5 points</strong> for every $1 spent at 5,700 Marriott locations, <strong>2 points</strong> for every $1 spent on airline tickets purchased directly with the airline, at car rental agencies, and restaurants, and <strong>1 point</strong> everywhere else. Other card features include <strong>1 Free Night Stay</strong> at a Category 1-5 location every year after your account anniversary date, <strong>15 credits</strong> toward your next Elite membership level after account approval and every year after account anniversary, and <strong>1 Elite Credit</strong> for every $3,000 spent on purchases. An $85 annual fee applies. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089682,2168612"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>"
free shipping w/ Prime,,True,TOYS & HOBBIES,4,Maisto RC Rock Crawler Extreme Vehicle,https://www.dealnews.com/Maisto-RC-Rock-Crawler-Extreme-Vehicle-for-13-free-shipping-w-Prime/2169854.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y6cvgutqnp8c8ntenfgd",$13,2018-01-02T04:02:02-05:00,2169854,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169854"">Maisto Remote Control Rock Crawler Extreme Vehicle</a> for <strong>$13.35</strong> with <strong>free shipping</strong>. That's $8 under our mention from a year ago, $12 off list, and the lowest price we've seen. It features front and rear articulated suspension, three motors, and a lightweight body."
pickup at Walmart,,True,TOYS & HOBBIES,2,Kuu Kuu Harajuku HJ5 Concert Stage,https://www.dealnews.com/Kuu-Kuu-Harajuku-HJ5-Concert-Stage-for-13-pickup-at-Walmart/2169848.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tpji9lxqcvp1yffucrgs",$13,2018-01-02T04:15:37-05:00,2169848,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169848"">Kuu Kuu Harajuku HJ5 Concert Stage</a> for <strong>$12.97</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091776,2169848"">Amazon</a> charges the same.) Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the lowest price we could find by $38. It features multiple themed play areas and accessories including a microphone, a G doll, and six Harajuku charms. You can also place a smart phone in the stand to magnify the sound."
