title,price,shipping,editors_choice,hotness,time_modified,url,category,description,uuid,picture_url,time_published
Anker SoundBuds Slim Wireless Earbuds,$19,free shipping w/ Prime,,3,2018-01-07T13:04:42-05:00,https://www.dealnews.com/Anker-Sound-Buds-Slim-Wireless-Earbuds-for-19-free-shipping-w-Prime/2173397.html,HEADPHONES,"AnkerDirect via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173397"">Anker SoundBuds Slim Wireless Earbuds</a> in Blue or Red for <strong>$18.99</strong> with <strong>free shipping</strong>. That's a buck under our September mention and the lowest price we could find now by $9. Features include IPX4 rated water-resistance, 6mm drivers, and three sizes of ear tips.",2173397,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rusu7aqszzk8oniannvc",
Gourmia 6-Quart Pressure Cooker,$50,free shipping,,3,2018-01-07T13:04:03-05:00,https://www.dealnews.com/Gourmia-6-Quart-Pressure-Cooker-for-50-free-shipping/2173457.html,SMALL APPLIANCES,"Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173457"">Gourmia 6-Quart Pressure Cooker</a> in Stainless Steel/Black for <strong>$49.99</strong> with <strong>free shipping</strong>. That's $10 under our mention from three weeks ago, $70 off, and the lowest price we could find. It features a keep-warm function, touchpad controls, and a digital display.",2173457,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mgpuvznwjp5onumfvv2s",
Chase Freedom Unlimited® Card,Earn a $150 bonus,,,,,"https://www.dealnews.com/lw/click.html?20,2,2173271",CREDIT CARDS,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173271"">Chase Freedom Unlimited® Card</a> and <strong>earn a $150 Bonus</strong> after you spend $500 on purchases in your first three months from account opening. Plus, receive a <strong>0% Intro APR</strong> for 15 months on purchases and balance transfers. (After that, variable APR, currently 15.99% - 24.74%.) Other card features include earning <strong>unlimited 1.5% cash back</strong> on every purchase. It's automatic! Redeem for cash back - any amount, anytime and your Cash Back rewards do not expire as long as your account is open. Plus, there's <strong>no annual fee</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099087,2173271"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",2173271,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ydfbhq1eoc6ncmebhug2",2018-01-06T12:54:19-05:00
Smart Color Art Dual Tip Brush Pen 48-Pack,$16,free shipping,,3,2018-01-07T13:03:35-05:00,https://www.dealnews.com/Smart-Color-Art-Dual-Tip-Brush-Pen-48-Pack-for-16-free-shipping/2173484.html,CRAFTS,"Smart Color Art via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173484"">Smart Color Art Dual Tip Brush Pen 48-Pack</a> for <strong>$15.79</strong> with <strong>free shipping</strong>. That's $11 under our June mention and the lowest price we could find by $2.",2173484,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kdeccn1d90sn8dl8f20p",
WD 8TB Easystore USB 3.0 Desktop Hard Drive,$160,free shipping,,3,2018-01-07T13:03:19-05:00,https://www.dealnews.com/WD-8-TB-Easystore-USB-3.0-Desktop-Hard-Drive-for-160-free-shipping/2173466.html,EXTERNAL HARD DRIVES,"Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173466"">Western Digital 8TB Easystore USB 3.0 Desktop Hard Drive</a> for <strong>$159.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $25, although we saw this for $20 less last month. It includes WD Backup and Drive Utilities software and also comes with a choice of $20 Shutterfly Credit or 8x8"" Photo Book.",2173466,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t21o077beszlarpx6tut",
Refurb Asus ZenFone 3 16GB Android Phone,$70 after rebate,free shipping,,4,2018-01-07T13:08:13-05:00,https://www.dealnews.com/Refurb-Asus-Zen-Fone-3-16-GB-Android-Phone-for-70-after-rebate-free-shipping/2173460.html,ANDROID PHONES,"Newegg offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173460"">Unlocked Asus ZenFone 3 Max 16GB 4G LTE GSM Android Smartphone</a> in Gray for <strong>$69.99</strong> via the instructions below. With <strong>free shipping</strong>, that's $10 under last month's mention, $60 under the lowest price we could find for a new unit and the best price we've seen in any condition. The phone features a 4,100mAh battery, which lasts up to 30 days on standby and doubles as a power bank. Additional features include an MediaTek MT6737 1.25GHz quad-core processor, 5.2"" 1280x720 (720p) IPS touchscreen LCD, 2GB RAM, 16GB storage, 13-megapixel rear camera, 5-megapixel front-facing camera, 1080p video recording, 802.11n wireless, Bluetooth 4.0, microSD card slot, fingerprint sensor, and Android 6.0 OS (Marshmallow). Deal ends January 31. To get this deal:
<ol>
 <li>Add the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173460"">Unlocked Asus ZenFone 3 Max 16GB 4G LTE GSM Android Smartphone</a> to cart for $89.99
 </li>
 <li>coupon code ""EMCSPEPV3"" cuts it to $79.99
 </li>
 <li>redeem this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099201,2173460"">$10 rebate</a> for a final price of <strong>$69.99</strong>
 </li>
</ol>
Note: A 90-day warranty applies but it's unclear who covers it.",2173460,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o2zbpydgwfynazwy0izy",
Refurb Hitachi 4-Gal. Portable Air Compressor,$84,$9 shipping,,3,2018-01-07T13:02:53-05:00,https://www.dealnews.com/Refurb-Hitachi-4-Gal.-Portable-Air-Compressor-for-84-9-s-h/2173436.html,POWER TOOLS,"Big Sky tool offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173436"">Hitachi 4-Gallon Portable Electric Twin Stack Air Compressor</a> for <strong>$83.97</strong> plus around <strong>$9</strong> for shipping. That's $6 under our mention from last April and about $59 under the lowest price we could find for a new unit. It weighs 53 lbs. and features a 15-amp direct-drive induction motor, cast iron pump, steel-encased gauges, and thermal overload protection.<br>
<br>
Note: A 1-year Hitachi warranty applies.",2173436,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qgid17zwychpns7kvit9",
Texsport BBQ Swivel Grill,$32,free shipping,,3,2018-01-07T12:53:55-05:00,https://www.dealnews.com/Texsport-BBQ-Swivel-Grill-for-32-free-shipping/2173454.html,BBQS & GRILLS,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173454"">Texsport Heavy Duty Outdoor Barbecue Swivel Grill</a> for <strong>$32.09</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099198,2173454"">Amazon</a> charges the same.) That's $6 under our November mention and the lowest price we could find by $5. It features a 24"" x 16"" cooking surface and is height adjustable to 17"".",2173454,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vdnwc5tdtn87mzixvecs",
Alpine Swiss Men's Grant Jacket,$25,free shipping,,5,,https://www.dealnews.com/Alpine-Swiss-Mens-Grant-Jacket-for-25-free-shipping/2173451.html,COATS,"Art of Deals via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173451"">Alpine Swiss Men's Grant 28"" Open Bottom Jacket</a> in Black or Gray for <strong>$24.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099195,2173451"">Alpine Swiss Store via Amazon</a> charges the same.) That's $5 under our mention from two weeks ago, $150 off list, and the lowest price we've seen. It's available in sizes S to XXL.",2173451,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ndxuol53zy3zdieppmbe",2018-01-07T11:24:00-05:00
Covington Men's Sheffield Loafers,$13,free pickup at Sears,,5,,https://www.dealnews.com/Covington-Mens-Sheffield-Loafers-for-13-free-pickup-at-Sears/2173442.html,SHOES,"Sears offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173442"">Covington Men's Sheffield Loafers</a> in Black or Brown for $14.78. Coupon code ""SAVINGS"" cuts it to <b>$12.56</b>. Choose in-store <b>pickup</b> to dodge the $4.49 shipping charge, or spend $25 or more to qualify for free shipping. That's $47 off list and the best price we could find. They're available in sizes 7.5 to 13.",2173442,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iqp6recnmrhgj53uawxa",2018-01-07T11:12:00-05:00
Tool Storage and Organization at Amazon,Up to extra $30 off,free shipping,,3,2018-01-07T12:53:01-05:00,https://www.dealnews.com/Tool-Storage-and-Organization-at-Amazon-Up-to-extra-30-off-free-shipping/2173400.html,TOOL STORAGE & ORGANIZATION,"Amazon discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099186,2173400"">tool storage and organization items</a>. Plus, some items receive <b>up to an extra $30 off</b> via on-page clippable coupons. All these orders receive <strong>free shipping</strong>. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173400"">Waterloo 26"" Wide 5-Drawer Tool Chest</a> for <strong>$174.99</strong> via the on-page $10 clippable coupon (pictured, $10 low)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099177,2173400"">CAT 5-Drawer Ball Bearing Tool Chest</a> for <strong>$204.95</strong> (low by $30)
 </li>
</ul>",2173400,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eyghuiqzz1zpaytgaox5",
Alkai Men's Griffin Polarized Sunglasses,$10,free shipping w/ Prime,,3,2018-01-07T12:51:41-05:00,https://www.dealnews.com/Alkai-Mens-Griffin-Polarized-Sunglasses-for-10-free-shipping-w-Prime/2173394.html,SUNGLASSES,"AKASO-Store via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173394"">Alkai Men's Griffin Sport Polarized Sunglasses</a> in Black/Red or Black/Silver for <strong>$9.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $7. Features include TR90 frame material and 100% UV protection.",2173394,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yl8qjyhe6m23m3ez3i8b",
Southwest Rapid Rewards® Plus Credit Card,"40,000 points",,,,,"https://www.dealnews.com/lw/click.html?20,2,2173211",CREDIT CARDS,"Sign up for a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173211"">Southwest Rapid Rewards® Plus Credit Card from Chase</a> and earn <strong>40,000 points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099024,2173211"">$1,000 or more</a> in the first three months your account is open. You'll also earn <strong>3,000 bonus points</strong> after your Cardmember anniversary. Plus, earn unlimited points that don't expire as long as your card account is open. Cardmembers earn 2 points per $1 spent on Southwest® purchases and Rapid Rewards® Hotel and Car Rental Partner purchases, and 1 point per $1 spent on all other purchases. There are no blackout dates or seat restrictions when you redeem with points. Finally, bags fly free® and there are no change fees. A $69 annual fee applies.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",2173211,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bdvpkwrdh3pw8ey7wvmq",2018-01-06T11:44:21-05:00
New Balance Men's Strobe Sneakers,$30,$1 shipping,,4,2018-01-07T12:51:15-05:00,https://www.dealnews.com/New-Balance-Mens-Strobe-Sneakers-for-30-1-s-h/2173430.html,SHOES,"Ending today, Joe's New Balance Outlet offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173430"">New Balance Men's Strobe Running Shoes</a> in Black for <b>$29.99</b>. Coupon code ""DOLLARSHIP"" unlocks <b>$1</b> for shiping. That's tied with our expired mention from three days ago and the lowest price we could find by $21. They're available in regular and wide widths in select sizes from 8 to 13.",2173430,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zn3grmvziincih1ftcln",
Lapasa Men's Full Zip Polar Fleece Jacket,from $16,free shipping w/ Prime,,3,2018-01-07T12:41:57-05:00,https://www.dealnews.com/Lapasa-Mens-Full-Zip-Polar-Fleece-Jacket-from-16-free-shipping-w-Prime/2173373.html,COATS,"ASAS.USA via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173373"">Lapasa Men's Full Zip Polar Fleece Jacket</a> in Blue or Grey for $19.99. Coupon code ""A9FRLDRG"" cuts that price to <strong>$15.99</strong>. With <strong>free shipping</strong> for Prime members, that's $2 under last month's mention, $15 off list, and the lowest price we could find. It's available in sizes S and XXL only. Deal ends January 31.<br>
<br>
Note: It's available in a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099162,2173373"">wider selection</a> of sizes and colors for <strong>$20.79</strong> via the same code as above.",2173373,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gn4ciazslqdpvtfb1bfm",
Tseoa 12-Piece Manicure Set,$5,free shipping w/ Prime,,4,2018-01-07T12:50:33-05:00,https://www.dealnews.com/Tseoa-12-Piece-Manicure-Set-for-5-free-shipping-w-Prime/2173370.html,PERSONAL CARE,"Tseoa Direct via Amazon offers Prime members its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173370"">Tseoa 12-Piece Manicure Set</a> for <strong>$5.45</strong> with <b>free shipping</b>. That's tied with our October mention as the lowest price we've seen. (It's the best today by $2.) The set includes cuticle nippers, nail clippers, nail scissors, and ear pick. Deal ends February 15.",2173370,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/scd3autjy1jjid3stgmu",
Lapasa Women's Yoga Pants,$7,free shipping w/ Prime,,3,2018-01-07T12:38:30-05:00,https://www.dealnews.com/Lapasa-Womens-Yoga-Pants-for-7-free-shipping-w-Prime/2173376.html,ACTIVEWEAR,"ASAS.USA via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173376"">Lapasa Women's Yoga Pants</a> in Jade for $9.99. Coupon code ""Q7ZKBORN"" cuts it to <strong>$7.49</strong>. With <strong>free shipping</strong> for Prime members, that's $3 off list and the lowest price we could find. They're available in sizes M to XL. Deal ends January 31.<br>
<br>
Note: They're available in a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099165,2173376"">wider selection</a> of sizes and colors for <strong>$14.99</strong> via the same code as above.",2173376,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/malbpw0qxwmi0axzykpc",
Austrian Crystal Tennis Bracelet 5-Pack,$10,free shipping,,3,2018-01-07T13:00:24-05:00,https://www.dealnews.com/Austrian-Crystal-Tennis-Bracelet-5-Pack-for-10-free-shipping/2173391.html,JEWELRY,"Win Pearl offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173391"">Austrian Crystal Tennis Bracelet 5-Pack</a> for $46.99. Coupon code ""dealnews78"" cuts that to <strong>$10.34</strong>. With <strong>free shipping</strong>, that's $4 under our November mention, $40 off, and the lowest price we could find. It includes five different styles. Deal ends January 10.",2173391,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aowuhrncprnejpdhuqqi",
Kitclan Magnet Wristband,$9,free shipping w/ Prime,,3,2018-01-07T12:56:11-05:00,https://www.dealnews.com/Kitclan-Magnet-Wristband-for-9-free-shipping-w-Prime/2173385.html,TOOLS & HARDWARE,"Kitclan via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173385"">Kitclan Magnet Wristband</a> for $12.99. Coupon code ""LVX6HH39"" cuts it to <strong>$8.70</strong>. With <strong>free shipping</strong> for Prime members, that's $4 off list and the lowest price we could find. It features an adjustable velcro strap, 1,680-denier ballistic polyester construction, and five powerful magnets. Deal ends January 9.",2173385,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uxoi76moaf0lbizoh1d9",
Tacklife Stainless Steel Digital Caliper,$13,free shipping w/ Prime,,4,2018-01-07T12:50:16-05:00,https://www.dealnews.com/Tacklife-Stainless-Steel-Digital-Caliper-for-13-free-shipping-w-Prime/2173379.html,TOOLS & HARDWARE,"Tacklife Direct via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173379"">Tacklife Stainless Steel Digital Caliper</a> for $17.97. Coupon code ""64GTMDPV"" cuts it to <strong>$12.58</strong>. With <strong>free shipping</strong> for Prime members, that's $4 under our mention from last November and the lowest price we could find by $16. It features three measuring modes and an LCD screen. Deal ends January 10.",2173379,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x7wdqlaleqgpfunrue2e",
Tacklife EM02 Classic Power Meter,$15,free shipping w/ Prime,,4,2018-01-07T12:49:23-05:00,https://www.dealnews.com/Tacklife-EM02-Classic-Power-Meter-for-15-free-shipping-w-Prime/2173382.html,TOOLS & HARDWARE,"Tacklife via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173382"">Tacklife EM02 Classic Power Meter</a> for $19.97. Coupon code ""XML7D4EH"" cuts it to <strong>$14.78</strong>. With <strong>free shipping</strong> for Prime members, that's a buck under our mention from last September and the lowest price we could find today by $10. It features an LCD display, four controlling buttons, overload protection, and data hold. Deal ends January 10.",2173382,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vnsuuncf2hgmkvsidqp5",
Tacklife 12-in-1 Stainless Steel Multi-Pliers,$6,free shipping w/ Prime,True,4,2018-01-07T12:48:09-05:00,https://www.dealnews.com/Tacklife-12-in-1-Stainless-Steel-Multi-Pliers-for-6-free-shipping-w-Prime/2173388.html,KNIVES & MULTITOOLS,"TacklifeDirect via Amazon offers Prime members its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173388"">Tacklife Advanced 12-in-1 Stainless Steel Multi-Pliers</a> in All Metal for <b>$5.97</b> with <strong>free shipping</strong>. That's $3 under our mention from three days ago, $22 off list, and the lowest price we've seen. It includes a carrying case.",2173388,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eb3crqomzovj7yqgztkg",
4 Months of DirecTV Now w/ Apple TV 4K 32GB,$140,free shipping,,,,https://www.dealnews.com/4-Months-of-Direc-TV-Now-w-Apple-TV-4-K-32-GB-for-140-free-shipping/2173253.html,"MOVIES, TV SHOWS & VIDEOS","At DirecTV Now, prepay for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099066,2173253"">four months of DirecTV Now service</a> for <b>$140</b> ($35/month) and receive the recently-released <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173253"">Apple TV 4K 32GB Media Receiver</a> for <b>free</b> via the steps below. It features Apple's A10X Fusion chip, which is 2x faster and provides 4x GPU performance over the previous generation Apple TV. It also supports 4K HDR content via HDR 10 and Dolby Vision. This deal includes the ""Live a Little"" package from DirecTV Now, which offers over 60 channels to stream live, with many shows available on demand. After four months, you'll be billed $35/month for the service, but you may cancel at any time. To get this deal:
<ol>
 <li>On <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099069,2173253"">this page</a>, click ""Redeem &amp; Stream""
 </li>
 <li>create your account
 </li>
 <li>select the ""Live a Little"" tab and click ""Continue with this plan""
 </li>
 <li>on the add-ons page, click ""Skip for now""
 </li>
 <li>choose the Apple TV 4K and click ""Add to plan"", then click ""Continue""
 </li>
 <li>you'll see a final price of <b>$140</b> on the checkout page
 </li>
</ol>
Note: You must use Chrome or Safari as your browser to get this deal.",2173253,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e0ocpnku7nfbwmiqbqfc",2018-01-07T00:01:00-05:00
Dr. Meter Soft Baby Proof Corner Guard 24pk,$6,free shipping w/ Prime,,3,2018-01-07T12:55:24-05:00,https://www.dealnews.com/Dr.-Meter-Soft-Baby-Proof-Corner-Guard-24-pk-for-6-free-shipping-w-Prime/2173367.html,BABIES & KIDS ITEMS,"Thousand Shore Inc. via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173367"">Dr. Meter Soft Baby Proofing Corner Guards 24-Pack</a> for $10.99. Coupon code ""BDB8MBVX"" cuts it to <strong>$6</strong>. With <strong>free shipping</strong> for Prime members, that's $5 off list and the lowest price we could find. It includes 12 L-shaped corner guards and 12 ball-shaped corner guards. Deal ends January 12.",2173367,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ah52s9gxvvwwgqnpxdpg",
Harper's Bazaar 1-Year Subscription,10 issues for free,,True,3,2018-01-07T12:47:34-05:00,https://www.dealnews.com/Harpers-Bazaar-1-Year-Subscription-10-issues-for-free/2173364.html,MAGAZINES,"Mercury Magazines offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173364"">Harper's Bazaar 1-Year Subscription</a> (10 issues) for <strong>free</strong> when you fill out a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099159,2173364"">short form</a>. That's tied with our September mention and the lowest price we could find by $15 today.",2173364,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iecywupno3btezp2q2yc",
Rocket League for PC,$8,,,2,2018-01-07T12:56:57-05:00,https://www.dealnews.com/Rocket-League-for-PC-for-8/2173361.html,PC GAMES,"CDKeys offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173361"">Rocket League for Windows</a> for <strong>$7.89</strong>. That's the best price we could find for this soccer-meets-driving game by $8, although it was pennies less two weeks ago.<br>
<br>
Note: New customers can provide an email address on the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099156,2173361"">CDKeys Facebook page</a> to get a unique coupon code that cuts an extra 5% off.",2173361,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r7hqvdsmyhyxvz1cfwsd",
"Electric Fireplace with 44"" Mantle",$117,pickup at Walmart,True,3,2018-01-07T12:46:53-05:00,https://www.dealnews.com/Electric-Fireplace-with-44-Mantle-for-117-pickup-at-Walmart/2173358.html,HEATERS,"Walmart offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173358"">Electric Fireplace with 44"" Mantle</a> in Black for $119. Opt for in-store <strong>pickup</strong> to drop it to <b>$116.91</b>. (You can also opt for free shipping if you aren't interested in the pickup discount.) That's $10 under our mention from a week ago, $64 off list, and the lowest price we've seen. This 3,750-BTU fireplace is designed to heat rooms up to 325 square feet.",2173358,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zqd6ynhq0oavkswgccml",
