category,shipping,time_published,uuid,price,editors_choice,picture_url,time_modified,description,hotness,url,title
SHOES,free s&h w/beauty item,2018-01-05T13:09:45-05:00,2172701,$34,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tn2blxyhe73u4y4sdqna",,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172701"">Guess Women's Verna Banded Jogger Sneakers</a> in Black or Silver for $39.99. Coupon code ""WKND"" drops it to <b>$33.99</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098178,2172701"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. Excluding padding, that's the lowest price we could find by $35. They're available in select sizes from 5 to 11. Deal ends January 7.",2,https://www.dealnews.com/Guess-Womens-Verna-Banded-Jogger-Sneakers-for-34-free-s-h-w-beauty-item/2172701.html,Guess Women's Verna Banded Jogger Sneakers
HOME & GARDEN,free shipping w/ Prime,,2172722,$9,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/chgodrafmzmgpheai8iz",2018-01-05T17:39:17-05:00,"MaidMax via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172722"">MaidMAX Foldable Storage Cube 6-Pack</a> in Beige for $18.49. Coupon code ""RLVTAIXE"" cuts it to <strong>$9</strong>. With <strong>free shipping</strong> for Prime members, that's $9 off and the lowest price we could find. They each measure 10.5"" x 10.5"" x 11"" and feature label holders and sewn in handles. Deal ends January 31.",4,https://www.dealnews.com/Maid-MAX-Foldable-Storage-Cube-6-Pack-for-9-free-shipping-w-Prime/2172722.html,MaidMAX Foldable Storage Cube 6-Pack
SHIRTS,free s&h w/beauty item,2018-01-05T12:58:19-05:00,2172713,$28,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qa8e27nkcmxu7eizgzfh",,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172713"">Guess Men's Chalk Cotton Button Down Shirt</a> in Graffiti-Print for <strong>$27.53</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098262,2172713"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $41 off and the lowest price we could find. It's available in sizes S to L.",1,https://www.dealnews.com/Guess-Mens-Chalk-Cotton-Button-Down-Shirt-for-28-free-s-h-w-beauty-item/2172713.html,Guess Men's Chalk Cotton Button Down Shirt
LIGHT BULBS,free shipping w/ Prime,2018-01-05T12:55:44-05:00,2172716,$9,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fjnyrijrwpptx2vmcokd",,"Oak Leaf via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172716"">LuminWiz 9-watt (65-watt Equivalent) BR30 E26 Dimmable LED Light Bulb 4-Pack</a> in Crystal White or Warm White for $12.99. Coupon code ""DMPZZ9RZ"" drops it to <strong>$8.99</strong>. Plus, Prime members receive <strong>free shipping</strong>. That's $2.25 per bulb, $4 off, and the lowest price we could find. (It's also $3 under our November mention.) These bulbs feature a lifespan of up to 25,000 hours. Deal ends January 31.",3,https://www.dealnews.com/Lumin-Wiz-9-W-Dimmable-LED-Light-Bulb-4-Pack-for-9-free-shipping-w-Prime/2172716.html,LuminWiz 9W Dimmable LED Light Bulb 4-Pack
LAPTOP BAGS,free shipping,2018-01-05T12:50:15-05:00,2172710,$18,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hzbrjka251cliwfhrt2g",,"Qiker via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172710"">XIXOV Water Resistant 17"" Laptop Backpack</a> in Gray for $29.99. Coupon code ""IRYIEITC"" drops it to <b>$17.99</b>. With <b>free shipping</b>, that's tied with our mention from two weeks ago, $12 off list, and the lowest price we've seen. It features a USB charger, adjustable shoulder straps and holds laptops up to 17"". Deal ends January 31.",3,https://www.dealnews.com/XIXOV-Water-Resistant-17-Laptop-Backpack-for-18-free-shipping/2172710.html,"XIXOV Water Resistant 17"" Laptop Backpack"
SWEATERS,free s&h w/beauty item,2018-01-05T12:29:13-05:00,2172698,$22... or less,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cdxwm1i6hk2yn3ium4d1",,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172698"">Guess Women's Sleeveless Ruffled Sweater</a> in Black or Red for <b>$21.99</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098169,2172698"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $18 below our November mention, $47 off list, and the lowest price we could find (outside of the seller below). It's available in sizes XS to XL. Deal ends January 7.<br>
<br>
Wear size XL? With very limited stock that's likely to sell out, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098172,2172698"">Amazon</a> offers it for as low as <strong>$10.85</strong> with <strong>free shipping</strong> for Prime members.",3,https://www.dealnews.com/Guess-Womens-Sleeveless-Ruffled-Sweater-for-22...-or-less-free-s-h-w-beauty-item/2172698.html,Guess Women's Sleeveless Ruffled Sweater
SMALL APPLIANCES,free shipping,2018-01-05T12:22:13-05:00,2172689,$60,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yt3jkmdzyhkmk5jpyqwf",,"Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172689"">Gourmia 8-Quart Electric Pressure Cooker</a> for <b>$59.99</b> with <b>free shipping</b>. That's the lowest price we could find by $59. It features 13 settings, timer, and includes a steam rack, measuring cup, and spoon.",3,https://www.dealnews.com/Gourmia-8-Quart-Electric-Pressure-Cooker-for-60-free-shipping/2172689.html,Gourmia 8-Quart Electric Pressure Cooker
BOOKS,pickup at Walmart,2018-01-05T12:19:37-05:00,2172695,$20,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/oed85sphxcstaxhldsrj",,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172695""><i>Ultimate LEGO Star Wars</i> Hardcover Book</a> for <strong>$20</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098163,2172695"">Amazon</a> charges the same.) Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $4.",3,https://www.dealnews.com/Ultimate-LEGO-Star-Wars-Hardcover-Book-for-20-pickup-at-Walmart/2172695.html,Ultimate LEGO Star Wars Hardcover Book
LAPTOPS,free shipping,,2172632,$130,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ehdoxqlqtmadoyfmpv4o",2018-01-05T16:47:28-05:00,"MacMall offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172632"">Lenovo ThinkPad X131e AMD E-300 1.3GHz 11.6"" Notebook</a> for <strong>$129.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $40. It features an AMD E-300 1.3GHz processor, 11.6"" 1366x768 LCD, 4GB RAM, 320GB hard drive, and Windows 10 Home 64-bit.<br>
<br>
Note: No warranty information is provided.",3,https://www.dealnews.com/Refurb-Lenovo-AMD-1.3-GHz-12-Notebook-for-130-free-shipping/2172632.html,"Refurb Lenovo AMD 1.3GHz 12"" Notebook"
EXTERNAL HARD DRIVES,free shipping,2018-01-05T12:13:43-05:00,2172692,$60,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/oydkcc4qpkaieflq6vqt",,"Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172692"">Western Digital 2TB easystore Portable USB 3.0 External Hard Drive</a> in Black for <strong>$59.99</strong> with <strong>free shipping</strong>. That's tied with our mention from a week ago, $70 off, and the lowest price we've seen. It features a data transfer rate of up to 5Gb/s.",3,https://www.dealnews.com/WD-2-TB-Portable-USB-3.0-Hard-Drive-for-60-free-shipping/2172692.html,WD 2TB Portable USB 3.0 Hard Drive
SHAVING & GROOMING,free shipping,2018-01-05T12:12:56-05:00,2172677,$2,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yf3wcld6hmjske7oziwl",,"Dorco offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172677"">Dorco Men's Pace 6 Plus Razor with Two Cartridges</a> for $6.50. Coupon code ""AFP6P199A"" cuts it to <strong>$1.99</strong>. With <strong>free shipping</strong>, that's tied with our mention from last September, a savings of $5, and the lowest price we could find. This 6-blade razor features a rubber grip and includes two blade cartridges.",3,https://www.dealnews.com/Dorco-Pace-6-Plus-Razor-w-2-Cartridges-for-2-free-shipping/2172677.html,Dorco Pace 6 Plus Razor w/ 2 Cartridges
DECOR,$4 pickup at JCPenney,,2172686,from $6,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nrsecxmbm2v0hxvbcvnm",2018-01-05T12:11:44-05:00,"JCPenney discounts the Liz Claiborne Ainsley Rod-Pocket Panel Curtains in the sizes listed below via coupon code ""4DEALS"". Choose <strong>$3.95</strong> in-store pickup to dodge the $8.95 shipping fee. Deal ends January 10. The sizes, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172686"">50x84"" Panel</a> for <strong>$5.99</strong> (pictured, $34 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098133,2172686"">50x95"" Panel</a> for <strong>$8.99</strong> ($51 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098136,2172686"">50x108"" Panel</a> for <strong>$11.99</strong> ($68 off)
 </li>
</ul>",3,https://www.dealnews.com/Liz-Claiborne-Ainsley-Curtain-Panel-from-6-4-pickup-at-JCPenney/2172686.html,Liz Claiborne Ainsley Curtain Panel
SHOES,free s&h w/beauty item,2018-01-05T12:03:26-05:00,2172674,$19,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nheb7jas9s7jreuffiiw",,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172674"">G by Guess Women's Oleex Sneakers</a> in Gray for <strong>$19.43</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098106,2172674"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $20 off and the lowest price we could find. They're available in sizes from 6 to 10.",2,https://www.dealnews.com/G-by-Guess-Womens-Oleex-Sneakers-for-19-free-s-h-w-beauty-item/2172674.html,G by Guess Women's Oleex Sneakers
DESKTOPS,free shipping,2018-01-05T11:57:15-05:00,2172644,$503,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fiufcbhsuf9jb3qfdbmd",,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172644"">Dell Inspiron 5675 AMD A10 3.5GHz Gaming Desktop PC</a> for $558.59. Coupon code ""TENOFF"" knocks it to <strong>$502.73</strong>. With <b>free shipping</b>, that's $7 under our mention from a month ago, $97 off list, and the best price we could find. It features an AMD A10-9700 3.5GHz quad-core processor, 8GB RAM, 1TB 7200 rpm hard drive, AMD Radeon RX 560 2GB graphics, DVD burner,Recon Blue LED illumination, and Windows 10 Home 64-bit. Deal ends January 11.",2,https://www.dealnews.com/Dell-AMD-A10-Quad-Desktop-PC-w-2-GB-GPU-for-503-free-shipping/2172644.html,Dell AMD A10 Quad Desktop PC w/ 2GB GPU
DRESSES,free s&h w/beauty item,,2172650,$12,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z3unsvgeqfafahbzbmoj",2018-01-05T16:59:24-05:00,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172650"">Bar III Women's Burnout Bodycon Dress</a> in Dusty Olive for <strong>$11.96</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098043,2172650"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $68 off and the lowest price we could find. It's available in sizes XXS to XXL.",3,https://www.dealnews.com/Bar-III-Womens-Burnout-Bodycon-Dress-for-12-free-s-h-w-beauty-item/2172650.html,Bar III Women's Burnout Bodycon Dress
BEDDING,free s&h w/beauty item,2018-01-05T11:52:49-05:00,2172653,$15,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lsh49yhfubvp2jjze4mb",,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172653"">Tommy Hilfiger Home Supraloft Down Alternative Standard Pillow 2-Pack</a> in Tossed Anchor Print for $24.99. Coupon code ""WKND25"" cuts the price to <strong>$14.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098046,2172653"">beauty item</a> (eligible items start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $35 off list and the lowest price we could find, although we saw them for $5 less in August. Deal ends January 7.",2,https://www.dealnews.com/Tommy-Hilfiger-Home-Supraloft-Pillow-2-Pack-for-15-free-s-h-w-beauty-item/2172653.html,Tommy Hilfiger Home Supraloft Pillow 2-Pack
COMPUTERS,free shipping,,2172659,35% off sitewide,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ybw9207lrm0smvbn1ylz",2018-01-05T16:58:24-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172659"">Dell Refurbished Store</a> takes <strong>35% off</strong> sitewide via coupon code ""WISH35DEAL"". Plus, the same coupon bags <strong>free shipping</strong> on all orders. Some exclusions apply, including clearance items and E7240 models. Deal ends January 8.<br>
<br>
Note: All Dell refurbished systems are covered by a 100-day Dell warranty.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s3007/Dell-Refurbished-Store/"">Dell Refurbished Store Coupons</a>.</p>",3,https://www.dealnews.com/Dell-Refurbished-Store-coupon-35-off-sitewide-free-shipping/2172659.html,Dell Refurbished Store coupon
SHOES,,,2172614,Up to 50% off + coupon,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wo8grdb5xraf2zcfkc5e",2018-01-05T16:15:16-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172614"">Finish Line</a> takes <strong>up to 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097974,2172614"">men's, women's, and kids' apparel and shoes</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097977,2172614"">End of Season Sale</a>. Plus, coupon code ""15WINTER"" cuts an <strong>extra $15 off</strong> orders of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098028,2172614"">$150 or more</a>. Shipping adds <strong>$7</strong>, but select items may qualify for free shipping. Some exclusions may apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s682/Finish-Line/"">Finish Line Coupons</a>.</p>",4,https://www.dealnews.com/Finish-Line-End-of-Season-Sale-Up-to-50-off-coupon/2172614.html,Finish Line End of Season Sale
GIFT CARDS,,2018-01-05T11:51:23-05:00,2172656,$50,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/skkalfcrhwszcwpcamcb",,"Newegg offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172656"">$50 Nike Gift Card</a> bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098055,2172656"">$10 Nike Gift Card</a> for <strong>$50</strong>. (The cards will be delivered by email.) That's a $10 savings, tied with our mention from June, and the lowest price we could find.",2,https://www.dealnews.com/60-in-Nike-Gift-Cards-for-50/2172656.html,$60 in Nike Gift Cards
KITCHEN,free shipping,,2172641,$17,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ktceoeqivfz6ddeycwdn",2018-01-05T16:57:51-05:00,"As Seen On TV via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172641"">Gotham Steel Bacon Bonanza Drip Rack Tray with Pan</a> for <strong>$16.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $8.",3,https://www.dealnews.com/Gotham-Steel-Bacon-Bonanza-Drip-Rack-Tray-for-17-free-shipping/2172641.html,Gotham Steel Bacon Bonanza Drip Rack Tray
CLOTHING & ACCESSORIES,free shipping w/ $75,,2172638,Up to 70% off + 30% off,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xktxdo1tpe80ek1jpa0g",2018-01-05T17:38:39-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172638"">Gap Factory</a> takes <strong>up to 70% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098019,2172638"">men's, women's, and kids' styles</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098022,2172638"">End of Season Clearance Sale</a>. Plus, coupon code ""TOTALLY"" cuts an <strong>extra 30% off</strong>. Better yet, that same coupon bags this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098025,2172638"">Gap Nylon Shopping Tote</a> for <strong>free</strong>. (It will be added to your cart automatically.) Shipping adds <strong>$7</strong>, but orders of $75 or more qualify for free shipping. Deal ends January 8.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s42141/Gap-Factory/"">Gap Factory Coupons</a>.</p>",4,https://www.dealnews.com/Gap-Factory-End-of-Season-Clearance-Sale-Up-to-70-off-30-off-free-shipping-w-75/2172638.html,Gap Factory End of Season Clearance Sale
COATS,free s&h w/beauty item,2018-01-05T11:42:03-05:00,2172635,$40,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x5amzgixyfahapmoolh3",,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172635"">Style &amp; Co. Women's Hooded Anorak Jacket</a> in several colors (Deep Black pictured) for <strong>$39.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098016,2172635"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $40 off and the lowest price we could find, although we saw it for $5 less in October. It's available in sizes from XS to XXL. Deal ends January 7.",2,https://www.dealnews.com/Style-Co.-Womens-Hooded-Anorak-Jacket-for-40-free-s-h-w-beauty-item/2172635.html,Style & Co. Women's Hooded Anorak Jacket
EXERCISE EQUIPMENT,free shipping,,2172611,$18,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t0zva3vfrefxykc6b6e5",2018-01-05T16:57:31-05:00,"Ritz Cameras via eBay offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172611"">Fitbit Flex Wireless Activity and Sleep Tracker Wristband</a> in several colors (Black pictured) for <strong>$17.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find for a refurbished model by $32. It tracks your daily activity and sleep patterns to help you attain your fitness goals.",3,https://www.dealnews.com/Refurb-Fitbit-Flex-Activity-Tracker-Wristband-for-18-free-shipping/2172611.html,Refurb Fitbit Flex Activity Tracker Wristband
VACUUM CLEANERS,free shipping,,2172617,$200,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/c7p7bpdgindj1nwoyubw",2018-01-05T16:57:07-05:00,"Target via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172617"">Dyson Ball Origin Vacuum</a> in Red for <strong>$199.99</strong> with <strong>free shipping</strong>. That's tied with our November mention (although that deal included three add-on tools) and the lowest price we could find by $100. It features a 0.55-gallon capacity, 30-foot cord, and self-adjusting cleaning head.",2,https://www.dealnews.com/Dyson-Ball-Origin-Vacuum-for-200-free-shipping/2172617.html,Dyson Ball Origin Vacuum
AUTOMOTIVE,free shipping,,2172626,$31,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/quhpzjmarannehghgma1",2018-01-05T16:56:58-05:00,"Auking via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172626"">Auking S3 1080p Dash Cam</a> for $46.97. Coupon code ""XL8YRPRS"" cuts it to <strong>$30.53</strong>. With <strong>free shipping</strong>, that's $16 off and the lowest price we could find. It features a 168° viewing angle and a microphone. Deal ends January 31.",3,https://www.dealnews.com/Auking-S3-1080-p-Dash-Cam-for-31-free-shipping/2172626.html,Auking S3 1080p Dash Cam
CLOTHING & ACCESSORIES,free shipping,,2172623,15% off,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lrbwh1w9qzzj1uziyllx",2018-01-05T17:01:30-05:00,"Rakuten takes <strong>15% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097998,2172623"">apparel, shoes, and accessories</a> via coupon code ""APPAREL15"" during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097989,2172623"">New Year's Apparel Sale</a>. (A maximum discount of $15 applies. You must be signed in to your account to use this coupon.) Plus, most orders get <strong>free shipping</strong>. Some exclusions apply. Deal ends January 8. A couple of best bets, both with prices after coupon and <b>free shipping</b>:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097992,2172623"">Aeropostale Women's Solid Athletic Jogger Pants</a> for <b>$28.89</b> (low by $10)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172623"">Alpine Swiss Men's Zach Wool-Blend Overcoat</a> for <b>$29.74</b> (pictured; close in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097995,2172623"">Burgundy</a> at Amazon, low by $6)
 </li>
</ul>
Note: This coupon can only be used once per account.",3,https://www.dealnews.com/Rakuten-New-Years-Apparel-Sale-15-off-free-shipping/2172623.html,Rakuten New Year's Apparel Sale
LIGHTING & LAMPS,free shipping w/ Prime,,2172620,$18,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mocqjktlpizxnetrppkw",2018-01-05T16:56:28-05:00,"Neon Mart via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172620"">LE Portable Bluetooth Speaker Nightlight</a> for $21.99. Coupon code ""KUF6L3GT"" drops it to <b>$18.25</b>. Plus, Prime members bag <b>free shipping</b>. That's a buck under our mention from last May and the lowest price we could find now by $3. It features three brightness levels and a built-in microphone.",3,https://www.dealnews.com/LE-Portable-Bluetooth-Speaker-Nightlight-for-18-free-shipping-w-Prime/2172620.html,LE Portable Bluetooth Speaker Nightlight
MODEMS,free shipping,,2172569,$30,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/l8mrhr2curra6nrycogt",2018-01-05T16:55:37-05:00,"Quick Ship via eBay offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172569"">Netgear CM500 DOCSIS 3.0 Cable Modem</a> for <b>$29.99</b> with <b>free shipping</b>. That's $10 under our November mention for a new one and the lowest price we've seen for this modem in any condition. (It's $30 less than a new one today.) It supports 16 download and four upload channels with speeds up to 680MB/s. It's certified for Comcast Xfinity, Time Warner Cable, Cox, and Charter, among others.<br>
<br>
Note: A 1-year Quick Ship warranty applies.",2,https://www.dealnews.com/Refurb-Netgear-CM500-DOCSIS-3.0-Cable-Modem-for-30-free-shipping/2172569.html,Refurb Netgear CM500 DOCSIS 3.0 Cable Modem
KITCHEN,pickup at Home Depot,2018-01-05T11:24:06-05:00,2172599,$24,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h3cf1hmttpssbd6bd3sk",,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172599"">Basic Essentials 4-Piece Stainless Steel Bar Set</a> for <strong>$23.88</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $16 below the lowest price we could find for a similar set elsewhere. It includes 5.7"" ice tongs, a bottle opener, 2.28-quart ice bucket, and 18-oz. cocktail shaker with built-in strainer and cap. Deal ends January 31.",2,https://www.dealnews.com/Basic-Essentials-Bar-4-Piece-Set-for-24-pickup-at-Home-Depot/2172599.html,Basic Essentials Bar 4-Piece Set
