title,url,picture_url,time_published,description,editors_choice,time_modified,uuid,category,shipping,hotness,price
Philips Norelco Multigroom 5000 Trimmer,https://www.dealnews.com/Philips-Norelco-Multigroom-5000-Trimmer-for-20-pickup-at-Walmart/2168822.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ezfjno9iw6x5vzmtou7t",,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168822"">Philips Norelco Multigroom Series 5000 Trimmer</a> for <b>$20</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089832,2168822"">Amazon</a> charges the same.) Opt for in-store <b>pickup</b> to avoid the $5.99 shipping charge. That's tied with our mention from last week as the lowest price we've seen. (It's the best deal we could find now by $7.) The set includes 18 pieces.",,2017-12-30T15:51:22-05:00,2168822,SHAVING & GROOMING,pickup at Walmart,4,$20
Christmas Items at Home Depot,https://www.dealnews.com/Christmas-Items-at-Home-Depot-50-to-75-off-free-shipping-w-45/2168819.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uwnldruhwucxbatxe5lg",,"Home Depot takes <strong>50% to 75% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089826,2168819"">Christmas trees, lighting, and decor</a>. Choose ship-to-store <strong>pickup</strong> to dodge shipping fees, which start at $5.99, or bag free shipping on orders of $45 or more. (Certain items qualify for no-minimum free shipping.) A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089829,2168819"">LightShow Holiday Projection RGB Ribbon Light 2-Pack</a> for <strong>$4.97</strong> ($15 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168819"">Martha Stewart Living 7.5-ft. Indoor Snowy Norwegian Spruce Artificial Christmas Tree w/ Clear Lights</a> for <strong>$249.50</strong> (pictured, $250 off)
 </li>
</ul>",,2017-12-30T15:19:16-05:00,2168819,SEASONAL/HOLIDAYS,free shipping w/ $45,5,50% to 75% off
Rain-X Latitude Wiper Blades at Amazon,https://www.dealnews.com/Rain-X-Latitude-Wiper-Blades-at-Amazon-Buy-2-get-5-off-free-shipping-w-Prime/2168816.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yblaggzxjlvwpmfpafmx",,"At Amazon, buy <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089820,2168816"">any two Rain-X wiper blades</a>, and get <strong>$5 off</strong> a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089814,2168816"">future purchase at Amazon</a>. (After your order ships you'll receive a code for $5 off a future purchase.) Plus, Prime members receive <strong>free shipping</strong> on all orders. Deal ends January 1. Some best bets, before discount:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168816"">Rain-X Water 26"" Repellency 2-in-1 Wiper Blade</a> for $14.97 (pictured)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089823,2168816"">Rain-X 17"" Latitude Wiper Blade</a> for $14.97
 </li>
</ul>",,2017-12-30T15:50:52-05:00,2168816,AUTOMOTIVE,free shipping w/ Prime,4,"Buy 2, get $5 off"
T-Fal 3-Piece Nonstick Fry Pan Set,https://www.dealnews.com/T-Fal-3-Piece-Nonstick-Fry-Pan-Set-for-15-free-s-h-w-beauty-item/2168813.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yhfpmsbvzigmr0rw2opj",,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168813"">T-Fal 3-Piece Nonstick Fry Pan Set</a> for <strong>$14.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089805,2168813"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. Minus padding, that's tied with our mention from two weeks ago as the best non-rebate price we've seen for this set. (Outside of the deal below, it's $15 under the lowest price we could find for a similar 3-piece set.) It includes 8"", 9.5"", and 12"" pans, all of which are dishwasher-safe and oven-safe to 350°. Deal ends today.<br>
<br>
Note that <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089808,2168813"">Amazon</a> charges the same, with free shipping for Prime members.",True,2017-12-30T15:35:00-05:00,2168813,KITCHEN,free s&h w/beauty item,3,$15
Breville Nespresso Creatista Plus,https://www.dealnews.com/Breville-Nespresso-Creatista-Plus-for-330-free-shipping/2168810.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xe0xocfxah34jgahzgni",2017-12-30T09:39:53-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168810"">Breville Nespresso Creatista Plus Espresso and Coffee Maker</a> for <strong>$329.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $89. It features auto-frothing with eight texture levels and 11 milk temperature settings, multiple beverage selections, an LCD display, 1.5-liter water tank, and 19 bars of pressure.",,,2168810,SMALL APPLIANCES,free shipping,3,$330
Aeropostale End of Season Clearance Sale,https://www.dealnews.com/Aeropostale-End-of-Season-Clearance-Sale-70-to-80-off-free-shipping-w-75/2168807.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qbobumvupqaj8am5jz3s",,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168807"">Aeropostale</a> takes <strong>70% to 80% off</strong> all <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089796,2168807"">clearance items</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089799,2168807"">End of Season Sale</a>. (Prices are as marked.) Shipping adds <strong>$5</strong>, but orders of $75 or more qualify for free shipping.<br>
<br>
Note: Select items may be less at <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089802,2168807"">Aeropostale via eBay</a>, which has no-minimum <strong>free shipping</strong>.",,2017-12-30T15:46:34-05:00,2168807,CLOTHING & ACCESSORIES,free shipping w/ $75,4,70% to 80% off
Liberty Mutual Auto Insurance,"https://www.dealnews.com/lw/click.html?20,2,2168564","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aq1sckhgbtxvj4gqbcxp",2017-12-30T00:01:00-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168564"">Liberty Mutual</a> offers discounted rates on policies for teen drivers. You may qualify for rate reductions if your teen is:
<ul>
 <li>Under the age of 21 and completes a qualifying driver training program
 </li>
 <li>living at a school more than 100 miles from your home and occasionally drives your vehicle
 </li>
 <li>under the age of 25, who achieve at least a B (3.0) average
 </li>
</ul>",,,2168564,FINANCIAL SERVICES,,,Teen Discounts
Energizer Automatic LED Nightlights 2-Pack,https://www.dealnews.com/Energizer-Automatic-LED-Nightlights-2-Pack-for-3-free-shipping/2168804.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xjcy35ohrpirxwa0fkqh",,"13 Deals offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168804"">Energizer Automatic Slim LED Nightlights 2-Pack</a> for $6.46. Coupon code ""ENERGIZER1218"" cuts the price to <strong>$3.49</strong>. With <strong>free shipping</strong>, that's tied with our mention from a week ago and the lowest price we could find by $10. They are sensor activated and measure 4.5"" x 2"" x 1.5"".",,2017-12-30T15:15:12-05:00,2168804,GADGETS,free shipping,5,$3
Armani Exchange Semi-Annual Sale,https://www.dealnews.com/Armani-Exchange-Semi-Annual-Sale-50-off-free-shipping-w-100/2168801.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j8jalv3gqsan6lq6g4dz",,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168801"">Armani Exchange</a> takes <strong>50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089790,2168801"">men's, women's, and kids' items</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089793,2168801"">Semi-Annual Sale</a>. (Prices are as marked.) Shipping adds <strong>$7.50</strong>, or spend $100 or more for free shipping.",,2017-12-30T15:14:50-05:00,2168801,CLOTHING & ACCESSORIES,free shipping w/ $100,5,50% off
Jos. A. Bank Men's 1905 Cotton Stripe Sweater,https://www.dealnews.com/Jos.-A.-Bank-Mens-1905-Cotton-Stripe-Sweater-for-24-free-shipping/2168798.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sbql8uca4dl5qfeeklzo",2017-12-30T09:05:50-05:00,"Jo.s A. Bank offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168798"">Jos. A. Bank Men's 1905 Collection Cotton Stripe Sweater</a> in Navy or Cream for <strong>$23.99</strong>. Plus, Bank Account Rewards members get <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089787,2168798"">join</a>.) That's tied with last week's mention at $76 off and the lowest price we could find. It's available in select sizes from S to XL.",,,2168798,SWEATERS,free shipping,3,$24
Husky 10- and 11-Piece Drive Socket Sets,https://www.dealnews.com/Husky-10-and-11-Piece-Drive-Socket-Sets-for-7-free-shipping/2168795.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wlraolfvpqhfrrus0bhg",2017-12-30T08:50:47-05:00,"Home Depot discounts a selection of Husky 10- and 11-piece drive socket sets to <strong>$6.88</strong> with <strong>free shipping</strong>, as listed below. Each is $3 off list and the lowest price we could find. The sets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168795"">Husky 11-Piece 1/4"" Metric Drive Socket and Ratchet Set</a> for <strong>$6.88</strong> (pictured)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089778,2168795"">Husky 11-Piece 1/4"" SAE Drive Socket Set</a> for <strong>$6.88</strong>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089781,2168795"">Husky 10-Piece 3/8"" Metric Drive Socket Set</a> for <strong>$6.88</strong>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089784,2168795"">Husky 10-Piece 3/8"" SAE Drive Socket Set</a> for <strong>$6.88</strong>
 </li>
</ul>",,,2168795,HAND TOOLS,free shipping,3,$7
Citybug 2 Electric Scooter with Lights,https://www.dealnews.com/Citybug-2-Electric-Scooter-with-Lights-for-200-free-shipping/2168789.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rlccqkdcnyjxbrlau01s",,"Jet.com offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168789"">Brookstone Citybug 2 Electric Scooter with Lights</a> in Black for <strong>$199.99</strong> with <strong>free shipping</strong>. That's tied with our mention from last week and the lowest price we could find now by $100. It features a push and pull acceleration system, headlight, and tail light.",True,2017-12-30T15:34:14-05:00,2168789,TOYS & HOBBIES,free shipping,3,$200
Jos. A. Bank Men's Classic Tailored Fit Suit,https://www.dealnews.com/Jos.-A.-Bank-Mens-Classic-Tailored-Fit-Suit-for-55-free-shipping/2168786.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eqk4yla7kik10dhosxhf",,"Jos. A. Bank offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168786"">Jos. A. Bank Men's Classic Collection Tailored Fit Suit</a> in Grey or Charcoal for <strong>$55.20</strong> with <strong>free shipping</strong>. That's tied with last week's mention, $145 off list, and a low price for a men's suit in general. It's available in select regular and long sizes from <del>37</del> 38 to 41. Deal ends January 1.",True,2017-12-30T15:34:03-05:00,2168786,SUITS,free shipping,4,$55
"Refurb MacBook Air Broadwell i5 12"" Laptop",https://www.dealnews.com/Refurb-Mac-Book-Air-Broadwell-i5-12-Laptop-for-550-free-shipping/2168783.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vm0xxfncikfdzup4c7bh",,"Altatac via eBay offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168783"">Apple MacBook Air Broadwell Core i5 1.6GHz 11.6"" Laptop</a> for <strong>$549.95</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago as the lowest price we've seen. (It's $185 under the best deal for a new unit.) It features an Intel Core i5 1.6GHz Broadwell dual-core processor, 11.6"" 1366x768 LCD, 4GB RAM, 128GB flash storage, webcam, 802.11ac wireless, Bluetooth 4.0, USB 3.0, Thunderbolt, and Mac OS X 10.10 Yosemite.<br>
<br>
Note: A 90-day warranty applies, although it's unclear who backs it.",True,2017-12-30T15:33:20-05:00,2168783,MACBOOK AIR,free shipping,3,$550
Microsoft Store Countdown to 2018 Game Sale,https://www.dealnews.com/Microsoft-Store-Countdown-to-2018-Game-Sale-Up-to-65-off-w-Gold/2168780.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jjjamythguxpueuqofug",,"For Xbox Live Gold members only, Microsoft Store takes <strong>up to 65% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089766,2168780"">game downloads for Xbox One</a> furing its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089769,2168780"">Countdown to 2018 Sale</a>. (Not a member? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/Xbox-Live-Gold-1-Month-Subscription-for-1/2167121.html"">Sign up</a> for a month for just $1.) Deal ends January 4. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089775,2168780"">Deux Ex: Mankind Divided for Xbox One</a> for <strong>$9</strong> (low by $4)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168780"">For Honor: Standard Edition for Xbox One</a> for <strong>$19.80</strong> (pictured, low by $10)
 </li>
</ul>",,2017-12-30T12:16:03-05:00,2168780,GAMES,,4,Up to 65% off w/ Gold
Theefun 1:16 Rock Crawler 2.4Ghz RC Car,https://www.dealnews.com/Theefun-1-16-Rock-Crawler-2.4-Ghz-RC-Car-for-36-free-shipping/2168777.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hgsw3bghje7gluhnc2re",2017-12-30T07:06:37-05:00,"SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168777"">Theefun 1:16 Rock Crawler 2.4Ghz Remote Control Car</a> for $59.99. Coupon code ""264L7LDQ"" cuts that to <strong>$35.99</strong>. With <strong>free shipping</strong>, that's $24 off and the lowest price we could find. It features anti-skid wheels, shockproof suspension, 4WD, and rechargeable battery. One AA battery is required. Deal ends December 31.",,,2168777,TOYS & HOBBIES,free shipping,3,$36
REI Holiday Clearance,https://www.dealnews.com/REI-Holiday-Clearance-Up-to-50-off/2168258.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f0vtk0ztegkn4ri3ovju",2017-12-30T00:01:00-05:00,"REI takes <strong>up to 50% off</strong> select items as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168258"">Holiday Clearance</a>. Plus, save <strong>50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088644,2168258"">new markdowns</a> at REI Garage. Shipping adds <strong>$5.99</strong>, although orders of $50 or more bag free shipping. (Some large items may incur additional handling charges; in-store pickup is available for most items.) Choose from categories including outerwear, apparel, accessories, and more. Deal ends January 1.",,,2168258,REI COUPONS,,,Up to 50% off
Elechomes Big Mouth 900W Juicer,https://www.dealnews.com/Elechomes-Big-Mouth-900-W-Juicer-for-55-free-shipping/2168774.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nkwl2tvbmabmup7kimel",2017-12-30T06:45:17-05:00,"SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168774"">Elechomes Big Mouth 900-watt Juicer</a> for $79.99. Coupon code ""BM5SK2CF"" cuts it to <strong>$54.99</strong>. With <strong>free shipping</strong>, that's $5 under last week's mention, $25 off list, and the lowest price we've seen. It features a 900-watt motor, 3"" chute, juice container which doubles as a serving pitcher, and overheat protection. Deal ends January 5.",,,2168774,SMALL APPLIANCES,free shipping,2,$55
Syma X56W Camera Quadcopter Drone,https://www.dealnews.com/Syma-X56-W-Camera-Quadcopter-Drone-for-40-free-shipping/2168771.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nk6inseu838dlditsvs2",2017-12-30T06:31:19-05:00,"RC Drone via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168771"">Syma X56W Camera Quadcopter Drone</a> in Black or White for $59.90. Coupon code ""T2FIL4OI"" cuts the price to <strong>$39.53</strong>. With <strong>free shipping</strong>, that's $2 under our mention from a week ago and the lowest price we could find now by $10. It features 6-axis stability, has a flight time of seven minutes, and can be controlled with the remote or with a smartphone. Deal ends December 31.",,,2168771,TOYS & HOBBIES,free shipping,3,$40
Kindle Goodreads eBooks at Amazon,https://www.dealnews.com/Kindle-Goodreads-eBooks-at-Amazon-from-2/2168768.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p646wnbd0b4a1iqluamc",,"As one of its daily deals, Amazon cuts <strong>up to 80% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168768"">Kindle Goodreads Choice Awards finalists' eBooks</a>, with prices starting at <strong>$1.99</strong>. Choose from titles such as Timothy Zahn's <i>Star Wars: Thrawn</i>, Neil DeGrasse Tyson's <i>Astrophysics for People in a Hurry</i>, and Kate Moore's <i>The Radium Girls: The Dark Story of America's Shining Women</i>. Deal ends today.",,2017-12-30T12:13:15-05:00,2168768,EBOOKS,,4,from $2
SiliconDust HDHomeRun Quatro TV Tuner,https://www.dealnews.com/Silicon-Dust-HDHome-Run-Quatro-TV-Tuner-for-100-free-shipping/2168765.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/esejdz1n9p8vue801im7",,"As one of its daily deals, Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168765"">SiliconDust HDHomeRun Connect Quatro TV Tuner</a> for <strong>$99.99</strong> with <strong>free shipping</strong>. That's $50 off and tied with last week's mention as a great deal for this recently-released model. It features four tuners to stream up to four channels at once via your existing OTA antenna. More information is available <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089763,2168765"">here</a>. Deal ends today.",True,2017-12-30T15:33:11-05:00,2168765,STREAMING MEDIA PLAYERS,free shipping,4,$100
Cooking Kindle eBooks,https://www.dealnews.com/Cooking-Kindle-eBooks-for-free/2168762.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j3osrscs7dtvllf6eazc",,"Amazon offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168762"">cooking Kindle eBooks</a> for <strong>free</strong>. Each is at least a buck off list and the lowest price we could find. Discounted titles include <i>Five Ingredient Cookbook: Easy Recipes in 5 Ingredients or Less</i> (pictured), <i>BBQ Party: 50 Essential Smoking Meat Recipes</i>, and <i>Cast Iron Cookbook: Ultimate Cast Iron Cooking Recipes</i>.",,2017-12-30T15:14:38-05:00,2168762,EBOOKS,,5,free
Gevalia Espresso K-Cup 100-Pack,https://www.dealnews.com/Gevalia-Espresso-K-Cup-100-Pack-for-31-free-shipping/2168759.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wsoi1dfnpczrokj1tpd6",,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168759"">Gevalia Espresso K-Cup 100-Pack</a> in Signature Blend or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089760,2168759"">Colombia</a> for <strong>$31.18</strong> with <strong>free shipping</strong> via the steps below. That's $8 less than you'd pay in local warehouse clubs. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168759"">Gevalia Espresso K-Cup 100-Pack</a> for $38.98
 </li>
 <li>clip the 15% off coupon on the product page
 </li>
 <li>check out via Subscribe &amp; Save for a final price of <strong>$31.18</strong> with <strong>free shipping</strong>
 </li>
</ol>
Be sure to cancel your subscription once your order ships to avoid being billed for further shipments.",,2017-12-30T12:12:50-05:00,2168759,COFFEE,free shipping,4,$31
Refurb Bose SoundLink Bluetooth Headphones II,https://www.dealnews.com/Refurb-Bose-Sound-Link-Bluetooth-Headphones-II-for-150-free-shipping/2168753.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pv8sanchkgvmbftmpkea",2017-12-30T04:56:46-05:00,"Bose offers its refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168753"">Bose SoundLink Bluetooth Over-Ear Wireless Headphones II</a> in Black for <strong>$149.95</strong> with <strong>free shipping</strong>. That's tied with our refurb mention from two weeks ago and $49 below the best price we could find for a new pair. They feature a 30-foot range and up to 15 hours of play time.<br>
<br>
A 1-year Bose warranty applies, same as new items.",,,2168753,HEADPHONES,free shipping,3,$150
Tools of the Trade 8-Qt. Casserole w/ Lid,https://www.dealnews.com/Tools-of-the-Trade-8-Qt.-Casserole-w-Lid-for-8-after-rebate-pickup-at-Macys/2168750.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eqvrkphxrykic01eudx5",,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168750"">Tools of the Trade Stainless Steel 8-Quart Casserole with Lid</a> for $17.99. This <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089757,2168750"">$10 mail-in rebate</a> cuts that to <strong>$7.99</strong>. Choose in-store <strong>pickup</strong> to avoid the backorder shipping delay, which would likely negate the rebate. That's $2 under last month's mention, $52 off list, and the lowest price we could find. It's oven safe to 450° Fahrenheit. Deal ends today.",,2017-12-30T12:11:27-05:00,2168750,KITCHEN,pickup at Macy's,4,$8 after rebate
Columbia Men's Mountainside Full Zip Vest,https://www.dealnews.com/Columbia-Mens-Mountainside-Full-Zip-Vest-for-40-free-shipping/2168669.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jiwrmc1nfdcpvfj3erri",2017-12-30T04:13:29-05:00,"Columbia offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168669"">Columbia Men's Mountainside Full Zip Vest</a> in Navy or Graphite for $49.98. Coupon code ""COLDEC60"" drops that to <strong>$39.98</strong>. Plus, Greater Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089718,2168669"">sign up</a>.) That's $10 below our mention from last week and the lowest price we've seen. (It's the best deal now by $40.) It's available in sizes S to XXL. Deal ends December 31.",,,2168669,COATS,free shipping,3,$40
